key,name,location,source,confidence,note,startup_mode
roma,Roma,rome,P12.2;P8.1,secure,Direct installed location
alexandria,Alexandria,alexandria,P12.2;P8.1,secure,Direct installed location
antiochia,Antiochia,antioch,P12.2;P8.1,secure,Direct installed location
seleucia_ctesiphon,Seleucia-Ctesiphon,baghdad,P12.2;P8.2,contested,Installed Baghdad location is the reviewed Ctesiphon geographic proxy
carthago,Carthago,tunis,P12.2;P8.1,contested,Installed Tunis location is the reviewed Carthage geographic proxy
gades,Gades,cadiz,P12.2;P8.1,secure,Direct installed location
massilia,Massilia,marseille,P12.2;P8.1,secure,Direct installed location
lugdunum,Lugdunum,lyon,P12.2;P8.1,secure,Direct installed location
aquileia,Aquileia,aquileia,P12.2;P8.1,secure,Direct installed location
corinthus,Corinthus,corinth,P12.2;P8.1,secure,Direct installed location
ephesus,Ephesus,ayasuluk,P12.2;P8.1;UNESCO-EPH,contested,Ayasuluk is the reviewed near-site proxy for the Roman port city and provincial capital of Ephesus
byzantium,Byzantium,constantinople,P12.2;P8.1,secure,Direct installed location
panticapaeum,Panticapaeum,taman,P12.2;P8.1,contested,Installed Taman location is the Bosporan-capital geographic proxy
petra,Petra,shoubak,P12.2;P8.1;PLE,secure,Reviewed Nabataean capital proxy
palmyra,Palmyra,homs,P12.2;P8.1;PLE,contested,Installed Homs location is the nearest reviewed Syrian proxy
meroe,Meroe,shendi,P12.2;P8.5;PLE,contested,Installed Shendi location is the reviewed Meroitic-capital proxy
adulis,Adulis,massawa,P12.2;P8.5;PER,contested,Installed Massawa location is the Red Sea port proxy,deferred
muza,Muza,al_mukha,P12.2;P8.6;PER,contested,Installed Al Mukha location is the Yemen port proxy
barygaza,Barygaza,khambat,P12.2;P8.4;PER,contested,Installed Khambat location is the Gulf of Khambhat port proxy
muziris,Muziris,kodungallur,P12.2;P8.4;PER,contested,Installed Kodungallur location is the Malabar port proxy
pataliputra,Pataliputra,patna,P12.2;P8.4,secure,Direct installed location
taxila,Taxila,attock,P12.2;P8.4;UNESCO-TAX,contested,Attock is the reviewed Taxila geographic proxy in the Indo-Scythian AD 1 polity
anuradhapura,Anuradhapura,anuradhapura,P12.2;P8.4,secure,Direct installed location
marakanda,Marakanda,samarkand,P12.2;P8.8,secure,Direct installed location
kashgar,Kashgar,kashgar,P12.2;P8.3;CHG,secure,Direct installed location
changan,Chang'an,jingzhao,P12.2;P8.3;BHR,secure,Installed Jingzhao location is the Chang'an commandery anchor
luoyang,Luoyang,luoyang,P12.2;P8.3;BHR,secure,Direct installed location
panyu,Panyu,panyu,P12.2;P8.3;BHR,secure,Direct installed location
oc_eo,Oc Eo,angkor_borei,P12.2;P8.9;UNESCO-AB-OC,contested,Angkor Borei is the reviewed near-site proxy for the early Funan-period centre connected by canal with the Oc Eo region
angkor,Angkor,angkor,P8.9;CAH-XI,contested,Early Khmer regional market anchor
thang_long,Thang Long,thang_long,P8.9;CAH-XI,contested,Han Jiaozhi and later regional market anchor
temasek,Temasek,temasek,P8.9;CAH-XI,contested,Straits regional market anchor
surabaya,Surabaya,surabaya,P8.9;CAH-XI,contested,Java regional market anchor
martaban,Martaban,martaban,P8.9;CAH-XI,contested,Mon regional market anchor
maynila,Maynila,maynila,P8.9;CAH-XI,contested,Philippine regional market anchor
teotihuacan,Teotihuacan,azcapotzalco,P12.2;P8.10;CAH-XI,contested,Installed Azcapotzalco location is the Basin of Mexico proxy
tikal,Tikal-zone,noh_peten,P12.2;P8.10;CAH-XI,contested,Installed Noh Peten location is the Maya lowland proxy
monte_alban,Monte Alban,zaachila,P8.10;CAH-XI,contested,Installed Zaachila location is the Monte Alban proxy
chan_chan,Moche Valley coast proxy,chan_chan,P12.2;P8.10;PNAS-VIR;WIL-GAL,contested,Coarse installed north-coast proxy; not a claim that the later Chan Chan city existed at AD 1
sidon,Sidon,sidon,P12.1;P8.2;CAH-XI,contested,Plan-listed Levantine glassware and purple-dye production anchor
cologne,Cologne,cologne,P12.1;P8.7,contested,Plan-listed northern glassware production anchor
chengdu,Chengdu,chengdu,P12.1;P8.3;BHR,secure,Reviewed Sichuan silk and Han-lacquerware production anchor
corduba,Corduba,cordoba,PLE;P8.1,contested,Reviewed Hispania regional market anchor for bounded productive-hinterland proxies
