date,key,type,region,summary,rails_strength,end_date,source,label
1.1.1,start,event,Campaign,Start of ANTIQVITAS,system,,ANTIQVITAS master plan §22,Campaign start
1.1.1,age_principate,event,Campaign,Age of the Principate begins,system,,ANTIQVITAS master plan §15,Age of the Principate
1.1.1,gaius_eastern_settlement,situation,Rome and Armenia,Gaius Caesar's eastern settlement and the contested Armenian throne,Strong,5.1.1,ANTIQVITAS master plan §9,Gaius Caesar's Eastern Settlement
1.1.1,immensum_bellum,situation,Germania,Roman pacification beyond the Rhine,Strong,6.1.1,ANTIQVITAS master plan §9,Immensum Bellum
6.1.1,illyrian_revolt,situation,Illyricum,Great Illyrian Revolt or Bellum Batonianum,Strong,10.1.1,ANTIQVITAS master plan §9,Great Illyrian Revolt
9.1.1,teutoburg,event,Germania,Arminius destroys the Roman field army and Rome loses Germania Magna,Strong,10.1.1,ANTIQVITAS master plan §9,Teutoburg Forest
9.1.1,wang_mang_xin,situation,China,Wang Mang's Xin dynasty with floods Red Eyebrows and Eastern Han restoration,Strong,26.1.1,ANTIQVITAS master plan §9,Xin Dynasty Crisis
14.1.1,augustan_succession,event,Rome,Augustus dies and the Principate faces its first succession test,Strong,15.1.1,ANTIQVITAS master plan §9,Augustan Succession
17.1.1,tacfarinas_war,situation,Numidia,Tacfarinas' war against Roman rule,Strong,25.1.1,ANTIQVITAS master plan §9,Tacfarinas' War
21.1.1,florus_sacrovir,event,Gaul,Florus and Sacrovir lead a Gallic revolt,Strong,22.1.1,ANTIQVITAS master plan §9,Florus and Sacrovir
30.1.1,kushan_unification,formation,Bactria,Kujula Kadphises unifies the Yuezhi into the Kushan polity,Strong,51.1.1,ANTIQVITAS master plan §9,Kushan Unification
30.1.1,christianity_foundation,event,Judea,The Crucifixion and the founding of Christianity in Judea,Strong,34.1.1,ANTIQVITAS master plan §9,Christianity Founded
40.1.1,trung_sisters,situation,Jiaozhi,The Trung sisters revolt against Han rule,Strong,44.1.1,ANTIQVITAS master plan §9,Trung Sisters' Revolt
40.1.1,mauretania_annexation,situation,Mauretania,Mauretania is annexed and Aedemon's revolt follows,Strong,45.1.1,ANTIQVITAS master plan §9,Mauretania Annexation
43.1.1,claudian_britain,situation,Britain,Claudian invasion and the Roman conquest of Britain,Strong,44.1.1,ANTIQVITAS master plan §9,Claudian Invasion of Britain
48.1.1,xiongnu_split,tagswitch,Steppe,The Xiongnu confederation divides into northern and southern polities,Strong,49.1.1,ANTIQVITAS master plan §9,Xiongnu Split
54.1.1,silphium_extinction,event,Cyrenaica,The silphium harvest collapses and the Cyrenaican good disappears,Strong,69.1.1,ANTIQVITAS master plan §9,Silphium Extinction
