sheet,cell,key,age,track,subject,historical_brief,source,reference,prompt
sheet_001.png,top_left,antq_shared_community_granary_customs,Principate,society,Community Granary Customs,"Households pooled durable food reserves under locally witnessed rules for contribution, access, and replenishment.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Community Granary Customs. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Households pooled durable food reserves under locally witnessed rules for contribution, access, and replenishment.
Top Right: Seasonal Labour Calendars. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Observed rains, floods, migrations, and crop cycles organized recurring work without requiring a written calendar.
Bottom Left: Field Boundary Witnesses. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Recognized neighbours and elders preserved boundaries through remembered markers, testimony, and periodic inspection.
Bottom Right: River Crossing Guides. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Local pilots identified fords, currents, landing places, and seasonal hazards for travellers and armed hosts.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_001.png,top_right,antq_shared_seasonal_labour_calendars,Principate,learning,Seasonal Labour Calendars,"Observed rains, floods, migrations, and crop cycles organized recurring work without requiring a written calendar.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Community Granary Customs. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Households pooled durable food reserves under locally witnessed rules for contribution, access, and replenishment.
Top Right: Seasonal Labour Calendars. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Observed rains, floods, migrations, and crop cycles organized recurring work without requiring a written calendar.
Bottom Left: Field Boundary Witnesses. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Recognized neighbours and elders preserved boundaries through remembered markers, testimony, and periodic inspection.
Bottom Right: River Crossing Guides. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Local pilots identified fords, currents, landing places, and seasonal hazards for travellers and armed hosts.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_001.png,bottom_left,antq_shared_field_boundary_witnesses,Principate,statecraft,Field Boundary Witnesses,"Recognized neighbours and elders preserved boundaries through remembered markers, testimony, and periodic inspection.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Community Granary Customs. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Households pooled durable food reserves under locally witnessed rules for contribution, access, and replenishment.
Top Right: Seasonal Labour Calendars. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Observed rains, floods, migrations, and crop cycles organized recurring work without requiring a written calendar.
Bottom Left: Field Boundary Witnesses. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Recognized neighbours and elders preserved boundaries through remembered markers, testimony, and periodic inspection.
Bottom Right: River Crossing Guides. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Local pilots identified fords, currents, landing places, and seasonal hazards for travellers and armed hosts.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_001.png,bottom_right,antq_shared_river_crossing_guides,Principate,warfare,River Crossing Guides,"Local pilots identified fords, currents, landing places, and seasonal hazards for travellers and armed hosts.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Community Granary Customs. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Households pooled durable food reserves under locally witnessed rules for contribution, access, and replenishment.
Top Right: Seasonal Labour Calendars. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Observed rains, floods, migrations, and crop cycles organized recurring work without requiring a written calendar.
Bottom Left: Field Boundary Witnesses. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Recognized neighbours and elders preserved boundaries through remembered markers, testimony, and periodic inspection.
Bottom Right: River Crossing Guides. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Local pilots identified fords, currents, landing places, and seasonal hazards for travellers and armed hosts.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_002.png,top_left,antq_shared_market_day_signals,Principate,exchange,Market-Day Signals,Regular gatherings used visible or audible signals to coordinate exchange across dispersed settlements.,P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Market-Day Signals. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Regular gatherings used visible or audible signals to coordinate exchange across dispersed settlements.
Top Right: Well and Cistern Care. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Shared labour kept wells, cisterns, springs, and their access paths clean and serviceable.
Bottom Left: Craft Apprentice Households. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Specialist households transmitted tool use, material selection, and workshop routines through supervised practice.
Bottom Right: Muster-Ground Markers. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Known assembly places and route markers reduced delay when household contingents gathered for defence.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_002.png,top_right,antq_shared_well_and_cistern_care,Principate,society,Well and Cistern Care,"Shared labour kept wells, cisterns, springs, and their access paths clean and serviceable.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Market-Day Signals. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Regular gatherings used visible or audible signals to coordinate exchange across dispersed settlements.
Top Right: Well and Cistern Care. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Shared labour kept wells, cisterns, springs, and their access paths clean and serviceable.
Bottom Left: Craft Apprentice Households. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Specialist households transmitted tool use, material selection, and workshop routines through supervised practice.
Bottom Right: Muster-Ground Markers. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Known assembly places and route markers reduced delay when household contingents gathered for defence.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_002.png,bottom_left,antq_shared_craft_apprentice_households,Principate,learning,Craft Apprentice Households,"Specialist households transmitted tool use, material selection, and workshop routines through supervised practice.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Market-Day Signals. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Regular gatherings used visible or audible signals to coordinate exchange across dispersed settlements.
Top Right: Well and Cistern Care. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Shared labour kept wells, cisterns, springs, and their access paths clean and serviceable.
Bottom Left: Craft Apprentice Households. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Specialist households transmitted tool use, material selection, and workshop routines through supervised practice.
Bottom Right: Muster-Ground Markers. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Known assembly places and route markers reduced delay when household contingents gathered for defence.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_002.png,bottom_right,antq_shared_muster_ground_markers,Principate,warfare,Muster-Ground Markers,Known assembly places and route markers reduced delay when household contingents gathered for defence.,P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Market-Day Signals. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Regular gatherings used visible or audible signals to coordinate exchange across dispersed settlements.
Top Right: Well and Cistern Care. Compose an unmistakable cluster from historically appropriate household, ritual, charitable, assembly, craft, and settlement objects. Historical brief: Shared labour kept wells, cisterns, springs, and their access paths clean and serviceable.
Bottom Left: Craft Apprentice Households. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Specialist households transmitted tool use, material selection, and workshop routines through supervised practice.
Bottom Right: Muster-Ground Markers. Compose an unmistakable cluster from historically appropriate period weapons, armour fittings, remount gear, route markers, and ration vessels. Historical brief: Known assembly places and route markers reduced delay when household contingents gathered for defence.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_003.png,top_left,antq_shared_trusted_route_brokers,Principate,exchange,Trusted Route Brokers,"Intermediaries joined unfamiliar traders to local hosts, measures, languages, and customary guarantees.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Trusted Route Brokers. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Intermediaries joined unfamiliar traders to local hosts, measures, languages, and customary guarantees.
Top Right: Gift and Tribute Tallies. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Tokens, notched objects, or remembered witness lists tracked recurring gifts and negotiated contributions.
Bottom Left: Healing-Plant Memory. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Practitioners preserved tested knowledge of local plants, preparation methods, seasons, and harmful substitutes.
Bottom Right: Relay Rest Stations. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Maintained stopping places concentrated water, shelter, route knowledge, and replacement labour along busy corridors.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
sheet_003.png,top_right,antq_shared_gift_and_tribute_tallies,Principate,statecraft,Gift and Tribute Tallies,"Tokens, notched objects, or remembered witness lists tracked recurring gifts and negotiated contributions.",P15;CAH-XI;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: exactly four separate Europa Universalis V advance-icon cutouts
Primary request: Create four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon reference. Match its crisp isolated-object rendering, realistic material detail, restrained natural color, edge treatment, transparent-cutout composition, and premium finish exactly.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, texture, gradients, floor plane, or lighting variation in the green.
Composition/framing: one centered and generously padded object cluster per quadrant. Keep all objects wholly inside their own quadrant with large clear gaps at the centre lines.
Lighting/mood: neutral soft studio light, controlled highlights, authentic material colours. Absolutely no yellow, sepia, orange, or teal grading.
Top Left: Trusted Route Brokers. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Intermediaries joined unfamiliar traders to local hosts, measures, languages, and customary guarantees.
Top Right: Gift and Tribute Tallies. Compose an unmistakable cluster from historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Tokens, notched objects, or remembered witness lists tracked recurring gifts and negotiated contributions.
Bottom Left: Healing-Plant Memory. Compose an unmistakable cluster from historically appropriate writing materials where attested, teaching objects, instruments, models, and catalogued specimens. Historical brief: Practitioners preserved tested knowledge of local plants, preparation methods, seasons, and harmful substitutes.
Bottom Right: Relay Rest Stations. Compose an unmistakable cluster from historically appropriate weights, containers, route objects, coins or weighed media, cordage, and cargo seals. Historical brief: Maintained stopping places concentrated water, shelter, route knowledge, and replacement labour along busy corridors.
Constraints: exactly four different icons; material culture appropriate to AD 1-476; visually distinguish all four by silhouette and materials; no repeated central object; no text, letters, numerals, maps, heraldry, portraits, people, modern objects, medieval plate armour, firearms, borders, badges, readable inscriptions, or watermark.
Avoid: generic fantasy props, cheap yellow filter, muddy monochrome, crowded miniature scenes, full buildings, square picture backgrounds, drop shadows on the green, vignette, quadrant dividers, or any object crossing a quadrant boundary."
