key,subject,source,confidence,status,note
antq_senatorial_land_exemption,Uninscribed wax tablet plain measuring cord small stone boundary-marker fragment wheat ears simple bronze balance and folded undyed linen,P8.1;P13;OCD,secure,complete,Direct non-reconstructive Roman landed-administration material icon; no named senator family estate landowner city province map field scene enslaved person inscription or seal.
antq_equestrian_service,Plain bronze horse bit coiled leather rein small uninscribed wax tablet simple travel flask folded dark-red wool cloth and plain bronze scale weight,P8.1;P13;OCD-EQU,secure,complete,Direct non-reconstructive Roman equestrian-service material icon; no named eques emperor cavalryman horse battle weapon unit office city province inscription or seal.
antq_roman_priestly_colleges,Uninscribed bronze curved staff small plain incense burner simple bronze libation ladle empty clay cup olive leaves folded white linen and unmarked wax tablet,P8.1;P11;P13;MET-PRIEST,secure,complete,Direct non-reconstructive Roman public-ritual material icon; no named deity priest college temple altar sacrifice rite city emperor inscription or seal.
antq_annona_privilege,Unmarked bronze grain measure small open cloth grain sack wheat ears simple wooden scoop plain clay storage jar and blank wax tally tablet,P8.1;P13;OCD,secure,complete,Direct non-reconstructive public-provisioning material icon; no named annona emperor Rome granary distribution recipient crowd ship tax coin inscription or seal.
antq_praetorian_donatives,Small leather coin purse plain unmarked silver coins simple bronze balance weight folded dark-red wool cloak uninscribed wax tablet and plain belt clasp,P8.1;P13;OCD,secure,complete,Direct non-reconstructive Roman military-household payment material icon; no named praetorian emperor soldier unit battle weapon standard city province tax inscription or seal.
antq_han_palace_bureau,Blank bamboo-slip bundle tied with silk cord plain uninscribed bronze seal block small bronze oil lamp simple brush clean stone ink palette folded yellow-brown silk and modest clay water cup,P8.3;P13;BHR,secure,complete,Direct non-reconstructive early Han court-administration material icon; no named emperor regent palace dynasty official city commandery document text character inscription or seal impression.
antq_wang_clan_regency,Blank bamboo-slip bundle tied with plain red silk cord small undecorated jade pendant simple bronze oil lamp uninscribed bronze tally token clean stone ink palette modest ceramic cup and folded muted yellow silk,P8.3;P13;CTP-WM,secure,complete,Direct non-reconstructive early Han regency material icon; no named Wang person emperor palace dynasty official city commandery document text character inscription or seal impression.
antq_parthian_great_house_autonomy,Plain uninscribed bronze signet block folded dark wool mantle small simple silver bowl leather rein and bronze bridle fitting unmarked bronze balance weight rolled blank parchment and seeds in a shallow clay dish,P8.2;P13;CAH-XI;OCD,secure,complete,Direct non-reconstructive ancient Iranian court-household material icon; no named house king person palace horse battle weapon crown standard city province map inscription or seal impression.
antq_client_royal_autonomy,Plain narrow bronze diadem uninscribed small bronze key blank wax tablet and wooden stylus simple clay wine cup folded undyed linen plain bronze balance weight and unmarked leather purse,P8.1;P13;OCD,secure,complete,Direct non-reconstructive ancient Mediterranean client-court material icon; no named king emperor person palace city army battle weapon eagle flag coin portrait map inscription or seal impression.
antq_kushite_royal_court,Plain small faience bead string simple uninscribed bronze incense cup shallow undecorated clay offering bowl with dates folded cream linen unmarked small leather pouch smooth stone palette and plain wooden tally stick,P8.5;P13;CAH-XI;PLE,secure,complete,Direct non-reconstructive Kushite court-household material icon; no named ruler person Meroe pyramid temple throne crown city map army battle weapon inscription or seal impression.
antq_steppe_clan_autonomy,Folded grey felt textile braided horsehair cord plain leather water flask small round wooden food bowl with millet seeds undecorated bronze bracelet simple bone spindle whorl and plain wooden tent peg,P8.3;P13;CAH-XI,secure,complete,Direct non-reconstructive early steppe household material icon; no person tribe chanyu horse rider weapon bow battle standard map landscape tent scene inscription or seal.
antq_korean_royal_court,Plain small green jade pendant uninscribed dark lacquered wooden box folded hemp cloth simple bronze cup clean stone whetstone wooden spindle with loose flax plain ceramic jar and undecorated bronze tally token,P8.3;P13;SAM,secure,complete,Direct non-reconstructive early Korean court-household material icon; no named king person dynasty palace crown later royal emblem city map army battle weapon writing character inscription or seal impression.
