sheet,cell,key,age,track,profile,subject,historical_brief,source,reference,prompt
sheet_001.png,top_left,antq_antonine_civitas_delegates,High Empires,statecraft,celtic,Celtic and Brittonic: Antonine Civitas Delegates,"Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, trained delegates linked local authorities to wider political networks.",P8.7;P15;CAH-XI;OCD;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, trained delegates linked local authorities to wider political networks.
Top Right: Celtic and Brittonic: Antonine Civitas Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Left: Celtic and Brittonic: Antonine Civitas Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, recognized mediators settled disputes across household and district boundaries.
Bottom Right: Celtic and Brittonic: Antonine Civitas Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_001.png,top_right,antq_antonine_civitas_tallies,High Empires,statecraft,celtic,Celtic and Brittonic: Antonine Civitas Tallies,"Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.",P8.7;P15;CAH-XI;OCD;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, trained delegates linked local authorities to wider political networks.
Top Right: Celtic and Brittonic: Antonine Civitas Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Left: Celtic and Brittonic: Antonine Civitas Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, recognized mediators settled disputes across household and district boundaries.
Bottom Right: Celtic and Brittonic: Antonine Civitas Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_001.png,bottom_left,antq_antonine_civitas_arbitration,High Empires,statecraft,celtic,Celtic and Brittonic: Antonine Civitas Arbitration,"Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, recognized mediators settled disputes across household and district boundaries.",P8.7;P15;CAH-XI;OCD;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, trained delegates linked local authorities to wider political networks.
Top Right: Celtic and Brittonic: Antonine Civitas Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Left: Celtic and Brittonic: Antonine Civitas Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, recognized mediators settled disputes across household and district boundaries.
Bottom Right: Celtic and Brittonic: Antonine Civitas Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_001.png,bottom_right,antq_antonine_civitas_stewardship,High Empires,statecraft,celtic,Celtic and Brittonic: Antonine Civitas Stewardship,"Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.",P8.7;P15;CAH-XI;OCD;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, trained delegates linked local authorities to wider political networks.
Top Right: Celtic and Brittonic: Antonine Civitas Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Left: Celtic and Brittonic: Antonine Civitas Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, recognized mediators settled disputes across household and district boundaries.
Bottom Right: Celtic and Brittonic: Antonine Civitas Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_002.png,top_left,antq_antonine_civitas_compact,High Empires,statecraft,celtic,Celtic and Brittonic: Antonine Civitas Compact,"Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, a durable compact balanced central claims with local consent and custom.",P8.7;P15;CAH-XI;OCD;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, a durable compact balanced central claims with local consent and custom.
Top Right: Celtic and Brittonic: Post Severan Frontier Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Left: Celtic and Brittonic: Post Severan Frontier Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Right: Celtic and Brittonic: Post Severan Frontier Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, recognized mediators settled disputes across household and district boundaries.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_002.png,top_right,antq_post_severan_frontier_delegates,Crisis,statecraft,celtic,Celtic and Brittonic: Post Severan Frontier Delegates,"Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, trained delegates linked local authorities to wider political networks.",P8.7;P15;CAH-XII;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, a durable compact balanced central claims with local consent and custom.
Top Right: Celtic and Brittonic: Post Severan Frontier Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Left: Celtic and Brittonic: Post Severan Frontier Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Right: Celtic and Brittonic: Post Severan Frontier Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, recognized mediators settled disputes across household and district boundaries.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_002.png,bottom_left,antq_post_severan_frontier_tallies,Crisis,statecraft,celtic,Celtic and Brittonic: Post Severan Frontier Tallies,"Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.",P8.7;P15;CAH-XII;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, a durable compact balanced central claims with local consent and custom.
Top Right: Celtic and Brittonic: Post Severan Frontier Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Left: Celtic and Brittonic: Post Severan Frontier Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Right: Celtic and Brittonic: Post Severan Frontier Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, recognized mediators settled disputes across household and district boundaries.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_002.png,bottom_right,antq_post_severan_frontier_arbitration,Crisis,statecraft,celtic,Celtic and Brittonic: Post Severan Frontier Arbitration,"Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, recognized mediators settled disputes across household and district boundaries.",P8.7;P15;CAH-XII;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Antonine Civitas Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Provincial civitates joined local councils, tribute assessment, and imperial petitioning without erasing indigenous elites. In this advance, a durable compact balanced central claims with local consent and custom.
Top Right: Celtic and Brittonic: Post Severan Frontier Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Left: Celtic and Brittonic: Post Severan Frontier Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Bottom Right: Celtic and Brittonic: Post Severan Frontier Arbitration. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, recognized mediators settled disputes across household and district boundaries.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_003.png,top_left,antq_post_severan_frontier_stewardship,Crisis,statecraft,celtic,Celtic and Brittonic: Post Severan Frontier Stewardship,"Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.",P8.7;P15;CAH-XII;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Post Severan Frontier Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Top Right: Celtic and Brittonic: Post Severan Frontier Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, a durable compact balanced central claims with local consent and custom.
Bottom Left: Celtic and Brittonic: Pictish Confederate Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Northern British communities coordinated through mobile kingship, elite gift exchange, and fortified regional centres. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Right: Celtic and Brittonic: Pictish Confederate Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Northern British communities coordinated through mobile kingship, elite gift exchange, and fortified regional centres. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
sheet_003.png,top_right,antq_post_severan_frontier_compact,Crisis,statecraft,celtic,Celtic and Brittonic: Post Severan Frontier Compact,"Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, a durable compact balanced central claims with local consent and custom.",P8.7;P15;CAH-XII;P20,assets_queue/references/vanilla_advance_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V advance-icon cutouts
Primary request: Create exactly four distinct archaeological still-life icon compositions in a clean 2x2 grid.
Input image: the supplied image is an exact installed EU5 advance-icon style reference; match its crisp isolated-object rendering, realistic material detail, natural color, edge treatment, and transparent-cutout composition.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four cells; no dividers, frames, shadows on the field, gradients, texture, floor plane, or lighting variation.
Style/medium: premium EU5-native painted-realistic object cutouts, not a generic fantasy-game icon, not a miniature scene.
Composition/framing: one centered, generously padded cluster per quadrant; keep every object wholly inside its quadrant and visually separated from the other three.
Lighting/mood: neutral soft studio light with controlled highlights; authentic material colors; no sepia or yellow filter.
Top Left: Celtic and Brittonic: Post Severan Frontier Stewardship. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, specialized stewards coordinated routes, stores, petitions, and public works.
Top Right: Celtic and Brittonic: Post Severan Frontier Compact. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Contracting imperial supervision made frontier notables and fortified communities carry more adjudication and levy coordination. In this advance, a durable compact balanced central claims with local consent and custom.
Bottom Left: Celtic and Brittonic: Pictish Confederate Delegates. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Northern British communities coordinated through mobile kingship, elite gift exchange, and fortified regional centres. In this advance, trained delegates linked local authorities to wider political networks.
Bottom Right: Celtic and Brittonic: Pictish Confederate Tallies. Use historically appropriate seals, tally sticks, document tablets, weights, and council tokens. Historical brief: Northern British communities coordinated through mobile kingship, elite gift exchange, and fortified regional centres. In this advance, regular tallies made obligations, stores, and negotiated contributions legible.
Constraints: exactly four different icons; AD 96-476 material culture only; use region-specific objects and construction; no repeated composition; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, borders, badges, coins with readable inscriptions, modern objects, medieval plate armour, firearms, or watermark.
Avoid: cheap yellow grading, muddy monochrome, generic fantasy props, crowded tableaux, people, architecture filling the cell, square picture backgrounds, drop shadows, vignette, or objects crossing quadrant boundaries."
