key,families,location,macro,source,confidence,note
s2_bri_cat,antq_reg_raised_granary|antq_reg_monetal_workshop,st_albans,Europe,P8.7;P12.1;P13;HE-HILLFORT;CCI-DUB,contested,Opening capital-and-hinterland food-storage and exchange-craft proxies rather than named excavated buildings or quantified output.
s2_bri_tri,antq_reg_raised_granary|antq_reg_monetal_workshop,colchester,Europe,P8.7;P12.1;P13;HE-HILLFORT;CCI-DUB,contested,Opening capital-and-hinterland food-storage and exchange-craft proxies rather than named excavated buildings or quantified output.
s2_bri_ice,antq_reg_raised_granary|antq_reg_loomweight_weavery,norwich,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and textile-craft proxies rather than named excavated buildings or quantified output.
s2_bri_bri,antq_reg_raised_granary|antq_reg_quernworks,ripon,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and grain-processing proxies rather than named excavated buildings or quantified output.
s2_bri_atb,antq_reg_raised_granary|antq_reg_monetal_workshop,basingstoke,Europe,P8.7;P12.1;P13;HE-HILLFORT;CCI-EPP,contested,Opening capital-and-hinterland food-storage and exchange-craft proxies rather than named excavated buildings or quantified output.
s2_bri_sil,antq_reg_raised_granary|antq_reg_iron_bloomery,monmouth,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and ironworking proxies rather than named excavated buildings or quantified output.
s2_bri_ord,antq_reg_raised_granary|antq_reg_hide_curing_yard,carnarvon,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and pastoral-craft proxies rather than named excavated buildings or quantified output.
s2_bri_dum,antq_reg_raised_granary|antq_reg_pottery_kiln,exeter,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and ceramic-craft proxies rather than named excavated buildings or quantified output.
s2_bri_brt,antq_reg_raised_granary|antq_reg_pottery_kiln,canterbury,Europe,P8.7;P12.1;P13;HE-HILLFORT,contested,Opening capital-and-hinterland food-storage and cross-Channel ceramic proxies rather than named excavated buildings or quantified output.
s2_bri_reg,antq_reg_raised_granary|antq_reg_chariotwright,chichester,Europe,P8.7;P12.1;P13;HE-HILLFORT;CAH-XI,contested,Opening capital-and-hinterland food-storage and elite-vehicle craft proxies rather than named excavated buildings or a uniform chariot establishment.
