location,culture,historical_name,source,confidence,note
acre,antq_phoenician_punic|antq_greek_koine,Ptolemais,IAA-AKKO;OUP-PHOENICIA,tier2,Replaces a Judean-only lookup: Ptolemais was a Hellenistic Phoenician port; paired Phoenician and Hellenic adapters reflect the civic name and local population without assigning the city to Judaea.
aleppo,antq_aramaic|antq_greek_koine,Beroia,DARE-BEROIA;OUP-GREEK-SYRIA,tier2,Replaces a Persian-only lookup with Semitic and Hellenic adapters; Beroia is the documented Hellenistic and Roman civic name at Aleppo without denying the older Halab tradition.
amman,antq_nabataean_arab|antq_greek_koine,Philadelphia,JORDAN-AMMAN;OUP-GREEK-SYRIA,tier2,Replaces a Persian-only lookup: Philadelphia was a Hellenistic Decapolis city with strong Nabataean presence; paired Semitic and Hellenic adapters better fit the AD 1 setting.
antioch,antq_aramaic|antq_greek_koine,Antiocheia,RPC-ANTIOCH;OCD-ANTIOCH,tier2,Replaces a Persian-only lookup with Semitic and Hellenic adapters; near-contemporary Greek civic evidence supports Antiocheia while the paired adapters preserve the Levantine multilingual setting.
baalbek,antq_phoenician_punic|antq_greek_koine,Heliopolis,UNESCO-BAALBEK,secure,Adds the Hellenic path omitted by the Phoenician-only lookup: UNESCO identifies the Phoenician city as Heliopolis in the Hellenistic period and its cult as still essentially Phoenician under Rome.
bath,antq_brittonic,Sulis,RB-SPRING;RB-TEMPLE,tier2,Replaces Aquae Sulis: the monumental Roman sanctuary postdates AD 1; the pre-Roman spring cult supplies a conservative field label.
bosra,antq_nabataean_arab,Bostra,UNESCO-BOSRA,secure,Replaces a Persian-only lookup: Bosra was the northern capital of the Nabataean kingdom before its Roman annexation in AD 106.
chester,antq_brittonic,Deva,HE-CHESTER,contested,Replaces Deva Victrix: the legionary fortress was built in AD 78-86; Deva is retained only as a conservative Brittonic hydronym-derived proxy.
cologne,antq_germanic,Oppidum Ubiorum,LEIZA-COL;KVB-COL,secure,Replaces Colonia Agrippinensis: Cologne did not receive its colonia foundation and Agrippina title until about AD 50.
damascus,antq_aramaic|antq_greek_koine,Damaskos,RPC-DAMASCUS;OUP-GREEK-SYRIA,tier2,Replaces a Persian-only lookup with Semitic and Hellenic adapters; Augustan civic coinage attests the Greek Damaskene form while local Semitic continuity remains represented.
dorchester,antq_brittonic,Durotriges,HE-DORCHESTER,tier2,Replaces Durnovaria: the Roman civitas capital was founded after the invasion; the Durotriges are used as an explicit regional field proxy rather than a false AD 1 town.
exeter,antq_brittonic,Isca,UOE-EXETER;OCD-ISCA,contested,Replaces Isca Dumnoniorum: the fortress began about AD 55 and the civitas qualifier is later; Isca is retained only as the inherited British river-name.
gloucester,antq_brittonic,Dobunni,GCC-GLOUCESTER;CAM-DOBUNNI,tier2,Replaces Glevum: the Roman fortress was founded in the AD 60s; the Dobunni are used as an explicit regional field proxy.
latakia,antq_aramaic|antq_greek_koine,Laodikeia,RPC-LAODICEIA;OUP-GREEK-SYRIA,tier2,Replaces a Persian-only lookup with Semitic and Hellenic adapters; Augustan civic coinage directly attests the Laodicean Greek ethnic at the campaign boundary.
lincoln,antq_brittonic,Lindum,HE-LINCOLN,contested,Replaces Lindum Colonia: the colonia was a later civilian development; Lindum is retained as the conservative inherited toponym.
london,antq_brittonic,Tamesis,MOLA-LON;CAES-BG-5.11,tier2,Replaces Londinium: the Roman city was founded about AD 48 on an uninhabited site; Caesar's attested Thames hydronym is used as a field proxy.
monmouth,antq_brittonic,Silures,CADW-CAERWENT,tier2,Replaces the generated Caerwent/Venta Silurum capital label: that Roman town was established about AD 75-80 and lies outside the Monmouth field; Silures is an explicit regional proxy.
norwich,antq_brittonic,Iceni,HE-VENTA,tier2,Replaces Venta Icenorum: the civitas capital was laid out about AD 70 five miles south of Norwich; Iceni is an explicit regional field proxy rather than a false AD 1 town.
ripon,antq_brittonic,Brigantes,EH-ISURIUM,tier2,Replaces Isurium Brigantum: the Aldborough settlement began about AD 70 and became a civitas capital about AD 120; Brigantes is an explicit regional field proxy.
york,antq_brittonic,Brigantes,YAT-YORK;EH-BRIGANTES,tier2,Replaces Eboracum: the legionary fortress was founded about AD 71 during the conquest of the Brigantes; the tribal name is an explicit regional field proxy.
