key,estate,name,description,modifiers,source,confidence,note
antq_oppidum_councils,burghers_estate,Oppidum Councils,Leading households and exchange specialists coordinate the larger enclosed settlements of southern Britain.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,P8.7;P13;PTO-GEO-II2;CCI-DUB;CCI-EPP,contested,The burghers estate is an engine proxy for heterogeneous oppidum households and exchange specialists; this does not reconstruct a municipal constitution or make every enclosed site a town.
antq_przeworsk_smithing_households,burghers_estate,Przeworsk Smithing Households,Metalworking households connect Vistula and upper-Oder settlements through tools ornaments weapons and exchange.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,UW-PRZEWORSK;PAN-LPR;P13,contested,Workshop and grave evidence supports metalworking and exchange but not a centralized craft guild; the burghers estate is a technical household-production proxy.
antq_dyakovo_hillfort_households,tribes_estate,Dyakovo Hillfort Households,Household communities maintain defended promontory settlements along the upper Volga and Oka waterways.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_levy_size_modifier=0.05,RAS-DYAKOVO;RA-DYAKOVO-UPPER;P13,contested,Hillfort occupation and function varied; this is a bounded settlement adapter rather than evidence for one polity-wide defensive system.
antq_gorodets_rampart_custodians,tribes_estate,Gorodets Rampart Custodians,Local households contribute labor and watch service to timber-and-earth defended settlements.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_levy_size_modifier=0.05,BSE-GORODETS;P13,contested,The privilege converts archaeological fortification evidence into gameplay without asserting permanent garrisons or a common constitution.
antq_northern_seasonal_rounds,tribes_estate,Northern Seasonal Rounds,Mobile households coordinate fishing hunting gathering and exchange between rivers lakes and the White Sea.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_pop_food_consumption=-0.01,ENC-NEEU;GERMANIA-NEVA;P13,contested,The round is an ecological gameplay abstraction across distinct northern material horizons and is not a claim of uniform ethnicity or subsistence.
antq_dnieper_river_brokers,burghers_estate,Dnieper River Brokers,Exchange households mediate movement along the Dnieper Dvina Neman and their forest-steppe approaches.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,AWE-DNIEPER-DVINA;LIT-NEMAN-STRIATED;RAS-ZAR;AAC-LIPITA;P13,contested,The burghers estate is a technical proxy for exchange households; the privilege does not posit a unified river league or homogeneous trade system.
antq_kama_sanctuary_custodians,clergy_estate,Kama Sanctuary Custodians,Ritual specialists and leading households maintain offering places tied to Kama and Vychegda communities.,global_clergy_estate_power=0.10|clergy_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,BSE-GLYADENOVO;ENC-NEEU;P13,contested,Glyadenovo offering complexes support a ritual layer; the clergy estate remains a technical proxy and does not imply an organized priesthood across every frame.
antq_pyanobor_mortuary_households,tribes_estate,Pyanobor Mortuary Households,Kin groups maintain local burial obligations and display regional metalwork within Kama exchange networks.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,ENC-NEEU;P13,contested,Mortuary assemblages support a household-memory mechanic but cannot establish one Pyanobor people polity or legal code.
antq_sargat_kurgan_retinues,tribes_estate,Sargat Kurgan Retinues,Mounted and foot retainers gather around leading forest-steppe households whose status is displayed in kurgan cemeteries.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|land_morale_modifier=0.01,RAS-SAR;RAS-SARGAT-CHRON;P13,contested,Variable kurgan wealth supports differentiated leading households but not one centralized Sargat aristocracy or standing army.
antq_altai_contact_caravans,burghers_estate,Altai Contact Caravans,Exchange brokers move horses metalwork and prestige goods between Altai valleys and the wider Inner Asian contact zone.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,ACSS-ALTAI-XIONGNU;ASU-ALTAI-KULAY;P13,contested,Contact goods do not establish Xiongnu occupation or a formal caravan institution; the privilege is a bounded exchange-network adapter.
antq_kulay_casting_households,burghers_estate,Kulay Casting Households,Specialist households cast distinctive bronze objects within forest and river exchange networks.,global_burghers_estate_power=0.10|burghers_estate_target_satisfaction=small_privilege_target_satisfaction|country_cabinet_efficiency=0.025,TOM-KUL;BSE-UST-POLUY;P13,contested,The burghers estate is a technical specialist-production proxy; dispersed casting traditions are not treated as a guild or unitary Kulay polity.
antq_hillfort_retinues,tribes_estate,Hillfort Retinues,Local fighting households maintain defended gathering places and answer the muster of their leading lineages.,global_tribes_estate_power=0.10|tribes_estate_target_satisfaction=small_privilege_target_satisfaction|global_levy_size_modifier=0.05,P8.7;P13;HE-HILLFORT,contested,Hillfort functions and occupation varied greatly; the privilege is a bounded military-political adapter rather than a claim that every polity had a permanent garrison.
