tag,region,profile,profile_name,starting_laws,source,confidence,boundary
ROM,Rome,roman,Roman Imperial,14,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
JUD,Levant,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
GAL,Levant,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
BAT,Levant,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
NAB,Arabia,arabian,Arabian Route-and-Oasis,14,P8.5;P11;P13;OCD;PLE,contested,"Distinguishes caravan, oasis, tribal, and South Arabian court practices without backdating Islamic-era institutions."
CAP,Anatolia,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
COM,Anatolia,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
EME,Levant,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
THR,Balkans,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
BOS,Pontic,hellenistic,Eastern Mediterranean Civic-Royal,14,P8.1;P8.4;P11;P13;OCD,contested,"Provides a bounded civic-royal adapter while preserving local differences among poleis, leagues, client courts, and temple cities."
MAU,Africa,african,African Royal-and-Community,14,P8.5;P11;P13;CAH-XI,contested,"Provides varied royal, urban, pastoral, and community choices without turning archaeological horizons into centralized states."
PAR,Iran,iranian,Arsacid-Iranian,14,P8.2;P11;P13;CAH-XI;OCD,contested,"Represents negotiated Arsacid royal, dynastic, civic, and temple authority rather than one codified Iranian constitution."
