surface,target,good,mechanic,value,source,confidence,note
law_modifier,antq_s2_han_revenue_salt_iron_offices,salt,output_modifier,0.08,P8.3;P12.1;P13;BHR,secure,State supervision raises inspected salt throughput without claiming a constant monopoly share.
law_modifier,antq_s2_han_revenue_salt_iron_offices,iron,output_modifier,0.08,P8.3;P12.1;P13;BHR,secure,State supervision raises inspected iron throughput without claiming a constant monopoly share.
law_modifier,antq_s2_arabian_external_nabataean_routes,antq_dates,output_modifier,0.06,P8.5;P12.1;P13;PLE,secure,Protected cistern and caravan stages support date movement through the Nabataean route system.
law_modifier,antq_s2_arabian_external_nabataean_routes,incense,output_modifier,0.05,P8.5;P12.1;P13;PLE,secure,The policy represents route security rather than invented royal production.
law_modifier,antq_s2_arabian_land_himyarite_irrigation,antq_dates,output_modifier,0.05,P8.5;P8.6;P12.1;P13;CAH-XI,secure,Terrace and water obligations support orchard output.
law_modifier,antq_s2_arabian_land_himyarite_irrigation,antq_sesame,output_modifier,0.05,P8.5;P8.6;P12.1;P13;CAH-XI,contested,Sesame represents a bounded irrigated oilseed response rather than a fixed kingdom-wide crop ratio.
law_modifier,antq_s2_indic_commerce_satavahana_guilds,pepper,output_modifier,0.05,P8.4;P12.1;P13;CAH-XI,secure,Guild and route protection improves marketable pepper throughput.
law_modifier,antq_s2_indic_commerce_satavahana_guilds,antq_coconut_products,output_modifier,0.05,P8.4;P12.1;P13;CAH-XI,contested,Processed coconut output is a coastal production adapter and not a uniform Satavahana specialization.
law_modifier,antq_s2_african_revenue_meroitic_returns,iron,output_modifier,0.06,P8.5;P12.1;P13;CAH-XI,secure,Meroitic ironworking is connected to the reviewed fiscal-workshop adapter.
law_modifier,antq_s2_african_revenue_meroitic_returns,antq_glass_beads,output_modifier,0.04,P8.5;P12.1;P13;CAH-XI,contested,Bead throughput models exchange workshops without fixing their administrative status.
law_modifier,antq_s2_steppe_muster_xiongnu_wings,antq_cheese_curds,pop_demand,0.05,P8.3;P12.1;P13;P14;BHR,contested,Dairy demand is a pastoral provisioning proxy and not a reconstructed ration.
law_modifier,antq_s2_steppe_muster_xiongnu_wings,antq_cured_meat,pop_demand,0.05,P8.3;P12.1;P13;P14;BHR,contested,Preserved meat demand is a mobile-host provisioning proxy.
law_modifier,antq_s2_eastern_muster_goguryeo_fortresses,rice,output_modifier,0.05,P8.3;P12.1;P13;P14;SAM,contested,Fortress granaries support bounded staple throughput without claiming rice alone supplied every district.
law_modifier,antq_s2_eastern_muster_goguryeo_fortresses,antq_soy_condiments,output_modifier,0.04,P8.3;P12.1;P13;P14;SAM,contested,Fermented condiment output is a conservative storage-chain adapter.
law_modifier,antq_s2_indic_revenue_anuradhapura_tanks,rice,output_modifier,0.06,P8.4;P12.1;P13;CAH-XI,secure,Tank-and-field rolls directly support irrigated staple output.
law_modifier,antq_s2_indic_revenue_anuradhapura_tanks,antq_coconut_products,output_modifier,0.04,P8.4;P12.1;P13;CAH-XI,contested,Coastal processed food output remains secondary to the irrigated rice effect.
privilege_modifier,antq_annona_privilege,antq_grain_products,pop_demand,0.08,P8.1;P12.1;P13;OCD,secure,The Annona creates public demand for prepared grain provisions.
privilege_modifier,antq_annona_privilege,antq_cured_meat,pop_demand,0.03,P8.1;P12.1;P13;OCD,contested,Preserved meat is a bounded supplementary urban distribution good rather than a claimed fixed ration.
privilege_modifier,antq_han_state_salt_iron_workshops,salt,output_modifier,0.10,P8.3;P12.1;P13;BHR,secure,The privilege now directly affects its named salt production.
privilege_modifier,antq_han_state_salt_iron_workshops,iron,output_modifier,0.10,P8.3;P12.1;P13;BHR,secure,The privilege now directly affects its named iron production.
privilege_modifier,antq_nabataean_caravan_water_guarantees,antq_dates,output_modifier,0.06,P8.5;P12.1;P13;PLE,secure,Water guarantees support oasis produce reaching protected stages.
privilege_modifier,antq_nabataean_caravan_water_guarantees,incense,output_modifier,0.05,P8.5;P12.1;P13;PLE,secure,Safe stages improve aromatic throughput rather than creating incense.
privilege_modifier,antq_himyarite_incense_route_toll_farm,incense,output_modifier,0.08,P8.5;P8.6;P12.1;P13;CAH-XI,secure,Inspected toll and escort institutions directly affect aromatic throughput.
privilege_modifier,antq_himyarite_incense_route_toll_farm,antq_sesame_oil,output_modifier,0.04,P8.5;P8.6;P12.1;P13;CAH-XI,contested,Oil processing is a secondary regional workshop effect.
privilege_modifier,antq_goguryeo_royal_granary_inspection,rice,output_modifier,0.06,P8.3;P12.1;P13;SAM,contested,The granary effect uses the engine rice good as a broad stored-staple adapter.
privilege_modifier,antq_goguryeo_royal_granary_inspection,antq_soy_condiments,output_modifier,0.04,P8.3;P12.1;P13;SAM,contested,Fermentation represents durable storehouse processing.
privilege_modifier,antq_bosporan_grain_harbor_measures,antq_grain_products,output_modifier,0.06,P8.1;P12.1;P13;OCD;PLE,secure,Harbor measures directly improve prepared grain throughput.
privilege_modifier,antq_bosporan_grain_harbor_measures,antq_preserved_fish,output_modifier,0.05,P8.1;P12.1;P13;OCD;PLE,secure,Strait fisheries and storage are connected to preserved fish output.
privilege_modifier,antq_omanite_coastal_pilotage_compacts,antq_cordage,output_modifier,0.06,P8.6;P12.1;P13;P14;STR-ARAB,contested,Pilotage households support rope supply without implying centralized dockyards.
privilege_modifier,antq_omanite_coastal_pilotage_compacts,antq_sailcloth,output_modifier,0.05,P8.6;P12.1;P13;P14;STR-ARAB,contested,Coastal provisioning supports sailcloth throughput.
privilege_modifier,antq_hadramite_shabwa_incense_store_custody,incense,output_modifier,0.08,P8.5;P12.1;P13;UNESCO-INCENSE,secure,Shabwa store custody directly affects incense throughput.
privilege_modifier,antq_hadramite_shabwa_incense_store_custody,antq_perfumes,output_modifier,0.04,P8.5;P12.1;P13;UNESCO-INCENSE,contested,Perfume processing is a bounded downstream workshop effect.
privilege_modifier,antq_satavahana_guild_charter_arbitration,pepper,output_modifier,0.06,P8.4;P12.1;P13;CAH-XI,secure,Protected corporate exchange improves pepper throughput.
privilege_modifier,antq_satavahana_guild_charter_arbitration,antq_coconut_products,output_modifier,0.04,P8.4;P12.1;P13;CAH-XI,contested,Coastal processing remains a secondary guild effect.
