design_tag,engine_tag,name,map_capital,location_count,former_bor_locations,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
NBR,NBR,Niah-Brunei Bay Cave-River Communities,niah,10,10,antq_niah_brunei_bay,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_cave_river_network,3,4,ce_boat_shield.dds,ANU-NIAH-METAL;P8.9,contested
RSW,RSW,Rajang-Sarawak Coastal Networks,santubong,10,10,antq_rajang_sarawak,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_coastal_exchange_network,3,4,ce_fish_okeane.dds,ANU-NIAH-METAL;P8.9,contested
KSB,KSB,Kinabatangan-Sabah Littoral Networks,kinabatangan,11,11,antq_kinabatangan_sabah,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_coastal_exchange_network,3,4,ce_asian_animist_sun.dds,MYH-BUKIT-TENGKORAK;P8.9,contested
NEB,NEB,Northeast Borneo River-Sea Networks,sesayap,11,11,antq_northeast_borneo_river_sea,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_coastal_exchange_network,3,4,ce_boat_shield.dds,QSR-LIANG-JON;P8.9,contested
SGK,SGK,Sangkulirang Karst Communities,karangan,5,5,antq_sangkulirang_karst,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_cave_river_network,2,3,ce_spiral.dds,QSR-LIANG-JON;QINT-LIANG-ABU;P8.9,contested
MHK,XDM,Mahakam River Networks,muarakaman,13,13,antq_mahakam_river,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_interior_river_network,4,5,ce_cartwheel.dds,QSR-LIANG-JON;QINT-LIANG-ABU;P8.9,contested
KPM,KPM,Kapuas-Melawi River Networks,pinoh,11,11,antq_kapuas_melawi,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_interior_river_network,3,4,ce_deer_kneeling.dds,ANTH-KAL-IRON;P8.9,contested
WBC,WBC,Western Borneo Coastal Networks,sambas,12,12,antq_west_borneo_coastal,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_coastal_exchange_network,3,4,ce_fish_okeane.dds,ANU-NIAH-METAL;P8.9,contested
CSB,XGL,Central-Southern Borneo River Networks,sampit,14,14,antq_central_south_borneo,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_interior_river_network,4,5,ce_spiral.dds,ANTH-KAL-IRON;P8.9,contested
BPR,XGM,Banjar-Paser River-Coast Networks,banua_lawas,13,13,antq_banjar_paser,antq_borneo_late_prehistoric_traditions,tribe,antq_borneo_foothill_iron_network,4,5,ce_spear_head_random_small.dds,ANTH-KAL-IRON;P8.9,contested
