location,culture,religion,pop_type,region,source,confidence,note
antioch,antq_greek_koine,antq_hellenic,peasants,Rome,P8.1;CAH-XI;OCD;PLE,secure,Antiochia was a Roman Syrian metropolis with a strongly Hellenophone civic population rather than an Arsacid or Latin settlement
amarendrapura,antq_austronesian,antq_austronesian_religion,tribesmen,Southeast Asia,P8.3;P8.9;CHAM-BIRTH,contested,Indigenous Rinan/Linyi population proxy under Han administration rather than an inference of Han cultural replacement
phon_nha,antq_austronesian,antq_austronesian_religion,tribesmen,Southeast Asia,P8.3;P8.9;CHAM-BIRTH,contested,Indigenous Rinan/Linyi population proxy under Han administration rather than an inference of Han cultural replacement
visnupura,antq_austronesian,antq_austronesian_religion,tribesmen,Southeast Asia,P8.3;P8.9;CHAM-BIRTH,contested,Indigenous Rinan/Linyi population proxy under Han administration rather than an inference of Han cultural replacement
vrddha_ratnapura,antq_austronesian,antq_austronesian_religion,tribesmen,Southeast Asia,P8.3;P8.9;CHAM-BIRTH,contested,Indigenous Rinan/Linyi population proxy under Han administration rather than an inference of Han cultural replacement
anak,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
baekcheon,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
bongju,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
cheongsong,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
gokju,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
haeju,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
hwangju,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
jaeryeong,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
jangyeon,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
ongjin,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
pungcheon,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
pyeongju,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
suan,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
tosan,antq_lelang_gojoseon,antq_korean_muism,peasants,Korea,AKS-LELANG;NMK-SAMHAN;P8.3,contested,Indigenous-majority Lelang commandery population under direct Han administration; local fusion is represented without cultural replacement
