source_culture,target_culture,view,reciprocal,source,confidence,note
antq_latin,antq_greek_koine,positive,yes,P8.1;CAH-XI;P10,secure,Latin and Greek are distinct western and eastern public languages within the Roman imperial system
antq_latin,antq_etruscan,positive,yes,P8.1;CAH-XI;P10,contested,Etruscan civic residue remains integrated but not linguistically kindred to Latin
antq_latin,antq_oscan_umbrian,kindred,yes,P8.1;CAH-XI;P10,contested,Italic linguistic relationship supports close affinity without erasing residual regional identity
antq_zhongyuan_han,antq_min_yue,positive,yes,BHR;CAM-HAN-REG;CAM-YUE;P10,contested,Commandery incorporation supports a positive political-cultural bridge without asserting Han-Yue sameness
antq_zhongyuan_han,antq_lingnan_yue,positive,yes,BHR;CAM-HAN-REG;CAM-YUE;P10,contested,Lingnan incorporation supports a positive political-cultural bridge without asserting Han-Yue sameness
antq_zhongyuan_han,antq_xiongnu,negative,yes,BHR;P8.3;CAH-XI;P10,contested,The opening Han-Xiongnu imperial rivalry receives bounded negative court-cultural affinity rather than universal ethnic enmity
antq_deccan_prakrit,antq_proto_telugu_kannada,positive,yes,P8.4;CAH-XI;P10,contested,Satavahana rule bridges distinct Prakrit and Dravidian regional profiles without making them kindred
antq_parthian,antq_aramaic,positive,yes,P8.2;CAH-XI;P10,contested,Arsacid Iranian court culture and Mesopotamian Aramaic public culture receive a positive administrative bridge
antq_bactrian,antq_sogdian,positive,yes,HAN-WR;CAH-XI;P10,contested,Eastern Iranian urban and confederational contact supports related but non-identical affinity
antq_bactrian,antq_saka,positive,yes,HAN-WR;CAH-XI;P10,contested,Bactrian-Saka contact supports related but non-identical affinity
antq_armenian,antq_kartvelian,positive,yes,P8.2;CAH-XI;P10,contested,Highland political contact supports positive affinity without collapsing Armenian and Kartvelian identity
antq_greek_koine,antq_cappadocian,positive,yes,P8.1;OCD;PLE;P10,contested,Hellenic civic and Cappadocian regional cultures share a court bridge without linguistic identity
antq_greek_koine,antq_thracian,positive,yes,P8.1;OCD;PLE;P10,contested,Hellenic civic and Thracian regional cultures share a court bridge without linguistic identity
antq_saka,antq_gandhari,positive,yes,P8.4;CAH-XI;P10,contested,Indo-Scythian rule supports a positive Saka-Gandhari political bridge
antq_meroitic,antq_nubian,positive,yes,P8.5;CAH-XI;P10,contested,Nile-corridor contact supports positive affinity without treating Meroitic and Nubian as one language
antq_berber,antq_gaetulian,positive,yes,P8.1;OCD;PLE;P10,contested,Mauretanian and Gaetulian frames share a bounded political bridge without fixed ethnic borders
