origin,surface,key,file,disposition,player_visible,localization,note
antiquitas,casus_belli,antq_chinese_warlord_unification,00_antiquitas_m9.txt,dated_dormant,no,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_demand_tribute,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_frontier_rectification,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_gupta_digvijaya,00_antiquitas_m9.txt,dated_dormant,no,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_holy_suppression,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_impose_client_king,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_loot_raid,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_punitive_expedition,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_sasanid_unification,00_antiquitas_m9.txt,dated_dormant,no,antiquitas,Ancient CB; later unification contracts remain dormant until events.
antiquitas,casus_belli,antq_succession_intervention,00_antiquitas_m9.txt,active_ancient,yes,antiquitas,Ancient CB; later unification contracts remain dormant until events.
installed,casus_belli,attack_threat,attack_threat.txt,retained_neutral,yes,installed,Installed mechanic is portable to AD 1 and explicitly allowlisted.
installed,casus_belli,cb_annex,01_event_triggered.txt,engine_internal,no,installed,Hardcoded or event-created CB; not player-created.
installed,casus_belli,cb_anti_piracy,anti_piracy.txt,retained_neutral,yes,installed,Installed mechanic is portable to AD 1 and explicitly allowlisted.
installed,casus_belli,cb_beaver_wars,beaver_wars.txt,quarantined,no,installed,Mounted post-antique or profile-unsafe definition is false-gated.
installed,casus_belli,cb_border_war,01_event_triggered.txt,engine_internal,no,installed,Hardcoded or event-created CB; not player-created.
