granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,kenogami_province,greenstone_belt_area,land,Nagagami–Kabinakagami Woodland,local hydronyms / archaeological English,paired-river archaeological construction,GEO-PROXY;OAS-POINT,medium,The north-Superior river corridor provides a bounded Woodland community frame.,false
province,kent_province,home_counties_area,land,Cantiaci Durovernum Rutupiae,Latinized Celtic ethnonym and Roman centers,attested people-center construction,GEO-PROXY;PTO-GEO-II2;CCI-EPP,high,Durovernum and Rutupiae anchored the Cantiaci territory around AD 1.,false
province,kentucky_province,kentucky_area,land,Ohio–Kentucky Adena,local hydronyms / archaeological culture,archaeological river-region construction,GEO-PROXY;https://www.nps.gov/articles/000/adena-culture.htm,high,Adena communities occupied the Ohio-Kentucky river valleys around the campaign boundary.,false
province,keonjhar_province,orissa_area,land,Kalinga–Atavi Keonjhar,Sanskrit historical region and forest-country term / local place name,attested region-landscape construction,GEO-PROXY;https://www.britannica.com/place/Kalinga-historical-kingdom-India,medium,The forested Garhjat uplands formed Kalinga's inland Atavi frontier.,false
province,keowee_province,south_carolina_area,land,Savannah–Keowee Woodland,local hydronyms / archaeological English,paired-river archaeological construction,GEO-PROXY;https://www.nps.gov/ocmu/learn/historyculture/woodland-period.htm,medium,Woodland communities of the upper Savannah watershed precede later Cherokee towns.,false
province,kerek_province,anadyr_area,land,Olyutor–Koryak Upland,local geographic names / English,paired-upland community construction,GEO-PROXY;https://www.britannica.com/place/Kamchatka-Peninsula,medium,The northern Pacific uplands receive a geographic frame without fixed historic ethnic boundaries.,false
province,kerema_coastal_sea_zones_province,papua_sea_zones_area,marine,Papuan Delta Offing,local regional name / English,physical delta-maritime construction,GEO-PROXY;JPA-PAPUA,medium,The broad gulf delta and island channels define this maritime footprint.,false
province,kerman_province,kerman_area,land,Carmania of Karmana–Shahdad,Greek-Latin region and city names,attested region-center construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+15.3&fromdoc=Perseus%3Atext%3A1999.01.0239,high,Karmana and the Shahdad oasis anchor ancient Carmania.,false
province,kermanshah_province,kordestan_area,land,Media–Elymais Zagros Gate,Greek classical regions / English,paired attested-region construction,GEO-PROXY;https://www.iranicaonline.org/articles/elymais;https://www.iranicaonline.org/articles/media,high,The central Zagros passes linked Media with Elymais around AD 1.,false
province,kert_province,morocco_area,land,Mauretanian Rif of Rusaddir,Latin kingdom and city name / local mountain name,attested center-region construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Plin.+Nat.+5&fromdoc=Perseus%3Atext%3A1999.02.0137,high,Rusaddir anchored the eastern Rif coast of the Mauretanian kingdom.,false
province,kerulen_province,argun_area,land,Xiongnu Kherlen Heartland,Han-era polity / local hydronym,attested polity-river construction,GEO-PROXY;OUP-XIO,high,The Kherlen valley lay within the eastern Xiongnu heartland.,false
province,kespek_province,new_brunswick_area,land,Restigouche–Chaleur Woodland,local river and bay names / archaeological English,paired-water archaeological construction,GEO-PROXY;OAS-POINT,medium,The gulf-facing rivers provide a Woodland frame before colonial New Brunswick.,false
province,kespukwitkw_province,acadia_area,land,Fundy–Southwestern-Acadia,local bay and indigenous regional names / archaeological English,directional archaeological construction,GEO-PROXY;OAS-POINT,medium,The southwest peninsula and Bay of Fundy support an ancestral Mi'kma'ki Woodland frame.,false
province,keweenaw_province,michigan_area,land,Superior Copper–Woodland,local lake name / archaeological English,resource-region archaeological construction,GEO-PROXY;https://www.nps.gov/kewe/learn/historyculture/prehistory.htm,high,Ancient copper use and Woodland communities anchor the Keweenaw and western Superior shore.,false
province,kezhma_province,bratsk_area,land,Angara–Tunguska Taiga,local hydronyms / English,paired-river taiga construction,GEO-PROXY;TOM-KUL,medium,The lower Angara and Tunguska forest corridor receives a neutral archaeological frame.,false
province,khaaso_province,ghana_area,land,Upper-Senegal–Falémé Iron,local hydronyms / archaeological English,paired-river archaeological construction,GEO-PROXY;JAH-GHANA,medium,The river corridor held iron-working communities before later Khasso states.,false
province,khadjibey_province,yedisan_area,land,Tyras–Hypanis Sarmatian,Greek hydronyms / Latin ethnonym / English,paired-river coastal construction,GEO-PROXY;WIL-SAR;ANA-SAR,high,The estuaries between Tyras and Hypanis formed a Pontic-Sarmatian coastal zone.,false
province,khairabad_province,awadh_area,land,Kosala–Gomati Plains,Sanskrit historical region and hydronym,attested region-river construction,GEO-PROXY;https://www.britannica.com/place/Kosala,high,The Gomati plain belonged to the ancient Kosala landscape.,false
province,khalifatabad_province,bengal_area,land,Vanga–Samatata Delta,Sanskrit historical regions,paired attested-region construction,GEO-PROXY;https://en.banglapedia.org/index.php/Samatata,high,The lower Bengal delta lay between Vanga and Samatata before medieval Khalifatabad.,false
province,khamag_province,west_stanovoi_area,land,Baunt–Vitim Taiga,local lake and river names / English,paired-water taiga construction,GEO-PROXY;https://www.britannica.com/place/Vitim-River,medium,The Baunt lake basin and Vitim tributaries provide a neutral taiga frame.,false
province,khammamet_province,telingana_area,land,Andhra–Krishna Eastern Deccan,Sanskrit historical region / local hydronym / English,attested region-river construction,GEO-PROXY;https://www.britannica.com/topic/Satavahana-dynasty,high,The lower Krishna and Telangana plateau belonged to the Andhra-Sātavāhana sphere.,false
province,khandesh,malwa_area,land,Malava–Vidarbha Tapti Corridor,Sanskrit historical regions and hydronym,paired-region river construction,GEO-PROXY;BM-TRIBAL-COINS,high,The Tapti corridor linked Malava and Vidarbha around AD 1.,false
province,khandyga_province,amga_area,land,Aldan–Khandyga Taiga,local hydronyms / English,paired-river taiga construction,GEO-PROXY;https://www.britannica.com/place/Aldan-River,medium,The Aldan tributary corridor provides a geographic frame for mobile forest communities.,false
province,khaqmar_province,desht_kipchak_area,land,Southern Ural Belaya,local mountain and river names / Latin ethnonym,attested people-frontier construction,GEO-PROXY;WIL-SAR;ANA-SAR,high,The southern Ural forest-steppe formed an eastern Sarmatian contact zone.,false
province,khara_khoto_province,southern_gobi_area,land,Juyan–Xiongnu Desert March,Han-era basin and polity names / English,attested frontier-desert construction,GEO-PROXY;OUP-XIO;https://ctext.org/han-shu/xiong-nu-zhuan-xia/ens,high,The Juyan lake basin and Badain Jaran route formed a Han-Xiongnu desert frontier.,false
province,kharaa_province,lower_selenga_area,land,Xiongnu Kharaa–Eroo Valleys,Han-era polity / local hydronyms,attested polity-river construction,GEO-PROXY;OUP-XIO,high,The tributary valleys north of the steppe heartland belonged to the Xiongnu sphere.,false
province,kharakhoen_province,kalahari_area,land,Central-Kalahari Forager,local desert name / English,biome-community construction,GEO-PROXY;OUP-SOUTH-AFRICA,medium,The arid interior receives a broad forager frame without projecting later Khoekhoe groups uniformly.,false
province,kharan_province,baluchistan_area,land,Gedrosian Kharan Desert,Greek classical region / local desert name,attested region-landscape construction,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+15.2&fromdoc=Perseus%3Atext%3A1999.01.0239,high,The Kharan basin formed the inland desert of classical Gedrosia.,false
province,khari_karoo_province,goringhaikona_area,land,Karoo–Tsitsikamma Pastoral,local landscape names / English,paired-biome pastoral construction,GEO-PROXY;OUP-SOUTH-AFRICA,medium,The mountain and Karoo transition held mixed forager-pastoral communities around AD 1.,false
