"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"area","abruzzo_area","italy_region","land","Samnium and the Vestini","Latin","attested people-region composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.4&fromdoc=Perseus%3Atext%3A1999.01.0239","high","Samnium plus the Vestini covers the installed Molise and central-Adriatic Apennine footprint without the medieval Abruzzi label.","false"
"area","acadia_area","canada_region","land","Mi'kma'ki","Mi'kmawi'simk","verified Indigenous territorial name","installed:in_game/map_data/definitions.txt;https://parks.canada.ca/lhn-nhs/ns/halifax/culture/autochtone-indigenous/carte-mikmaki-map","high","The constituent districts match the ancestral Mi'kmaw Maritimes territory; the name is not a projection of colonial Acadia.","false"
"area","acamama_area","andes_region","land","Chanapata and Yunga","archaeological English / Quechua","archaeological-horizon and ecological composite","installed:in_game/map_data/definitions.txt;https://www.scielo.cl/scielo.php?lng=en&nrm=iso&pid=S0717-73562023000300463&script=sci_arttext","medium","Chanapata-associated Cusco occupations and the eastern Yunga slope fit the two installed provinces at AD 1.","false"
"area","adamawa_area","central_africa_region","land","Post-Nok Highlands","archaeological English","archaeological-horizon construction","installed:in_game/map_data/definitions.txt;https://www.metmuseum.org/es/essays/nok-terracottas-500-b-c-200-a-d;https://www.cambridge.org/core/books/cambridge-world-prehistory/archaeology-of-the-central-african-rainforest-its-current-state/4B08FF8D769003D0B143CD2FC642C574","medium","Uses the seeded post-Nok horizon and highland geography without claiming a centralized Adamawa identity.","false"
"area","adriatic_sea_area","balkan_region","marine","Mare Hadriaticum","Latin","attested classical sea name","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","Contemporary Latin form for the full north-south Adriatic sea-zone bundle.","false"
"area","aegean_archipelago_area","balkan_region","land","Nesoi Aigaiou","Ancient Greek transliteration","attested geographic construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D10","high","Greek Islands of the Aegean distinguishes the inhabited archipelago from the adjoining sea area.","false"
"area","aegean_sea_area","balkan_region","marine","Mare Aegaeum","Latin / Greek","attested classical sea name","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D10","high","Classical name for the Aegean Marmara and Smyrna-facing water bundle.","false"
"area","air_area","sahel_region","land","Aïr Massif","Tuareg / French conventional form","local toponym plus landform","installed:in_game/map_data/definitions.txt;https://whc.unesco.org/en/list/573/","medium","Retains the durable local mountain name but adds the physical frame; it implies no later sultanate.","false"
"area","akan_area","guinea_region","land","Tano and Pra Forests","indigenous hydronyms / English","hydrographic-ecological construction","installed:in_game/map_data/definitions.txt;https://www.cambridge.org/core/books/cambridge-world-prehistory/archaeology-of-the-central-african-rainforest-its-current-state/4B08FF8D769003D0B143CD2FC642C574","medium","River basins replace a premature unitary Akan identity while fitting the installed forest provinces.","false"
"area","alabama_area","east_coast_region","land","Mobile and Coosa Woodlands","indigenous hydronyms / archaeological English","hydrographic-archaeological construction","installed:in_game/map_data/definitions.txt;https://planning.nps.gov/showFile.cfm?projectID=46135&sfid=165287","medium","The river pair and Woodland horizon fit the Alabama Gulf and Tennessee-valley footprint around AD 1.","false"
"area","alaska_sea_zones_area","alaska_region","marine","Alax̂sxax̂ Coastal Waters","Unangam Tunuu / English","local-name maritime construction","installed:in_game/map_data/definitions.txt;https://www.nps.gov/articles/iyatayet.htm","medium","A local-derived coastal frame covers the Bering Gulf-of-Alaska and northwest-coast sea zones without a modern state label.","false"
"area","alaxsxaq_area","alaska_region","land","Tanana and Dene Lands","indigenous hydronym / language-family name","ethnogeographic construction","installed:in_game/map_data/definitions.txt;https://dnr.alaska.gov/parks/oha/publications/oha173overviewofalaskaprehistory.pdf","medium","The installed Ahtna Deg Xinag Dena'ina and Tanana provinces are better represented by a plural Dene interior than by the modern Alaska umbrella.","false"
"area","albania_area","balkan_region","land","Taulantii and Parthini","Latinized Illyrian ethnonyms","attested people composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","Two attested Illyrian peoples anchor the coastal and inland provinces while North Epirus remains visible below this tier.","false"
"area","alboran_sea_area","maghreb_region","marine","Iberian Sea","English from Greek / Latin","attested classical maritime frame","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D3","medium","Uses the classical Iberian-facing sea rather than the much later Alboran name for this western-Mediterranean bundle.","false"
"area","algiers_area","maghreb_region","land","Mauretania and the Masaesyli","Latin / Numidian ethnonym","attested kingdom-people composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D17","high","Fits the AD 1 Mauretanian kingdom and western Numidian communities without backdating the AD 42 Roman province.","false"
"area","alsace_area","south_german_region","land","Tribocian Plain","Latinized ethnonym / English","attested people-landscape construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Triboci occupied the Rhine plain around Argentorate; the name avoids medieval Alsace.","false"
"area","amazon_area","brazil_region","land","Acutuba and Lower Paraná-Uassú","archaeological name / English","archaeological-hydrographic composite","installed:in_game/map_data/definitions.txt;https://www.cambridge.org/core/journals/antiquity/article/abs/twenty-years-of-amazonian-archaeology-in-brazil-19771997/7D0DC11E20330C3B0942FA8A4F814CDF","medium","The seeded Acutuba horizon plus lower-river geography fits Manaus Tapajós and the mouth without one ethnic claim.","false"
"area","amdo_area","tibet_region","land","Sumpa and Qiang Plateau","Tibetic / Han Chinese conventional forms","attested people-landscape composite","installed:in_game/map_data/definitions.txt;https://ctext.org/han-shu/di-li-zhi/ens","medium","Sumpa and Qiang are the strongest early ethnogeographic anchors across the installed northeastern plateau.","false"
"area","amga_area","east_siberia_region","land","Amga and Aldan Lands","indigenous hydronyms / English","hydrographic construction","installed:in_game/map_data/definitions.txt;https://pmc.ncbi.nlm.nih.gov/articles/PMC7617447/","medium","River geography makes a confident map label without inventing one AD 1 people across the central Yakutian taiga.","false"
