key,title,sheet,quadrant,gfx_scope,reference,visual_basis
roman,Roman and Italic,sheet_01,top_left,roman/italic/mediterranean,https://www.metmuseum.org/essays/roman-housing,"Augustan elite reception hall; fresco, stucco, marble revetment, mosaic"
hellenistic,Hellenistic,sheet_01,top_right,Greek/east Mediterranean,https://whc.unesco.org/en/list/1457/,"Pergamene colonnade and painted civic-palatial interior"
celtic,Celtic and Brittonic,sheet_01,bottom_left,Celtic/Brittonic,https://www.britishmuseum.org/sites/default/files/2019-09/visit-resource_prehistoric-britain-KS2.pdf,"Timber and wattle-and-daub roundhouse with central hearth"
germanic,Germanic,sheet_01,bottom_right,Germanic/Gothic,https://en.natmus.dk/historical-knowledge/denmark/prehistoric-period-until-1050-ad/the-early-iron-age/,"Early Roman Iron Age timber hall in a fenced farming-settlement tradition"
iranian_steppe,Iranian and Steppe,sheet_02,top_left,Iranian/Central Asian,https://whc.unesco.org/en/list/1242/,"Parthian Nisa-derived columned audience interior and painted plaster"
indic,Indic,sheet_02,top_right,Indic/Dravidian/Tibetan,https://whc.unesco.org/en/list/524/,"Early Indian column and railing vocabulary grounded in Sanchi"
han_east_asian,Han and East Asian,sheet_02,bottom_left,Han/East Asian,https://whc.unesco.org/en/list/1442/maps/,"Western Han Weiyang Palace timber-bay synthesis; no later imperial roofline in frame"
near_eastern,Near Eastern,sheet_02,bottom_right,Levantine/Arabian/Egyptian/Caucasian,https://whc.unesco.org/en/list/1130/,"Ashur/Hatra-derived plastered masonry and columned reception setting"
african,African,sheet_03,top_left,African/Kushite,https://whc.unesco.org/en/list/1336/,"Meroitic palace/temple materials and Nile-valley painted architectural vocabulary"
american,American,sheet_03,top_right,American,https://whc.unesco.org/en/list/414/,"Bounded pre-Columbian plastered council setting; Teotihuacan palette and wall painting"
oceanian,Oceanian,sheet_03,bottom_left,Austronesian/Oceanian,https://whc.unesco.org/document/10060,"Bounded Lapita/Austronesian timber-and-thatch assembly-house synthesis"
neutral,Neutral Ancient Fallback,sheet_03,bottom_right,all unmatched,https://whc.unesco.org/en/list/1130/,"Plain plaster/timber/stone ancient hall deliberately stripped of culture-specific claims"
