key,estate,name,description,modifiers,source,confidence,note,potential_reforms,exclusive_with
antq_roman_senatorial_commissions,nobles_estate,Senatorial Commissions,Recognized senatorial commissions scrutinize provincial accounts and public obligations while preserving the princeps' final authority.,global_nobles_estate_power=0.08|nobles_estate_target_satisfaction=medium_privilege_target_satisfaction|country_cabinet_efficiency=0.02|monthly_towards_centralization=societal_value_minor_monthly_move|nobles_estate_max_tax=-0.03,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,antq_roman_provincial_land_surveys
antq_roman_provincial_land_surveys,nobles_estate,Provincial Land Surveys,Elite landholders support surveyed boundaries and assessed estates in return for predictable fiscal treatment and stronger local influence.,global_nobles_estate_power=0.08|nobles_estate_target_satisfaction=medium_privilege_target_satisfaction|global_levy_size_modifier=0.035|land_morale_modifier=0.01|monthly_towards_decentralization=societal_value_minor_monthly_move|nobles_estate_max_tax=-0.04,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,antq_roman_senatorial_commissions
antq_roman_collegial_cult_stipends,clergy_estate,Collegial Cult Stipends,"Public priestly colleges receive protected stipends for calendars, vows, auspices, and the custody of civic ritual equipment.",global_clergy_estate_power=0.08|clergy_estate_target_satisfaction=medium_privilege_target_satisfaction|research_speed_modifier=0.015|stability_cost_efficiency=-0.05|clergy_estate_max_tax=-0.05,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,
antq_roman_equestrian_public_contracts,burghers_estate,Equestrian Public Contracts,"Equestrian contractors receive stable terms for transport, tax collection, supplies, and other bounded public undertakings.",global_burghers_estate_power=0.08|burghers_estate_target_satisfaction=medium_privilege_target_satisfaction|global_trade_through_owned_territory_efficiency=0.04|country_cabinet_efficiency=0.015|burghers_estate_max_tax=-0.03,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,antq_roman_recognized_collegia
antq_roman_recognized_collegia,burghers_estate,Recognized Collegia,"Selected craft, burial, and neighborhood associations gain legal recognition while accepting registration and public-service obligations.",global_burghers_estate_power=0.08|burghers_estate_target_satisfaction=medium_privilege_target_satisfaction|global_production_efficiency=0.02|country_cabinet_efficiency=0.015|burghers_estate_max_tax=-0.04,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,antq_roman_equestrian_public_contracts
antq_roman_petition_and_census_guarantees,peasants_estate,Petition and Census Guarantees,Citizens and provincials receive regular petition channels and predictable census obligations at the cost of slower coercive extraction.,global_peasants_estate_power=0.08|peasants_estate_target_satisfaction=medium_privilege_target_satisfaction|global_pop_food_consumption=-0.006|global_levy_size_modifier=0.02|monthly_towards_free_subjects=societal_value_minor_monthly_move|global_monthly_control=-0.0005,P8.1;P11;P13;OCD,secure,Orders are engine participation categories; they do not make the Augustan orders equal corporate estates or the Senate a sovereign legislature.,antq_principate|antq_dominate|antq_augustan_dyarchy|antq_provincial_principate,
antq_han_palace_memorial_access,nobles_estate,Palace Memorial Access,"Court and great families retain regulated channels for authenticated memorials, appointments, and review of commandery reports.",global_nobles_estate_power=0.09|nobles_estate_target_satisfaction=medium_privilege_target_satisfaction|country_cabinet_efficiency=0.0225|monthly_towards_centralization=societal_value_minor_monthly_move|nobles_estate_max_tax=-0.03,P8.3;P13;BHR;CTP-WM,secure,"The categories distinguish court, ritual, registered household, workshop, and exchange interests without imposing European estates on Han institutions.",antq_han_imperial_bureaucracy|antq_memorialist_han_court|antq_commandery_supervision,antq_han_registered_estate_returns
antq_han_registered_estate_returns,nobles_estate,Registered Estate Returns,Powerful households submit land and dependent-household returns in exchange for predictable assessment and recognized status.,global_nobles_estate_power=0.09|nobles_estate_target_satisfaction=medium_privilege_target_satisfaction|global_levy_size_modifier=0.04|land_morale_modifier=0.0125|monthly_towards_decentralization=societal_value_minor_monthly_move|nobles_estate_max_tax=-0.04,P8.3;P13;BHR;CTP-WM,secure,"The categories distinguish court, ritual, registered household, workshop, and exchange interests without imposing European estates on Han institutions.",antq_han_imperial_bureaucracy|antq_memorialist_han_court|antq_commandery_supervision,antq_han_palace_memorial_access
antq_han_calendar_and_ritual_consultation,clergy_estate,Calendar and Ritual Consultation,"Ritual and scholarly officials receive a formal hearing on calendars, court rites, omens, and the language of imperial measures.",global_clergy_estate_power=0.09|clergy_estate_target_satisfaction=medium_privilege_target_satisfaction|research_speed_modifier=0.0175|stability_cost_efficiency=-0.05|clergy_estate_max_tax=-0.05,P8.3;P13;BHR;CTP-WM,secure,"The categories distinguish court, ritual, registered household, workshop, and exchange interests without imposing European estates on Han institutions.",antq_han_imperial_bureaucracy|antq_memorialist_han_court|antq_commandery_supervision,
antq_han_commandery_workshop_quotas,burghers_estate,Commandery Workshop Quotas,Registered workshops receive material allotments and stable quotas while their managers accept inspection and production obligations.,global_burghers_estate_power=0.09|burghers_estate_target_satisfaction=medium_privilege_target_satisfaction|global_trade_through_owned_territory_efficiency=0.045|country_cabinet_efficiency=0.015|burghers_estate_max_tax=-0.03,P8.3;P13;BHR;CTP-WM,secure,"The categories distinguish court, ritual, registered household, workshop, and exchange interests without imposing European estates on Han institutions.",antq_han_imperial_bureaucracy|antq_memorialist_han_court|antq_commandery_supervision,antq_han_licensed_long_distance_trade
