key,location,building,level,source,confidence,note
roma_aqua_virgo,rome,antq_aqua_virgo,1,SOV-AQUA-VIRGO;TR-BATHS-AGRIPPA,secure,Named Aqua Virgo water infrastructure replaces the generic aqueduct proxy
roma_annona,rome,antq_horrea_publica,1,OCD-ANNONA;P12.3,secure,Named public horrea represent the Augustan annona and capital grain storage
roma_mint,rome,antq_monetarium_roma,1,P12.3;P8.1,secure,Named Roman mint represents imperial civic coinage
roma_navalia,rome,antq_navalia_romae,1,DAR-NAVALIA,contested,Named Tiberine naval-supply and warship-shed proxy; exact Augustan configuration is not asserted
ravenna_classis,ravenna,antq_classis_ravennatis,1,MIC-CLASSE;RA-CLASSE,secure,Named Augustan Classe military-port proxy; bounded Ravenna location representation with no fleet roster
mainz_castrum,mainz,antq_castrum_mogontiacum,1,MZ-MOG;MZ-DRUSUS,secure,Named 13/12 BC Mogontiacum legionary camp; low timber-and-earth fort proxy with no order of battle
neuss_castrum,neuss,antq_castrum_novaesium,1,NEU-NOVAESIUM,secure,Named 16 BC Novaesium garrison; low timber-and-earth fort proxy with no order of battle or later permanent-fort claim
nijmegen_castrum_hunnerberg,nijmegen,antq_castrum_hunnerberg,1,RU-HUNNERBERG,secure,Named c.19 BC Hunnerberg camp proxy; preserves Batavian client ownership and adds no legion roster or later fortress claim
basel_castrum_augusta_raurica,basel,antq_castrum_augusta_raurica,1,AR-COLONIA,secure,Bounded Basel near-site proxy for the post-15-BC Kaiseraugst timber military camp beside Augusta Raurica; no recovered fort title or legion roster
roma_aedes_vestae,rome,antq_aedes_vestae,1,DAR-VESTA,contested,Bounded AD 1 Forum hearth-temple proxy
roma_aedes_saturni,rome,antq_aedes_saturni,1,DAR-SATURNUS,contested,Bounded AD 1 Forum treasury-temple context proxy
roma_miliarium_aureum,rome,antq_miliarium_aureum,1,DAR-MILIARIUM-AUREUM,contested,Bounded 20 BC Forum road-node proxy
roma_aedes_penatium,rome,antq_aedes_penatium,1,DAR-PENATES,contested,Bounded Augustan Velia shrine proxy
roma_fornix_fabianus,rome,antq_fornix_fabianus,1,DAR-FORNIX-FABIANUS,contested,Bounded Republican Forum-approach arch proxy
roma_ara_saturni,rome,antq_ara_saturni,1,DAR-ARA-SATURNI,contested,Bounded ancient Forum altar proxy
