"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"region","kongo_region","central_africa","land","Western Equatorial Forests","English","archaeological-landscape construction","installed:in_game/map_data/definitions.txt;https://pmc.ncbi.nlm.nih.gov/articles/PMC7880602/;https://d.lib.msu.edu/etd/47875","medium","Footprint-led name for the western Congo forests and southern savannas during the Early Iron Age Bantu dispersal; avoids projecting the much later Kongo kingdom over AD 1.","false"
"region","korea_region","east_asia","land","Samhan–Lelang","Old Korean / Han Chinese (conventional English)","attested political-geography synthesis","installed:in_game/map_data/definitions.txt;https://www.metmuseum.org/-/media/files/learn/for-educators/publications-for-educators/korea.pdf;https://www.museum.go.kr/ENG/contents/E0201030400.do?schM=list&showHallId=760&showroomCode=DM0048","high","Compactly joins the southern Mahan Jinhan and Byeonhan world to the Han commandery that anchored the northwestern peninsula; Goguryeo remains represented below the region tier.","false"
"region","la_plata_region","south_america","land","Southern Grasslands and Isles","English","physical-geography construction","installed:in_game/map_data/definitions.txt;https://www.cambridge.org/core/books/abs/archaeology-of-the-pampas-and-patagonia/introduction/2521FD9F2856E2FBD6517DA57D9C3170;https://link.springer.com/book/10.1007/978-3-031-55194-9","medium","Neutral landscape name for the Pampa Patagonian and South Atlantic island footprint; avoids the colonial Rio de la Plata and Patagonia labels.","false"
"region","macaronesia_region","north_africa","land","Fortunate Isles","Ancient Greek / Latin","attested classical island-group name extended to footprint","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/L/Roman/Texts/Pliny_the_Elder/6%2A.html;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/3A%2A.html","medium","The classical Fortunate Isles securely frame the Canaries; the name is extended at region scale to the adjacent Atlantic archipelagos without claiming all were individually known.","false"
"region","madagascar_region","east_africa","land","Great Southern Island","English","physical-geography construction","installed:in_game/map_data/definitions.txt;https://ora.ox.ac.uk/objects/uuid:41477924-8b71-47df-a50c-8ed73665b22c","medium","A firm geographic map name for an island with no recoverable AD 1 endonym and no convincing permanent settlement before the mid-first millennium AD; avoids medieval Madagascar.","false"
"region","maghreb_region","north_africa","land","Africa and Mauretania","Latin","attested paired macro-regions","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/17C%2A.html","high","The paired Augustan-era names cover the engine footprint from Africa Proconsularis and Tripolitania west through the Mauretanian kingdoms.","false"
"region","manchuria_region","east_asia","land","Liaodong and Yilou","Han Chinese (conventional English)","attested political-ethnographic synthesis","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/hhshu/notes1.html;https://chgis.fas.harvard.edu/","high","Liaodong identifies the Han-administered southwest while Yilou supplies the recorded northeastern forest zone; the pair fits the Liao Songhua Ussuri and Amur footprint without the late Manchu name.","false"
"region","melanesia_region","pacific_islands","land","Papuan and Post-Lapita Isles","English archaeological terminology","archaeological-cultural synthesis","installed:in_game/map_data/definitions.txt;https://doi.org/10.1073/pnas.181335398","medium","The label distinguishes long-established Papuan worlds from the island societies descended from or transformed after the Lapita horizon; it avoids the nineteenth-century coinage Melanesia.","false"
"region","mesoamerica_region","north_america","land","Maya and Teotihuacan Lands","English with Maya endonym","archaeological-cultural synthesis","installed:in_game/map_data/definitions.txt;https://82nd-and-fifth.metmuseum.org/toah/ht/05/cam.html;https://www.metmuseum.org/es/essays/teotihuacan","high","The two-part label covers the Maya lowlands and the Teotihuacan Zapotec Epi-Olmec and western Mexican cultural zones active around AD 1.","false"
"region","micronesia_region","pacific_islands","land","Northern Oceanic Archipelagos","English","physical-geography construction","installed:in_game/map_data/definitions.txt;https://academic.oup.com/edited-volume/34645/chapter/295210199;https://openresearch-repository.anu.edu.au/server/api/core/bitstreams/05a66407-d5e5-4853-a6e3-0042a28d7cd0/content","medium","Neutral umbrella for already distinct Marianas Palau Caroline and eastern atoll sequences; avoids the nineteenth-century classificatory name Micronesia.","false"
"region","mongolia_region","east_asia","land","Xiongnu Heartlands","Han Chinese ethnonym / English qualifier","attested polity plus footprint qualifier","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/exhibit/xiongnu/essay.html;https://www.iranicaonline.org/articles/xiongnu/","high","The Mongolian plateau and Gobi footprint formed the core pasture and political zone of the Xiongnu confederation at the AD 1 start.","false"
"region","new_zealand_region","australasia","land","Far Southern Isles","English","directional physical-geography construction","installed:in_game/map_data/definitions.txt;https://teara.govt.nz/en/when-was-new-zealand-first-settled","medium","An explicitly geographic name for islands uninhabited in AD 1; it avoids both the colonial New Zealand name and retrojecting a later Maori endonym before settlement.","false"
"region","north_atlantic_islands_region","western_europe","land","Thule and the Northern Isles","Ancient Greek / English","attested classical name plus footprint extension","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/4E%2A.html;https://penelope.uchicago.edu/Thayer/L/Roman/Texts/Pliny_the_Elder/4%2A.html","medium","Thule supplies the classical far-northern anchor while the qualifier covers Iceland Greenland and the Northern Isles without forcing a disputed one-to-one identification.","false"
"region","north_atlantic_ocean_region","north_atlantic_ocean_sub_continent","marine","Oceanus Atlanticus","Latin","attested classical ocean concept","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/3A%2A.html;https://penelope.uchicago.edu/Thayer/L/Roman/Texts/Pliny_the_Elder/6%2A.html","medium","Classical Atlantic Oceanus names the engine's open northern Atlantic waters while remaining distinct from the hierarchy's broader Northern Western Ocean.","false"
"region","north_china_region","east_asia","land","Zhongyuan","Han Chinese (conventional romanization)","attested geographic macro-name matched to footprint","installed:in_game/map_data/definitions.txt;https://chgis.fas.harvard.edu/;https://chgis.fas.harvard.edu/work/docs/papers/HG33berman.pdf","high","The Central Plain is the compact Han-era frame for the Yellow River commandery heartland represented by Hebei Henan Shandong and Shanxi areas.","false"
"region","north_german_region","western_europe","land","Germania and Belgica","Latin","attested paired ethnogeography","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/7A%2A.html;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/4A%2A.html","high","The pair covers both free and Roman Germania and the Belgic Lower Rhine and Low Countries footprint that a single Germania label would miss.","false"
"region","north_pacific_ocean_region","north_pacific_ocean_sub_continent","marine","Great Northern Sea","English (classical geographic calque)","directional classical-worldview construction","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/L/Roman/Texts/Pliny_the_Elder/6%2A.html","medium","Directional name for remote northern waters outside any attested AD 1 pan-oceanic naming system; it avoids the post-Magellan Pacific name.","false"
"region","nubia_region","east_africa","land","Kush and the Upper Nile","Egyptian / English","attested polity plus physical footprint","installed:in_game/map_data/definitions.txt;https://www.britishmuseum.org/collection/object/Y_EA719;https://www.britishmuseum.org/collection/object/Y_EA1650","high","Kush is the period polity centered at Meroe and Upper Nile extends the label through the engine's Butana Nubia Darfur and Equatoria footprint.","false"
"region","persia_region","middle_east","land","Media and Persis","Ancient Greek / Latin","attested paired macro-regions","installed:in_game/map_data/definitions.txt;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/15C%2A.html;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.01.0239:book=16","high","The two classical heartland names cover the western and southern Iranian plateau more faithfully at AD 1 than the broad modern-state reading of Persia.","false"
"region","polynesia_region","pacific_islands","land","Tonga–Samoa and Eastern Isles","Polynesian endonyms / English","settlement-core plus directional footprint construction","installed:in_game/map_data/definitions.txt;https://doi.org/10.1073/pnas.181335398;https://archpress.lib.sfu.ca/index.php/archpress/catalog/book/73","medium","Names the settled Ancestral Polynesian core at AD 1 and treats the then mostly uncolonized eastern archipelagos as a geographic extension rather than projecting later societies backward.","false"
"region","russian_region","eastern_europe","land","Upper Volga–Ilmen Lands","English","river-basin physical-geography construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Volga-River;https://www.britannica.com/place/Lake-Ilmen","medium","Physical name for the forest-zone footprint before Rus and Russia; it avoids imposing one Finnic Baltic or early Slavic ethnonym over a mixed archaeological landscape.","false"
