sheet,cell,key,name,age,subject,source,reference,prompt
sheet_01.png,top_left,antq_indic_inscriptional_statecraft,Indic Inscriptional Statecraft,age_1_traditions,"Court, guild, and monastic inscriptions make grants, status, and political claims durable across Indic networks.",P8.4;P14.3;CAH-XI;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Indic Inscriptional Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Court, guild, and monastic inscriptions make grants, status, and political claims durable across Indic networks.
Top Right: Monsoon Navigation. Choose one historically grounded emblematic object composition. Historical brief: Seasonal wind knowledge, pilotage, and harbor brokerage organize Indian Ocean and Austronesian exchange.
Bottom Left: Roman Juristic Science. Choose one historically grounded emblematic object composition. Historical brief: Professional responsa and organized imperial constitutions turn legal interpretation into a transferable learned practice.
Bottom Right: Red Sea Oceanic Exchange. Choose one historically grounded emblematic object composition. Historical brief: Customs, seasonal shipping, and multilingual brokerage bind the Horn, Arabia, India, and Roman seas.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_01.png,top_right,antq_monsoon_sea_networks,Monsoon Navigation,age_1_traditions,"Seasonal wind knowledge, pilotage, and harbor brokerage organize Indian Ocean and Austronesian exchange.",P8.4;P8.9;P14.3;PER;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Indic Inscriptional Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Court, guild, and monastic inscriptions make grants, status, and political claims durable across Indic networks.
Top Right: Monsoon Navigation. Choose one historically grounded emblematic object composition. Historical brief: Seasonal wind knowledge, pilotage, and harbor brokerage organize Indian Ocean and Austronesian exchange.
Bottom Left: Roman Juristic Science. Choose one historically grounded emblematic object composition. Historical brief: Professional responsa and organized imperial constitutions turn legal interpretation into a transferable learned practice.
Bottom Right: Red Sea Oceanic Exchange. Choose one historically grounded emblematic object composition. Historical brief: Customs, seasonal shipping, and multilingual brokerage bind the Horn, Arabia, India, and Roman seas.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_01.png,bottom_left,antq_roman_juristic_science,Roman Juristic Science,age_2_renaissance,Professional responsa and organized imperial constitutions turn legal interpretation into a transferable learned practice.,P8.1;P15;OCD;CAH-XI;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Indic Inscriptional Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Court, guild, and monastic inscriptions make grants, status, and political claims durable across Indic networks.
Top Right: Monsoon Navigation. Choose one historically grounded emblematic object composition. Historical brief: Seasonal wind knowledge, pilotage, and harbor brokerage organize Indian Ocean and Austronesian exchange.
Bottom Left: Roman Juristic Science. Choose one historically grounded emblematic object composition. Historical brief: Professional responsa and organized imperial constitutions turn legal interpretation into a transferable learned practice.
Bottom Right: Red Sea Oceanic Exchange. Choose one historically grounded emblematic object composition. Historical brief: Customs, seasonal shipping, and multilingual brokerage bind the Horn, Arabia, India, and Roman seas.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_01.png,bottom_right,antq_red_sea_oceanic_exchange,Red Sea Oceanic Exchange,age_2_renaissance,"Customs, seasonal shipping, and multilingual brokerage bind the Horn, Arabia, India, and Roman seas.",P8.5;P14.3;PER;CAH-XI;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Indic Inscriptional Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Court, guild, and monastic inscriptions make grants, status, and political claims durable across Indic networks.
Top Right: Monsoon Navigation. Choose one historically grounded emblematic object composition. Historical brief: Seasonal wind knowledge, pilotage, and harbor brokerage organize Indian Ocean and Austronesian exchange.
Bottom Left: Roman Juristic Science. Choose one historically grounded emblematic object composition. Historical brief: Professional responsa and organized imperial constitutions turn legal interpretation into a transferable learned practice.
Bottom Right: Red Sea Oceanic Exchange. Choose one historically grounded emblematic object composition. Historical brief: Customs, seasonal shipping, and multilingual brokerage bind the Horn, Arabia, India, and Roman seas.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_02.png,top_left,antq_kushan_buddhist_cosmopolis,Kushan Buddhist Cosmopolis,age_2_renaissance,"Kushan patronage connects monasteries, coin routes, artistic workshops, and multilingual teaching across Central and South Asia.",P8.2;P8.4;P14.3;CAH-XI;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Kushan Buddhist Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Kushan patronage connects monasteries, coin routes, artistic workshops, and multilingual teaching across Central and South Asia.
Top Right: Sasanian Fiscal Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Royal mints, land revenues, court offices, and negotiated aristocratic service support the new Iranian dynasty.
Bottom Left: Three Kingdoms Military Settlements. Choose one historically grounded emblematic object composition. Historical brief: Competing Chinese regimes organize soldiers, migrant households, granaries, and reclaimed fields around defended corridors.
Bottom Right: Teotihuacan Metropolitanism. Choose one historically grounded emblematic object composition. Historical brief: Apartment compounds, craft quarters, ritual precincts, and migrant neighborhoods sustain an exceptional American metropolis.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_02.png,top_right,antq_sasanian_fiscal_statecraft,Sasanian Fiscal Statecraft,age_3_discovery,"Royal mints, land revenues, court offices, and negotiated aristocratic service support the new Iranian dynasty.",P8.2;P14.3;CAH-XII;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Kushan Buddhist Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Kushan patronage connects monasteries, coin routes, artistic workshops, and multilingual teaching across Central and South Asia.
Top Right: Sasanian Fiscal Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Royal mints, land revenues, court offices, and negotiated aristocratic service support the new Iranian dynasty.
Bottom Left: Three Kingdoms Military Settlements. Choose one historically grounded emblematic object composition. Historical brief: Competing Chinese regimes organize soldiers, migrant households, granaries, and reclaimed fields around defended corridors.
Bottom Right: Teotihuacan Metropolitanism. Choose one historically grounded emblematic object composition. Historical brief: Apartment compounds, craft quarters, ritual precincts, and migrant neighborhoods sustain an exceptional American metropolis.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_02.png,bottom_left,antq_three_kingdoms_military_colonies,Three Kingdoms Military Settlements,age_3_discovery,"Competing Chinese regimes organize soldiers, migrant households, granaries, and reclaimed fields around defended corridors.",P8.3;P14.3;CAH-XII;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Kushan Buddhist Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Kushan patronage connects monasteries, coin routes, artistic workshops, and multilingual teaching across Central and South Asia.
Top Right: Sasanian Fiscal Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Royal mints, land revenues, court offices, and negotiated aristocratic service support the new Iranian dynasty.
Bottom Left: Three Kingdoms Military Settlements. Choose one historically grounded emblematic object composition. Historical brief: Competing Chinese regimes organize soldiers, migrant households, granaries, and reclaimed fields around defended corridors.
Bottom Right: Teotihuacan Metropolitanism. Choose one historically grounded emblematic object composition. Historical brief: Apartment compounds, craft quarters, ritual precincts, and migrant neighborhoods sustain an exceptional American metropolis.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_02.png,bottom_right,antq_teotihuacan_metropolitanism,Teotihuacan Metropolitanism,age_3_discovery,"Apartment compounds, craft quarters, ritual precincts, and migrant neighborhoods sustain an exceptional American metropolis.",P8.10;P14.3;INAH-TEO;MILLON;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Kushan Buddhist Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Kushan patronage connects monasteries, coin routes, artistic workshops, and multilingual teaching across Central and South Asia.
Top Right: Sasanian Fiscal Statecraft. Choose one historically grounded emblematic object composition. Historical brief: Royal mints, land revenues, court offices, and negotiated aristocratic service support the new Iranian dynasty.
Bottom Left: Three Kingdoms Military Settlements. Choose one historically grounded emblematic object composition. Historical brief: Competing Chinese regimes organize soldiers, migrant households, granaries, and reclaimed fields around defended corridors.
Bottom Right: Teotihuacan Metropolitanism. Choose one historically grounded emblematic object composition. Historical brief: Apartment compounds, craft quarters, ritual precincts, and migrant neighborhoods sustain an exceptional American metropolis.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_03.png,top_left,antq_forest_steppe_craft_exchange,Forest-Steppe Craft Exchange,age_3_discovery,"Portage knowledge, bloomery iron, ritual valuables, and seasonal fairs connect Baltic and northern-forest communities.",P8.7;P14.3;PAN-WBB;BSE-GORODETS;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Forest-Steppe Craft Exchange. Choose one historically grounded emblematic object composition. Historical brief: Portage knowledge, bloomery iron, ritual valuables, and seasonal fairs connect Baltic and northern-forest communities.
Top Right: Diocletianic Administration. Choose one historically grounded emblematic object composition. Historical brief: Layered provinces, census cycles, price regulation, and collegial rule reshape late Roman government.
Bottom Left: Gupta Sanskrit Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Sanskrit political expression, court patronage, learned sciences, and temple-monastic networks travel across South Asia.
Bottom Right: Steppe Confederate Cavalry. Choose one historically grounded emblematic object composition. Historical brief: Composite bows, remount depth, subject contingents, and tribute politics support larger mobile confederations.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
sheet_03.png,top_right,antq_diocletianic_administration,Diocletianic Administration,age_4_reformation,"Layered provinces, census cycles, price regulation, and collegial rule reshape late Roman government.",P8.1;P14.3;CAH-XII;P20,assets_queue/references/vanilla_institution_style_reference.png,"Use case: stylized-concept
Asset type: four separate Europa Universalis V institution-icon cutouts
Primary request: Create exactly four distinct emblematic institution icons in a clean 2x2 grid.
Input image: the supplied contact strip contains exact installed EU5 institution icons; match their crisp isolated-object rendering, high material realism, compact silhouette, neutral lighting, and premium native-game finish.
Scene/backdrop: perfectly flat solid #00ff00 chroma-key field in all four quadrants; no dividers, frames, floor, texture, gradients, or shadows on the field.
Composition/framing: one bold centered symbol or compact cluster of at most three objects per quadrant; generous padding; no object crossing a quadrant boundary.
Color/lighting: authentic material colors and neutral soft studio light; no sepia, yellow wash, or generic fantasy glow.
Top Left: Forest-Steppe Craft Exchange. Choose one historically grounded emblematic object composition. Historical brief: Portage knowledge, bloomery iron, ritual valuables, and seasonal fairs connect Baltic and northern-forest communities.
Top Right: Diocletianic Administration. Choose one historically grounded emblematic object composition. Historical brief: Layered provinces, census cycles, price regulation, and collegial rule reshape late Roman government.
Bottom Left: Gupta Sanskrit Cosmopolis. Choose one historically grounded emblematic object composition. Historical brief: Sanskrit political expression, court patronage, learned sciences, and temple-monastic networks travel across South Asia.
Bottom Right: Steppe Confederate Cavalry. Choose one historically grounded emblematic object composition. Historical brief: Composite bows, remount depth, subject contingents, and tribute politics support larger mobile confederations.
Constraints: exactly four different icons; AD 1-476 objects only; distinguish each region and pathway materially; no text, letters, numerals, glyphs, flags, maps, heraldry, portraits, hands, readable inscriptions, modern objects, medieval plate armour, firearms, watermark, borders, or badges.
Avoid: generic scroll-and-coin repetition, cheap yellow filter, muddy monochrome, fantasy props, crowded scenes, buildings as backgrounds, square picture panels, vignette, or repeated silhouettes."
