location,region,map_region,map_area,rule,old_topography,new_topography,old_vegetation,new_vegetation,climate,raw_material,source,confidence,note
abadan,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,flatland,wetlands,desert,farmland,arid,wheat,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
abdas,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,wetlands,wetlands,desert,grasslands,arid,clay,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
afso,Africa,maghreb_region,morocco_area,african_aridity_gradient,hills,hills,grasslands,sparse,cold_arid,horses,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
agde,Rome,france_region,languedoc_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,wine,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
ahaus,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
ahrweiler,Germania,north_german_region,rhineland_area,germania_dense_woodland,hills,hills,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
al_bayda,Rome,egypt_region,cyrenaica_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
al_khadra_ALG,Africa,maghreb_region,algiers_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
al_madar,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,wetlands,wetlands,desert,grasslands,arid,fiber_crops,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
al_matamma,Africa,nubia_region,butana_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
al_qatr,Iran,crescent_region,iraq_arabi_area,mesopotamian_marsh,wetlands,wetlands,sparse,farmland,arid,rice,P12.3;BHR;SCHU-CHA,contested,Lower Tigris-Euphrates wetland proxy; exact installed field extent is approximate.
alba_de_aliste,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,plateau,plateau,grasslands,woods,cold_arid,beeswax,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
alba_de_tormes,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,plateau,plateau,sparse,woods,oceanic,wheat,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
