granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
area,malay_peninsula_area,indochina_region,land,Kra–Kedah Exchange Peninsula,local geographic names / English,archaeological-network and landscape construction,GEO-PROXY;BELLINA-SHK,high,Kra and Kedah bound the installed Thai-Malay peninsula whose ports and craft communities joined South China Sea and Indian Ocean exchange around AD 1; no later Malay sultanate is implied.,false
area,maldives_area,deccan_region,land,Dīva Atoll Chain,Indic island-name root / English,local-root and physical-archipelago construction,GEO-PROXY;https://academic.oup.com/icesjms/article/77/1/398/5584406,medium,Dīva uses the old regional island-name root while Atoll Chain covers Maldives Lakshadweep and Chagos; first-millennium evidence supports seafaring contact without inventing one AD 1 kingdom.,false
area,mali_area,sahel_region,land,Upper Niger Western Sahel,English,river-axis and archaeological-landscape construction,GEO-PROXY;CAM-MLR;MET-IND,high,The Bambara Kita Manding and Sosso children lie on the upper Niger and western Sahel settlement corridor; the label avoids projecting the medieval Mali Empire backward.,false
area,maligo_area,kongo_region,land,Upper Zambezi Woodland,English,river-basin archaeological construction,GEO-PROXY;JAH-BANTU-MOBILITY;https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/early-iron-age-in-zambiaregional-variants-and-some-tentative-conclusions/0301F984B30D1967F7AB21626D8F4038,medium,The Mashi upper-Zambezi and Utembo footprint is named for its waterways and varied woodland communities near the southern spread of farming and metallurgy.,false
area,malwa_area,central_india_region,land,Avanti and Anupa,Sanskrit conventional forms,attested regional composite,GEO-PROXY;https://www.britannica.com/place/Avanti-ancient-kingdom-India,high,Avanti covers western and eastern Malwa while Anupa supplies the Narmada-Nimar flank; the pair fits Bhilsa Ujjain Maheshwar and Khandesh better than the later single Malwa frame.,false
area,mamore_area,chaco_region,land,Guaporé–Mamoré Headwaters,local hydronyms / English,hydrographic-landscape construction,GEO-PROXY;https://www.britannica.com/place/Mamore-River,medium,The Chiquitania child locations drain through the Guaporé and Mamoré forest-savanna interface; a physical name avoids backdating later lowland chiefdoms.,false
area,manchuria_coastline,manchuria_region,marine,Amur–Ussuri Littoral Waters,local hydronyms / English,hydrographic maritime construction,GEO-PROXY;NMJH-YIL;RAD-SAKHALIN,high,The installed coast runs from the Amur mouth past the Ussuri littoral toward Sakhalin and Okhotsk; the physical label respects distinct Pol'tse Ol'ga and island maritime horizons.,false
area,mangazeya_area,west_siberia_region,land,Ust-Poluy Lower Ob–Taz,archaeological term / local hydronyms,archaeological-horizon and river-basin construction,GEO-PROXY;BSE-UST-POLUY,high,Lower Ob Obdorsk Nadym and Mangazeya children fall within or beside the Ust-Poluy interaction world at AD 1; Taz distinguishes the eastern tundra and forest sibling.,false
area,marche_area,italy_region,land,Umbri and Picentes,Latin ethnonyms,attested people-region composite,GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.4&fromdoc=Perseus%3Atext%3A1999.01.0239,high,The installed Perugia-Spoleto interior is Umbrian while the central Adriatic around Ancona and Ascoli is Picentine; both were within Roman Italy at AD 1.,false
area,marianas_area,micronesia_region,land,Guåhan and Northern Isles,Chamorro local name / English,local-anchor archipelago construction,GEO-PROXY;WA-MARIANA,high,Guåhan anchors a distinctly settled Mariana island world extending through Rota Saipan and the northern volcanic chain; no later colonial archipelago name is retained.,false
