granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","passamaquoddy_province","maine_area","land","Early-Ceramic Schoodic–Machias Lands","archaeological English / indigenous geographic names","horizon-paired-landmark construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Early Ceramic communities along the Schoodic and Machias coast predate the historic Passamaquoddy political landscape.","false"
"province","patagonia_province","patagonia_area","land","Río-Pinturas–Santa-Cruz Hunter Lands","local hydronyms / archaeological English","paired-river subsistence construction","GEO-PROXY;https://whc.unesco.org/en/list/936/","medium","The cave-rich Río Pinturas and Santa Cruz basins frame mobile hunter communities without retaining the colonial Patagonia label.","false"
"province","patagonia_sea_zones_province","la_plata_sea_zones_area","marine","Santa-Cruz–Chubut Atlantic Waters","indigenous hydronyms / English","paired-river maritime construction","GEO-PROXY;https://www.britannica.com/place/Patagonia-region-Argentina","medium","The Santa Cruz and Chubut coasts provide enduring local anchors instead of the colonial macro-region name.","false"
"province","patapsco_province","maryland_area","land","Middle-Woodland Chesapeake–Susquehanna Lands","archaeological English / indigenous geographic names","horizon-paired-water construction","GEO-PROXY;https://www.nps.gov/cajo/learn/historyculture/index.htm","medium","Middle Woodland communities around the upper Chesapeake and lower Susquehanna predate the historic Patapsco identity.","false"
"province","pathein_province","irrawady_delta_area","land","Pyu Western-Irrawaddy Delta","ancient ethnonym / local hydronym / English","people-direction-landform construction","GEO-PROXY;https://whc.unesco.org/en/list/1444","medium","Pyu-linked settlement in the Irrawaddy basin provides a cautious western-delta frame before medieval Pathein.","false"
"province","patna_province","mithila_area","land","Pataliputra of Magadha","Sanskrit place-name and regional name / English","attested center-region construction","GEO-PROXY;https://www.britannica.com/place/Pataliputra","high","Pataliputra remained the great metropolis of Magadha and the middle Ganges around AD 1.","false"
"province","patpatar_province","bismarck_area","land","New-Ireland Post-Lapita Networks","English island name / archaeological English","island-horizon interaction construction","GEO-PROXY;https://www.britannica.com/place/New-Ireland-island-Papua-New-Guinea","medium","Post-Lapita communities and exchange networks provide the appropriate frame for northern New Ireland around AD 1.","false"
"province","patrimonio_province","lazio_area","land","Tarquinii–Volsinii Southern-Etruria","Latin place-names and regional name / English","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.2&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Tarquinii and Volsinii anchor southern Etruria under Roman rule around AD 1.","false"
"province","pattiw_province","chuuk_area","land","Western-Carolinian Atoll","English","directional archipelago-landform construction","GEO-PROXY;https://www.britannica.com/place/Caroline-Islands","medium","The western Chuuk-facing atolls were part of Micronesian voyaging networks but lack a securely recovered AD 1 collective polity name.","false"
"province","patzcuaro_province","michoacan_area","land","Chupícuaro–Pátzcuaro Formative Lands","archaeological name / indigenous geographic name / English","horizon-region construction","GEO-PROXY;https://www.metmuseum.org/toah/hd/shaft/hd_shaft.htm","medium","Late Formative communities around Lake Pátzcuaro interacted with Chupícuaro and western Mexican traditions before the Purépecha state.","false"
"province","pavia_province","lombardy_area","land","Ticinum–Laumellum Lands","Latin place-names / English","attested paired-center construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+5.1&fromdoc=Perseus%3Atext%3A1999.01.0198","high","Roman Ticinum and Laumellum directly anchor the lower Ticino and Po plain footprint.","false"
