design_tag,path,primary_culture,accepted_cultures,tolerated_mode,tolerated_cultures,source,confidence,note
ROM,provincial_citizenship,antq_latin,antq_greek_koine|antq_oscan_umbrian|antq_etruscan|antq_venetic,resident_remainder,,P8.1;CAH-XI;P10,secure,Latin civic primacy with accepted Italian and Greek public cultures; other resident provincial frames remain tolerated rather than frictionlessly identical
HAN,commandery_integration,antq_zhongyuan_han,antq_ba_han|antq_chu_han|antq_hexi_han|antq_jin_han|antq_poyang_han|antq_qilu_han|antq_qin_han|antq_shu_han|antq_wu_yue|antq_yan_han,resident_remainder,,P8.3;BHR;CAM-HAN-REG;P10,secure,Central Plains primary profile with regional Han commandery cultures accepted and southern frontier populations tolerated
PAR,satrapal_pluralism,antq_parthian,antq_median|antq_hyrcanian,resident_remainder,,P8.2;CAH-XI;P10,secure,Arsacid court primacy with related Iranian cores accepted and resident Mesopotamian frontier cultures tolerated
SAT,prakrit_dravidian_compact,antq_deccan_prakrit,antq_proto_telugu_kannada,none,,P8.4;CAH-XI;P10,contested,Deccan Prakrit court profile accepts the southern and eastern Deccan Dravidian regional proxy without asserting linguistic sameness
YUE,bactrian_confederational_compact,antq_bactrian,antq_sogdian|antq_saka,explicit,antq_kucha_oasis,HAN-WR;IRAN-KUC;CAH-XI;P10,contested,Bactrian-facing Yuezhi rule receives related Iranian partners and a tolerated Kucha-facing oasis path without imposing a recovered AD 1 Tarim language or backdating Kushan uniformity
XIO,tributary_confederation,antq_xiongnu,,explicit,antq_wuhuan|antq_xianbei,P8.3;CAH-XI;P10,contested,Xiongnu court culture can tolerate neighboring confederational partners without treating them as one people
ARM,armenian_highland_court,antq_armenian,antq_kartvelian,none,,P8.2;CAH-XI;P10,contested,Armenian court primacy accepts its bounded Kartvelian resident minority without merging either culture
THR,odrysian_hellenic_court,antq_greek_koine,antq_thracian|antq_odrysian|antq_bessian|antq_sapaean,none,,P8.1;OCD;PLE;P10,contested,Hellenic court usage coexists with accepted Thracian regional populations
CAP,cappadocian_hellenic_court,antq_greek_koine,antq_cappadocian,resident_remainder,,P8.1;OCD;PLE;P10,contested,Hellenic court usage accepts Cappadocian civic culture while smaller Pontic mountain communities remain tolerated
COM,commagene_layered_court,antq_aramaic,antq_leucosyrian|antq_comanaean,resident_remainder,,P8.1;OCD;PLE;P10,contested,Aramaic court profile accepts the main inland civic frames and tolerates the Cilician frontier
ISK,indo_scythian_layered_rule,antq_saka,antq_gandhari,explicit,antq_indo_aryan,P8.4;CAH-XI;P10,contested,Saka dynastic primacy accepts Gandhari public culture and tolerates the broader Indo-Aryan population proxy
HIM,himyarite_sabaean_compact,antq_himyarite,antq_sabaean,none,,UNESCO-SABA;HIMYAR-HIST;P10,contested,Himyarite and Sabaean frames share a bounded South Arabian political integration path without becoming identical
SAB,sabaean_himyarite_compact,antq_sabaean,antq_himyarite,none,,UNESCO-SABA;HIMYAR-HIST;P10,contested,Sabaean primacy accepts the resident Himyarite frame without projecting later unification backward
BEJ,red_sea_nile_pluralism,antq_meroitic,antq_nubian,explicit,antq_nilotic,P8.5;CAH-XI;P10,contested,Meroitic-facing political primacy accepts Nubian populations and tolerates the smaller Nilotic frame
MAU,mauretanian_frontier_compact,antq_berber,antq_gaetulian,none,,P8.1;OCD;PLE;P10,contested,Mauretanian court integration accepts the bounded Gaetulian resident frame without erasing pastoral autonomy
