key,name,kind,copy_from,status,age,tags,gfx_tags,modifiers,combat,source,confidence,note
antq_british_hillfort_spearmen,British Hillfort Spearmen,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,CAT|TRI|ICE|BRI|ATB|SIL|ORD|DUM|CAL|BRT|REG|BLG|DUR|DOB|COR|CNV|PBI|CRV|DEM|DEC|VOT|SEL|NOV|DAM|VCN|TAE|EPD|VAC|DCT|CAE|CRE|CNA|LGB|SME|NCR,medium_tag|heavy_tag,morale_damage_taken=-0.05|movement_speed=-0.05,hills=0.10|forest=0.05,P8.7;P14;HE-HILLFORT;CAH-XI,contested,Regional spear-and-shield levy adapter tied to defended gathering places without claiming a uniform British formation garrison or equipment issue.
antq_northern_british_skirmishers,Northern British Skirmishers,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,BRI|CRV|VOT|SEL|NOV|DAM|VCN|TAE|EPD|VAC|DCT|CAE|CRE|CNA|LGB|SME|NCR|CAL,archer_tag|light_tag,initiative=0.20|movement_speed=0.10,forest=0.12|hills=0.10,P8.7;P14;PTO-GEO-II2;MANN-BRI;CAH-XI,contested,Northern light-infantry role adapter for broken wooded and upland terrain without claiming one ethnic doctrine or permanent confederate army.
antq_hibernian_javelin_bands,Hibernian Javelin Bands,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,ULA|VNI|RHB|DAR|ERD|NAG|AUT|GAN|VEL|IVN|USD|IBG|CND|MNP|CCI|EBL,archer_tag|light_tag,initiative=0.18|movement_speed=0.12,forest=0.10|hills=0.08,P8.7;P14;PTO-GEO-II1;DARCY-IRE;NMI-IRON-AGE,contested,Light spear-and-shield gameplay role for Hibernian household musters without projecting later heroic literature or a uniform island military system backward.
antq_hibernian_coastal_warbands,Hibernian Coastal Warbands,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,ULA|VNI|RHB|DAR|ERD|NAG|AUT|GAN|VEL|IVN|USD|IBG|CND|MNP|CCI|EBL,medium_tag|sword_tag,morale_damage_done=0.12|strength_damage_taken=0.04,coastal=0.10|river=0.05,P8.7;P14;PTO-GEO-II1;DARCY-IRE;NMI-IRON-AGE,contested,Coastal fighting-following adapter combining local retainers and seaway mobility without implying a standing navy named raid or Viking-era institution.
antq_angrivarian_spear_following,Angrivarian Spear Following,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,GER,medium_tag|heavy_tag,morale_damage_taken=-0.04|movement_speed=-0.03,forest=0.10|river=0.08,P8.7;P14;TAC-ANN-II;TAC-GER,contested,Lower Weser and Elbe spear-following adapter for the bounded Angrivarian frame; it does not reconstruct a standardized formation equipment issue or permanent army.
antq_suebian_household_retinue,Suebian Household Retinue,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,SUE|MCM|SEM|HER|QUA|NAR,medium_tag|sword_tag,morale_damage_done=0.08|strength_damage_taken=-0.03,forest=0.08|hills=0.08,P8.7;P14;STR-GER;TAC-GER;OCD-GER,contested,Prestige-bound fighting-following gameplay role for several Suebian-associated frames without asserting one federation doctrine uniform or permanent comitatus.
antq_baltic_hillfort_spearmen,Baltic Hillfort Spearmen,land,a_age_1_traditions_heavy_infantry,levy,age_1_traditions,BPC|WSC,medium_tag|heavy_tag,morale_damage_taken=-0.04|movement_speed=-0.03,forest=0.10|hills=0.08,P8.7;P14;VU-BRUSH;LIT-WLSC,contested,Household spear levy tied to defended settlement systems; archaeological distributions do not establish one Baltic army ethnic doctrine or permanent hillfort garrison.
antq_baltic_forest_skirmishers,Baltic Forest Skirmishers,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,AES|WBB|BPC|WSC|ETG,archer_tag|light_tag,initiative=0.18|movement_speed=0.10,forest=0.14|wetlands=0.10,P8.7;P14;PAN-WBB;VU-BRUSH;LIT-WLSC;UT-TARAND,contested,Light-infantry terrain-role adapter across several distinct archaeological frames; it does not imply one Baltic identity formation or shared command.
antq_legionaries,Legionaries,land,a_age_1_traditions_heavy_infantry,regular,age_1_traditions,ROM,legionary_tag|sword_tag|heavy_tag,strength_damage_taken=-0.08|morale_damage_taken=-0.05|initiative=-0.25,hills=-0.05,P14;CAH-XI,secure,Professional Roman heavy infantry; the numerical profile is a bounded technical role adapter
antq_auxilia,Auxilia,land,a_age_1_traditions_light_infantry,levy,age_1_traditions,ROM,archer_tag|light_tag,movement_speed=0.15|morale_damage_done=0.05,forest=0.10|hills=0.05,P14;CAH-XI,secure,Roman levy-analog with an explicitly non-mechanical citizenship-on-discharge flavor
