key,name,group,language,source,confidence,note
antq_colchian,Colchian,antq_caucasian_group,armenian_language,P10;CAH-XI;PLE,contested,Eastern Black Sea Colchian regional frame distinct from the inland Kartvelian atlas
antq_syriac,Syriac,antq_semitic_group,aramaic_language,P10;CAH-XI;PLE,contested,Edessan and upper Mesopotamian Aramaic regional frame before later Syriac confessional consolidation
antq_nilotic,Nilotic,antq_nile_group,nubian_language,P8.5;P10;CAH-XI,contested,Upper Nile regional population frame; technical Nubian adapter is not a uniform language claim
antq_khoisan,Khoisan,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Southern African non-Bantu regional frame; technical Mande adapter is not a language claim
antq_qiang,Qiang,antq_tibetan_group,mongolian_language,P8.3;P10;BHR;CAH-XI,contested,Amdo and western-Sichuan Qiang frontier frame without fixing a single language or tribal polygon
antq_zhangzhung,Zhangzhung,antq_tibetan_group,mongolian_language,P8.3;P10;CAH-XI,contested,Western and northern Tibetan plateau Zhangzhung regional frame; technical adapter is not a language claim
antq_tai,Tai,antq_southeast_asian_group,mon_language,P8.9;P10;CAH-XI,contested,Northern mainland Tai highland frame before later state and standard-language identities
antq_cham,Proto-Cham,antq_austronesian_group,malay_language,P8.9;P10;CAH-XI;CAM-SAH,contested,Central Vietnamese Austronesian regional frame alongside the narrower Sa Huynh archaeological horizon
antq_yilou,Yilou,antq_steppe_group,mongolian_language,P8.3;P10;CAH-XI,contested,Lower-Amur and Ussuri Yilou regional frame without projecting a later Jurchen identity
antq_finnic,Finnic,antq_uralic_group,sami_language,P8.7;P10;CAH-XI,contested,Finnic regional frame distinct from broader Uralic and Sami-adapter categories
antq_ugric,Ugric,antq_uralic_group,sami_language,P8.7;P10;CAH-XI,contested,Western Siberian Ugric regional frame; technical Sami adapter is not a language claim
antq_samoyedic,Samoyedic,antq_uralic_group,sami_language,P8.7;P10;CAH-XI,contested,Northern West Siberian Samoyedic regional frame; technical Sami adapter is not a language claim
antq_totonac,Totonac,antq_mesoamerican_group,maya_language,P8.10;P10;CAH-XI,contested,Gulf lowland Totonac regional frame without projecting later political borders
antq_na_dene,Na-Dene,antq_american_group,inuit_language,P8.10;P10;CAH-XI,contested,Northwestern interior Na-Dene macro-regional frame; technical Inuit adapter is not a language claim
antq_iroquoian,Iroquoian,antq_american_group,inuit_language,P8.10;P10;CAH-XI,contested,Eastern Great Lakes Iroquoian regional frame before later confederacy boundaries
antq_mixe_zoquean,Mixe-Zoquean,antq_mesoamerican_group,maya_language,P8.10;P10;CAH-XI,contested,Isthmian and Gulf Mixe-Zoquean regional frame distinct from the narrower Epi-Olmec horizon
antq_purepecha_precursor,Purépecha Precursor,antq_mesoamerican_group,nahuatl_language,P8.10;P10;CAH-XI,contested,Michoacan precursor regional frame without projecting the later Tarascan state
antq_oasisamerica,Oasisamerica,antq_mesoamerican_group,nahuatl_language,P8.10;P10;CAH-XI,contested,Northern Mesoamerican and southwestern exchange-zone frame rather than a single identity
antq_hopewellian,Hopewellian,antq_american_group,inuit_language,P8.10;P10;CAH-XI,contested,Hopewell interaction-sphere archaeological frame rather than a homogeneous people
antq_adena_woodland,Adena Woodland,antq_american_group,inuit_language,P8.10;P10;CAH-XI,contested,Eastern Woodland Adena-derived archaeological frame rather than a homogeneous people
antq_aymara,Aymara,antq_andean_group,quechuan_language,P8.10;P10;CAH-XI,contested,Altiplano Aymara regional frame; technical Quechuan adapter is not a language claim
antq_puquina,Puquina,antq_andean_group,quechuan_language,P8.10;P10;CAH-XI,contested,South-central Andean Puquina regional frame; technical Quechuan adapter is not a language claim
antq_quechua_zone,Quechua Zone,antq_andean_group,quechuan_language,P8.10;P10;CAH-XI,contested,Central Andean Quechua-zone regional frame without projecting the later Inca polity or a uniform dialect
