key,location,source,confidence,note
faiyum_irrigation,faiyum,P12.3;UNESCO-FAY,secure,Faiyum is the direct installed agricultural-hydraulic site anchor for a generic Roman-period irrigation proxy
jerusalem_second_temple,jerusalem,P11;OCD-JER,secure,Jerusalem is the plan-required historic-site anchor for the AD 1 Second Temple and its AD 70 destruction current
ravenna_classis,ravenna,MIC-CLASSE;RA-CLASSE,secure,Ravenna is the direct installed city-point proxy for Augustus' 27 BC military harbour at Classe to the southeast
mainz_castrum,mainz,MZ-MOG;MZ-DRUSUS,secure,Mainz is the direct installed city-point anchor for Drusus' 13/12 BC Mogontiacum legionary camp opposite the Main
neuss_castrum_novaesium,neuss,NEU-NOVAESIUM,secure,Neuss is the direct installed city-point anchor for the 16 BC Novaesium timber-and-earth Roman garrison at the Erft mouth
nijmegen_castrum_hunnerberg,nijmegen,RU-HUNNERBERG,secure,Nijmegen is the direct installed city-point anchor for the c.19 BC Augustan Hunnerberg military camp active around AD 1
basel_castrum_augusta_raurica,basel,AR-COLONIA,secure,Basel is the reviewed installed near-site anchor for the Kaiseraugst military camp beside Augusta Raurica after the Augustan 15 BC refoundation
augsburg_castrum_augusta_vindelicum,augsburg,AUG-ROMERLAGER,secure,Augsburg is the direct installed anchor for the Augsburg-Oberhausen military depot and timber camp around the AD 1 boundary
strasbourg_castrum_argentoratum,strasbourg,UNISTRA-ARGENTORATUM,secure,Strasbourg is the direct installed city-point anchor for Drusus' 12 BC Argentoratum legionary camp
recklinghausen_castrum_aliso,recklinghausen,LWL-ALISO,secure,Recklinghausen is the reviewed close installed anchor for Haltern's fortified Augustan main camp active around AD 1
bonn_early_bonna_camp,bonn,LIV-BONNA;LVR-NGL,secure,Bonn is the direct installed city-point anchor for the early Augustan auxiliary camp established during Drusus' Rhine offensive before the later permanent legionary fortress
wesel_castra_vetera,wesel,LVR-VETERA,secure,Wesel is the reviewed installed near-site anchor for the Augustan Vetera I legionary camp at Xanten active around AD 1
sisak_castra_siscia,sisak,OCD-SISCIA,contested,Sisak is the direct installed field for the recorded Augustan Siscia garrison while its precise early-first-century legionary station remains unsettled
