religion,source,confidence,choice_1,choice_2,choice_3,choice_4
antq_chinese_state_cult,P11;BHR,secure,ancestral_rites|Ancestral Rites|ancestor|antq_advance_imperial_ceremony.dds|Lineage offerings joined household memory to public order.,classicist_sacrifices|Classicist Sacrifices|learning|antq_advance_han_classics.dds|Court rites followed received canons and carefully ranked offerings.,portent_bureaus|Portent Bureaus|authority|antq_advance_astronomical_tables.dds|Officials read eclipses and anomalies as warnings about government.,local_cult_compacts|Local Cult Compacts|community|antq_advance_civic_associations.dds|Recognized local cults bound communities beneath imperial ritual.
antq_arsacid_zoroastrianism,P11;CAH-XI,secure,sacred_fires|Sacred Fires|ritual|antq_advance_imperial_orthodoxy.dds|Maintained fires made purity and right worship visible.,magian_custodians|Magian Custodians|learning|antq_advance_clerical_recordkeeping.dds|Hereditary ritual specialists preserved prayers and observances.,asha_and_royal_justice|Asha and Royal Justice|authority|antq_advance_jurists_law.dds|Kingship was judged through truth right order and protection.,funerary_purity|Funerary Purity|purity|antq_advance_religious_law.dds|Communities guarded earth fire and water from funerary pollution.
antq_brahmanism,P11;CAH-XI,secure,vedic_sacrifice|Vedic Sacrifice|ritual|antq_advance_ritual_calendars.dds|Patrons and specialists sustained solemn fire offerings.,brahmana_learning|Brahmana Learning|learning|antq_advance_commentary_schools.dds|Oral and textual learning preserved ritual and social knowledge.,royal_dharma|Royal Dharma|authority|antq_advance_kingdom_charters.dds|Rulers claimed order through protection gifts and lawful conduct.,tirtha_pilgrimage|Tirtha Pilgrimage|pilgrimage|antq_advance_pilgrim_learning.dds|Journeys to crossings and sacred places linked regional communities.
antq_germanic_religion,P11;CAH-XI,secure,sacred_groves|Sacred Groves|nature|antq_advance_rural_communities.dds|Groves and waters marked places for communal offerings.,thing_oaths|Thing Oaths|community|antq_advance_customary_law.dds|Oaths before assemblies tied cult custom and public settlement.,seeresses|Seeresses|learning|antq_advance_observatory_records.dds|Recognized diviners interpreted signs before communal decisions.,warband_vows|Warband Vows|martial|antq_advance_warband_integration.dds|Companions bound martial service to gifts loyalty and ritual vows.
antq_baltic_slavic,P11;CAH-XI,contested,grove_sanctuaries|Grove Sanctuaries|nature|antq_advance_rural_resilience.dds|Woodland sanctuaries anchored seasonal rites in dispersed communities.,household_spirits|Household Spirits|ancestor|antq_advance_crisis_communities.dds|Domestic offerings maintained continuity between kin and place.,seasonal_feasts|Seasonal Feasts|prosperity|antq_advance_seasonal_markets.dds|Agrarian feasts synchronized obligation exchange and subsistence.,warrior_oath_rings|Warrior Oath Rings|martial|antq_advance_shield_wall_tactics.dds|Public oath taking reinforced retinues and collective defence.
antq_tengri,P11;CAH-XI,secure,eternal_blue_heaven|Eternal Blue Heaven|authority|antq_advance_campaign_seasons.dds|Heaven sanctioned rule across mobile communities and seasons.,ancestral_standards|Ancestral Standards|ancestor|antq_advance_horse_furniture.dds|Lineage standards carried memory and authority with the camp.,shamanic_divination|Shamanic Divination|learning|antq_advance_frontier_dispatches.dds|Ritual specialists interpreted journeys illness and political fortune.,sacred_mountains|Sacred Mountains|nature|antq_advance_mounted_scouts.dds|Prominent landscapes ordered pasture routes and sacred geography.
antq_mahayana,P11;CAH-XI,secure,bodhisattva_vows|Bodhisattva Vows|community|antq_advance_religious_consolation.dds|Compassionate vows linked personal practice to universal liberation.,sutra_translation|Sutra Translation|learning|antq_advance_translation_circles.dds|Translation communities carried teachings across linguistic frontiers.,monastic_patronage|Monastic Patronage|prosperity|antq_advance_monastic_communities.dds|Rulers merchants and households endowed durable monastic communities.,merit_dedication|Merit Dedication|pilgrimage|antq_advance_charitable_hospices.dds|Meritorious acts could be dedicated for kin rulers and all beings.
antq_finnic,P11;CAH-XI,contested,sacred_places|Sacred Places|nature|antq_advance_settlement_service.dds|Groves stones waters and islands focused local ritual obligations.,bear_rites|Bear Rites|nature|antq_advance_frontier_patrols.dds|Hunting communities treated powerful animals through formal observance.,ancestral_songs|Ancestral Songs|ancestor|antq_advance_regional_chronicles.dds|Performed memory linked named kin to landscape and obligation.,ritual_specialists|Ritual Specialists|learning|antq_advance_scholarly_networks.dds|Specialists mediated healing divination and relations with spirits.
antq_west_african,P11;CAH-XI,contested,ancestor_shrines|Ancestor Shrines|ancestor|antq_advance_local_patronage.dds|Lineage shrines made remembered authority present in community life.,ironworking_cults|Ironworking Cults|prosperity|antq_advance_engineering_manuals.dds|Specialist knowledge around furnaces carried ritual as well as material power.,diviner_networks|Diviner Networks|learning|antq_advance_migration_networks.dds|Diviners connected households rulers markets and healing traditions.,sacred_kingship|Sacred Kingship|authority|antq_advance_kingdom_building.dds|Rulership joined public fertility justice and ritual responsibility.
antq_arabian_polytheism,P11;CAH-XI,secure,sanctuary_leagues|Sanctuary Leagues|community|antq_advance_desert_waystations.dds|Shared sanctuaries stabilized truce exchange and pilgrimage.,aniconic_betyls|Aniconic Betyls|ritual|antq_advance_regional_identities.dds|Sacred stones localized divine presence without requiring human images.,caravan_vows|Caravan Vows|prosperity|antq_advance_caravan_protection.dds|Merchants and guides promised offerings for safe return and profit.,rain_and_pasture_rites|Rain and Pasture Rites|nature|antq_advance_regional_caravans.dds|Seasonal observance addressed water pasture and herd survival.
antq_kami,P11;CAH-XI,contested,clan_kami|Clan Kami|ancestor|antq_advance_civic_identity.dds|Kin groups maintained rites around tutelary powers and ancestors.,purification_rites|Purification Rites|purity|antq_advance_public_baths.dds|Ritual cleansing restored fitness after contact with pollution.,sacred_landscapes|Sacred Landscapes|nature|antq_advance_surviving_cities.dds|Mountains groves rocks and waters anchored local sacred presence.,court_rites|Court Rites|authority|antq_advance_imperial_chancery.dds|Emerging courts coordinated offerings that expressed rank and alliance.
antq_mesoamerican,P11;CAH-XI,secure,maize_renewal|Maize Renewal|prosperity|antq_advance_public_granaries.dds|Agricultural ceremonies ordered maize fertility storage and communal labor.,rain_cults|Rain Cults|nature|antq_advance_urban_waterworks.dds|Rain and storm powers stood at the centre of urban and agrarian survival.,calendar_keepers|Calendar Keepers|learning|antq_advance_calendar_revision.dds|Specialists coordinated ritual cycles through calendrical knowledge.,ancestor_bundles|Ancestor Bundles|ancestor|antq_advance_estate_registries.dds|Curated ancestral remains and regalia grounded household authority.
antq_celtic_religion,P11;CAH-XI,secure,grove_gatherings|Grove Gatherings|nature|antq_advance_regional_fairs.dds|Communal rites gathered peoples at marked natural places.,druidic_learning|Druidic Learning|learning|antq_advance_commentary_traditions.dds|Specialists transmitted ritual legal and genealogical knowledge.,votive_deposits|Votive Deposits|ritual|antq_advance_gift_exchange.dds|Weapons ornaments and other gifts were dedicated at sacred sites.,tribal_councils|Tribal Councils|community|antq_advance_barbarian_hospitality.dds|Assemblies joined public cult diplomacy hospitality and judgment.
antq_kushite_amun,P11;CAH-XI,secure,amun_of_napata|Amun of Napata|ritual|antq_advance_religious_endowments.dds|The Amun cult linked temple centres with Kushite royal memory.,royal_oracles|Royal Oracles|authority|antq_advance_royal_notaries.dds|Oracle consultation framed major choices of kingship and succession.,temple_estates|Temple Estates|prosperity|antq_advance_land_assignment.dds|Temple households organized land offerings craft and storage.,apedemak_protection|Apedemak's Protection|martial|antq_advance_frontier_commands.dds|The lion god expressed royal strength in the Meroitic heartland.
