location,opening_owner,local_culture,local_language,local_name,roman_name,source,confidence,note
aachen,BRC,antq_istvaeonic,antq_germanic_language,Aachen,Aquae Granni,PLE:108749;PLN:108749/aquae-granni;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
abingdon,ATB,antq_british_atrebatic,antq_celtic_language,Durocornovium,Durocornovium,PLE:79435;PLN:79435/durocornovium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
ahtopol,THR,antq_odrysian,antq_balkan_language,Bizye,Bizye,PLE:511190;PLN:511190/bizye;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
amersfoort,BTV,antq_batavian,antq_germanic_language,Traiectum,Traiectum,PLE:99046;PLN:99046/traiectum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
amesbury,BLG,antq_british_belgic,antq_celtic_language,Cunetio,Cunetio,PLE:79409;PLN:79409/cunetio;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
anhialo,THR,antq_sapaean,antq_balkan_language,Anchialus,Anchialus,PLE:216702;PLN:216702/anchialus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
aytos,THR,antq_sapaean,antq_balkan_language,Deultum,Deultum,PLE:216788;PLN:216788/deultum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
baden,SUE,antq_suebian,antq_germanic_language,Baden,Aquae,PLE:108748;PLN:108748/aquae;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bampton,DUM,antq_dumnonian,antq_celtic_language,Isca,Isca,PLE:79531;PLN:79531/isca;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
barking,TRI,antq_trinovantian,antq_celtic_language,Noviomagus,Noviomagus,PLE:79623;PLN:79623/noviomagus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bavaria_regen,NAR,antq_suebian,antq_germanic_language,Agiria,Agiria,PLE:246151;PLN:246151/agiria;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bedale,BRI,antq_brigantian,antq_celtic_language,Cataractonium,Cataractonium,PLE:89143;PLN:89143/cataractonium;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bergheim,BRC,antq_istvaeonic,antq_germanic_language,Tiberiacum,Tiberiacum,PLE:109378;PLN:109378/tiberiacum;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
birkenfeld,CTU,antq_istvaeonic,antq_germanic_language,Belginum,Belginum,PLE:108802;PLN:108802/belginum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
birmingham,DOB,antq_dobunnic,antq_celtic_language,Manduessedum,Manduessedum,PLE:79592;PLN:79592/manduessedum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bitburg,CTU,antq_istvaeonic,antq_germanic_language,Beda,Beda,PLE:108798;PLN:108798/beda;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bonndorf,SUE,antq_suebian,antq_germanic_language,Tenedo,Tenedo,PLE:177639;PLN:177639/tenedo;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
boston,COR,antq_corieltauvian,antq_celtic_language,Bannovallum,Bannovallum,PLE:79314;PLN:79314/bannovallum;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
brecknock,SIL,antq_silurian,antq_celtic_language,Cicutio,Cicutio,PLE:79389;PLN:79389/cicutio;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bristol,DOB,antq_dobunnic,antq_celtic_language,Abone,Abone,PLE:79280;PLN:79280/abone;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bruchsal,SUE,antq_suebian,antq_germanic_language,Bruchsal,Vicus Senotensis,PLE:119031;PLN:119031/vicus-senotensis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
buckingham,CAT,antq_catuvellaunian,antq_celtic_language,Lactodorum,Lactodorum,PLE:79552;PLN:79552/lactodorum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bukelon,THR,antq_thracian,antq_balkan_language,Bourdepa,Bourdepa,PLE:501381;PLN:501381/bourdepa;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
burghausen,NAR,antq_suebian,antq_germanic_language,Bedaium,Bedaium,PLE:187309;PLN:187309/bedaium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
bury,ICE,antq_icenian,antq_celtic_language,Camborico,Camborico,PLE:79369;PLN:79369/camborico;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
cardiff,SIL,antq_silurian,antq_celtic_language,Bomio,Bomio,PLE:79335;PLN:79335/bomio;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
carmarthen,DEM,antq_demetian,antq_celtic_language,Moridunum,Moridunum,PLE:79602;PLN:79602/moridunum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
castellaun,CTU,antq_istvaeonic,antq_germanic_language,Dumnissus,Dumnissus,PLE:108938;PLN:108938/dumnissus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
catalca,THR,antq_thracian,antq_balkan_language,Selymbrie,Selymbrie,PLE:511414;PLN:511414/selymbrie;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
chichester,REG,antq_brittonic,antq_celtic_language,Noviomagus,Noviomagus,PLE:79622;P8.7,secure,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
chippenham,BLG,antq_british_belgic,antq_celtic_language,Verlucio,Verlucio,PLE:79736;PLN:79736/verlucio;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
cirencester,DOB,antq_dobunnic,antq_celtic_language,Korinion,Korinion,PLE:79549;PLN:79549/korinion;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
coblenz,SGM,antq_istvaeonic,antq_germanic_language,Confluentes,Confluentes,PLE:108903;PLN:108903/confluentes;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
cochem,CTU,antq_istvaeonic,antq_germanic_language,Cardena,Cardena,PLE:108859;PLN:108859/cardena;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
corlu,THR,antq_thracian,antq_balkan_language,Heraion Teichos,Heraion Teichos,PLE:511271;PLN:511271/heraion-teichos;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
cupar,VCN,antq_veniconian,antq_celtic_language,Victoria,Victoria,PLE:89206;PLN:89206/victoria;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
darlington,BRI,antq_brigantian,antq_celtic_language,Coriosopitum,Coriosopitum,PLE:89152;PLN:89152/coriosopitum;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
darmstadt,CHT,antq_chattic,antq_germanic_language,Darmstadt,Vicus Augustanus,PLE:109423;PLN:109423/vicus-augustanus;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
daun,CTU,antq_istvaeonic,antq_germanic_language,Icorigium,Icorigium,PLE:109062;PLN:109062/icorigium;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
daventry,CAT,antq_catuvellaunian,antq_celtic_language,Bannaventa,Bannaventa,PLE:79313;PLN:79313/bannaventa;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
denbigh,DEC,antq_deceanglian,antq_celtic_language,Varis,Varis,PLE:79730;PLN:79730/varis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
dillingen,SUE,antq_suebian,antq_germanic_language,Dillingen,Phoebiana,PLE:118904;PLN:118904/phoebiana;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
dover,BRT,antq_cantiacian,antq_celtic_language,Durovernum,Durovernum,PLE:79439;PLN:79439/durovernum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
dunstable,CAT,antq_catuvellaunian,antq_celtic_language,Durocobrivis,Durocobrivis,PLE:79434;PLN:79434/durocobrivis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
duren,BRC,antq_istvaeonic,antq_germanic_language,Iuliacum,Iuliacum,PLE:109068;PLN:109068/iuliacum;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
edirne,THR,antq_odrysian,antq_balkan_language,Plotinoupolis,Plotinoupolis,PLE:501572;PLN:501572/plotinoupolis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
eichstatt,NAR,antq_suebian,antq_germanic_language,Venaxamodurum,Venaxamodurum,PLE:119019;PLN:119019/venaxamodurum;T2W,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
elhovo,THR,antq_thracian,antq_balkan_language,Hadrianoupolis,Hadrianoupolis,PLE:501428;PLN:501428/hadrianoupolis-1;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
ewyas,DOB,antq_dobunnic,antq_celtic_language,Magnis,Magnis,PLE:79587;PLN:79587/magnis;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
frankfurt,CHT,antq_chattic,antq_germanic_language,Nida,Nida,PLE:109205;PLN:109205/nida;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
