profile,name,locations,families,source,confidence,note
latium,Latium and Roma,rome,all,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE,secure,The capital receives the complete layered portfolio as the empire's exceptional fiscal consumption and redistribution centre.
italia_annonaria,Northern Italian Cities,milano;bologna;modena,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;colonia_forum;quarry_contractors;olive_estate;vineyard_estate;textile_quarter;ceramic_quarter;insulae_quarter;temple_precinct;collegia_hall;bronze_workers_collegium;lead_pipeworks,P12.1;P12.3;CAH-XI;MET-ROMAN-TRADE,secure,Urban and agricultural northern Italy emphasizes roads grain building materials textiles and metal craft.
adriatic_corridor,Upper Adriatic Corridor,aquileia;ravenna,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;castra_fabrica;frontier_magazine;quarry_contractors;textile_quarter;ceramic_quarter;bronze_workers_collegium;lead_pipeworks,P12.1;P12.3;CAH-XI;MIC-CLASSE;MET-ROMAN-TRADE,secure,Adriatic markets combine river and sea logistics with frontier supply and urban craft.
italia_meridionalis,Southern Italian Ports,taranto;brindisi,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;thermae_complex;cursus_mansio;river_port;colonia_forum;olive_estate;vineyard_estate;textile_quarter;ceramic_quarter;unguentarium;temple_precinct;collegia_hall,P12.1;P12.3;CAH-XI;MET-ROMAN-TRADE,secure,Southern ports emphasize oil wine ceramics maritime redistribution and mixed Hellenic civic life.
baetica,Baetican Export Cities,cadiz;cordoba,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;quarry_contractors;olive_estate;vineyard_estate;ceramic_quarter;bronze_workers_collegium;lead_pipeworks;unguentarium,P12.1;P12.3;STR-IBR;PLN-IBR;MET-ROMAN-TRADE,secure,Baetican cities emphasize oil wine amphora supply metals and Atlantic-Mediterranean export handling.
tarraconensis,Tarraconensian Corridor,tarragona;zaragoza,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;colonia_forum;castra_fabrica;frontier_magazine;quarry_contractors;vineyard_estate;textile_quarter;ceramic_quarter;bronze_workers_collegium;lead_pipeworks,P12.1;P12.3;STR-IBR;PLN-IBR;MET-ROMAN-TRADE,secure,The provincial corridor combines road supply civic building and mixed agricultural craft.
lusitania,Lusitanian Atlantic Cities,merida;lisbon,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;cursus_mansio;river_port;colonia_forum;quarry_contractors;olive_estate;vineyard_estate;textile_quarter;ceramic_quarter;bronze_workers_collegium;lead_pipeworks,P12.1;P12.3;STR-IBR;PLN-IBR;MET-ROMAN-TRADE,contested,Atlantic and inland capital proxies emphasize roads river trade stone metal and agricultural processing without asserting quantified exports.
narbonensis,Narbonensian Markets,marseille;narbonne;nimes;arles,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;quarry_contractors;olive_estate;vineyard_estate;textile_quarter;ceramic_quarter;unguentarium;temple_precinct;collegia_hall,P12.1;P12.3;STR-GAL;PLN-GAL;MET-ROMAN-TRADE,secure,Narbonensian cities combine Rhone and Mediterranean exchange with wine oil ceramics and civic display.
lugdunensis,Lugdunensis and Aquitania,lyon;bordeaux,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;castra_fabrica;frontier_magazine;quarry_contractors;vineyard_estate;textile_quarter;ceramic_quarter;bronze_workers_collegium;lead_pipeworks,P12.1;P12.3;STR-GAL;PLN-GAL;MET-ROMAN-TRADE,secure,River markets emphasize transport provisioning textiles pottery and the supply of the northern provinces.
africa_proconsularis,Africa Proconsularis,tunis;sousse;bizerte,villa_rustica;tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;quarry_contractors;olive_estate;ceramic_quarter;textile_quarter;unguentarium;temple_precinct;collegia_hall,P12.1;P12.3;CAH-XI;MET-ROMAN-TRADE,secure,African cities emphasize grain oil ceramics ports and the infrastructure of Roman urban consumption.
africa_frontier,African Coastal Frontier,annaba;gabes,villa_rustica;tabernae_row;horrea_complex;annona_bakery;cursus_mansio;river_port;colonia_forum;castra_fabrica;frontier_magazine;quarry_contractors;olive_estate;ceramic_quarter;textile_quarter,P12.1;P12.3;CAH-XI;MET-ROMAN-TRADE,contested,The profile models a thinner coastal and frontier logistics layer rather than equal metropolitan development.
aegyptus,Aegyptus,alexandria,tabernae_row;forum_basilica;horrea_complex;annona_bakery;aqueduct_distribution;thermae_complex;cursus_mansio;river_port;colonia_forum;castra_fabrica;frontier_magazine;quarry_contractors;textile_quarter;ceramic_quarter;insulae_quarter;temple_precinct;collegia_hall;bronze_workers_collegium;lead_pipeworks;unguentarium,P12.1;P12.3;CAH-XI;MET-ROMAN-TRADE,secure,Alexandria emphasizes annona handling papyrus-linked urban craft maritime exchange and monumental water-dependent density.
