location,tag,region,topography,vegetation,climate,natural_harbor_suitability,installed_good,ad1_good,decision,source,confidence,note
aabenraa,RDN,Germania,flatland,grasslands,oceanic,0.00,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aachen,BRC,Germania,hills,farmland,oceanic,,tin,tin,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aaku,WMS,Mesoamerica,hills,grasslands,cold_arid,,maize,maize,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aalborg,CMB,Germania,flatland,grasslands,oceanic,0.50,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aalst,ROM,Rome,flatland,grasslands,oceanic,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aarau,ROM,Rome,hills,grasslands,continental,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aarhus,JUT,Germania,flatland,farmland,continental,0.25,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aba_al_qur,AGR,Arabia,flatland,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abadan,PAR,Iran,flatland,desert,arid,0.10,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abadeh,PRS,Iran,hills,desert,cold_arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abadeh_tashk,PRS,Iran,hills,desert,cold_arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abagaita,XIA,Steppe,plateau,grasslands,continental,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abakasnk,SIB,Steppe,hills,forest,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abala,AKS,Africa,mountains,sparse,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abarkuh,PRS,Iran,plateau,desert,cold_arid,,cotton,fiber_crops,environment_rule,P12.1;PER,contested,"Cotton is removed from arctic, cold-arid, and cool-oceanic templates."
abbeville,ROM,Rome,flatland,woods,oceanic,0.00,salt,salt,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abdanan,PAR,Iran,flatland,sparse,arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abdas,PAR,Iran,wetlands,desert,arid,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abdulino,VLF,Finland,flatland,grasslands,continental,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abe,TKW,Japan,mountains,forest,continental,,goods_gold,goods_gold,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aberdeen,TAE,Britain,flatland,grasslands,oceanic,0.60,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aberfeldy,CAL,Britain,hills,forest,oceanic,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
aberystwyth,DEM,Britain,hills,woods,oceanic,0.20,silver,silver,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abesehir,BNT,Africa,flatland,grasslands,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abha,KIN,Arabia,plateau,desert,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abhar,PAR,Iran,plateau,grasslands,cold_arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abil,KIN,Arabia,plateau,desert,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abingdon,ATB,Britain,flatland,grasslands,oceanic,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abiward,PAR,Iran,hills,sparse,cold_arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abiy_addi,AKS,Africa,hills,sparse,continental,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abiz,PAR,Iran,plateau,desert,cold_arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
abo,FIN,Finland,flatland,woods,continental,0.50,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
