key,name,branch,scope,profiles,produced,output,gate,max_levels,source,confidence,note,icon_sheet,icon_cell
antq_trib_grain_patch,Grain Patch,subsistence,shared,ALL,wheat,0.22,farmland,2,P12.1;P12.3,contested,Small mixed grain plots worked by free and kindred households.,tribal_sheet_01.png,top_left
antq_trib_pulse_garden,Pulse Garden,subsistence,shared,ALL,legumes,0.21,any,2,P12.1;P12.3,contested,Legume gardens support household subsistence and soil recovery.,tribal_sheet_01.png,top_right
antq_trib_tuber_mounds,Tuber Mounds,subsistence,shared,ALL,potato,0.20,america,2,P8.10;P12.1,contested,American mound cultivation represents locally appropriate tuber husbandry.,tribal_sheet_01.png,bottom_left
antq_trib_floodplain_plots,Floodplain Plots,subsistence,shared,ALL,millet,0.22,river,2,P12.1;P12.3,contested,Seasonally renewed alluvium supports bounded household plots.,tribal_sheet_01.png,bottom_right
antq_trib_forest_garden,Forest Garden,subsistence,shared,ALL,fruit,0.19,forest,2,P12.1;PER,contested,Managed woodland edges yield fruit without clearing a full field system.,tribal_sheet_02.png,top_left
antq_trib_nut_grove,Nut Grove,subsistence,shared,ALL,antq_tree_nuts,0.18,forest,2,P12.1;P14;PER,contested,Nut-bearing trees provide a durable gathered and managed food source.,tribal_sheet_02.png,top_right
antq_trib_fishing_weir,Fishing Weir,subsistence,shared,ALL,fish,0.20,river,2,P12.1;P12.3,contested,Stake-and-basket weirs harvest predictable river runs.,tribal_sheet_02.png,bottom_left
antq_trib_shellfish_camp,Shellfish Camp,subsistence,shared,ALL,fish,0.18,coast,2,P12.1;P12.3,contested,A seasonal shoreline shelter supports shellfish and inshore gathering.,tribal_sheet_02.png,bottom_right
antq_trib_cattle_fold,Cattle Fold,pastoral,shared,ALL,livestock,0.20,pasture,2,P8.5;P12.1,contested,"Wattle folds protect cattle and organize dung, milking, and exchange.",tribal_sheet_03.png,top_left
antq_trib_small_stock_enclosure,Small-Stock Enclosure,pastoral,shared,ALL,wool,0.20,dry_pasture,2,P8.2;P8.5;P12.1,contested,A dry-stone fold supports sheep and goats in marginal grazing lands.,tribal_sheet_03.png,top_right
antq_trib_horse_herd_camp,Horse-Herd Camp,pastoral,shared,ALL,horses,0.16,pasture,2,P8.2;P8.8;P12.1,contested,A mobile herding camp maintains remounts without a state stud system.,tribal_sheet_03.png,bottom_left
antq_trib_camel_camp,Camel Camp,pastoral,shared,ALL,antq_camels,0.15,arid,2,P8.2;P8.5;P12.1,contested,Watered corrals and woven windbreaks sustain caravan camels.,tribal_sheet_03.png,bottom_right
antq_trib_reindeer_corral,Reindeer Corral,pastoral,shared,ALL,wild_game,0.15,cold,2,P8.7;P12.1,contested,Northern households manage reindeer access and seasonal gathering.,tribal_sheet_04.png,top_left
antq_trib_woodland_pannage,Woodland Pannage,pastoral,shared,ALL,livestock,0.18,forest,2,P8.7;P12.1,contested,Woodland grazing turns mast and undergrowth into household livestock.,tribal_sheet_04.png,top_right
antq_trib_transhumance_station,Transhumance Station,pastoral,shared,ALL,wool,0.18,upland,2,P8.1;P8.4;P8.5;P12.1,contested,A seasonal upland station anchors recurring herd movements.,tribal_sheet_04.png,bottom_left
antq_trib_fodder_meadow,Fodder Meadow,pastoral,shared,ALL,livestock,0.17,grassland,2,P12.1;P12.3,contested,Cut hay and managed meadow extend the winter endurance of herds.,tribal_sheet_04.png,bottom_right
antq_trib_household_loom,Household Loom,craft,shared,ALL,cloth,0.16,any,2,P12.1;P12.3,contested,Household looms turn local fibre and wool into coarse cloth.,tribal_sheet_05.png,top_left
antq_trib_hide_curing_rack,Hide-Curing Rack,craft,shared,ALL,leather,0.15,any,2,P12.1;P12.3,contested,"Scraping, smoking, and stretching preserve hides for local use.",tribal_sheet_05.png,top_right
antq_trib_bone_antler_workshop,Bone and Antler Workshop,craft,shared,ALL,tools,0.12,cold_forest,2,P8.7;P12.1,contested,"Bone and antler are shaped into awls, combs, handles, and fittings.",tribal_sheet_05.png,bottom_left
antq_trib_pottery_hearth,Pottery Hearth,craft,shared,ALL,pottery,0.17,any,2,P12.1;P12.3,contested,Open firing and hand-building supply coarse household vessels.,tribal_sheet_05.png,bottom_right
antq_trib_charcoal_clamp,Charcoal Clamp,craft,shared,ALL,coal,0.12,forest,2,P12.1;P12.3,contested,Earth-covered clamps provide small quantities of controlled charcoal.,tribal_sheet_06.png,top_left
antq_trib_bloomery_hearth,Bloomery Hearth,craft,shared,ALL,iron,0.10,upland,2,P8.7;P12.1;P12.3,contested,A low shaft hearth produces rough blooms for local smithing.,tribal_sheet_06.png,top_right
antq_trib_basketry_shelter,Basketry Shelter,craft,shared,ALL,furniture,0.14,wet_or_forest,2,P12.1;P12.3,contested,"Reed and wicker work supplies containers, mats, and light furnishings.",tribal_sheet_06.png,bottom_left
antq_trib_dugout_canoe_yard,Dugout Canoe Yard,craft,shared,ALL,naval_supplies,0.12,water,2,P8.9;P12.1,contested,Adzes and controlled fire hollow timber for local watercraft.,tribal_sheet_06.png,bottom_right
antq_trib_raised_granary,Raised Granary,exchange,shared,ALL,,0,any,2,P12.1;P12.3,contested,"Raised storage reduces damp, vermin, and seasonal food loss.",tribal_sheet_07.png,top_left
antq_trib_storage_pits,Lined Storage Pits,exchange,shared,ALL,,0,any,2,P12.1;P12.3,contested,Covered clay-lined pits preserve grain and roots between seasons.,tribal_sheet_07.png,top_right
antq_trib_cattle_exchange,Cattle Exchange Ground,exchange,shared,ALL,,0,pasture,2,P8.5;P8.7;P12.1,contested,A bounded meeting ground regularizes livestock exchange and restitution.,tribal_sheet_07.png,bottom_left
antq_trib_river_landing,River Landing,exchange,shared,ALL,,0,river,2,P8.7;P8.9;P12.1,contested,"A log landing links canoes, baskets, and short-haul river exchange.",tribal_sheet_07.png,bottom_right
antq_trib_portage_station,Portage Station,exchange,shared,ALL,,0,forest_river,2,P8.7;P12.1,contested,Rollers and cached gear reduce the cost of recurring overland carries.,tribal_sheet_08.png,top_left
antq_trib_salt_exchange,Salt Exchange Place,exchange,shared,ALL,,0,any,2,P12.1;P12.3,contested,Trusted measures and storage support exchange in essential salt.,tribal_sheet_08.png,top_right
antq_trib_caravan_camp,Caravan Camp,exchange,shared,ALL,,0,dry_pasture,2,P8.2;P8.5;P12.1,contested,A guarded watering and loading place supports modest caravan traffic.,tribal_sheet_08.png,bottom_left
antq_trib_guest_hall,Communal Guest Hall,exchange,shared,ALL,,0,any,2,P8.7;P12.1,contested,"Collective hospitality sustains envoys, traders, and reciprocal obligations.",tribal_sheet_08.png,bottom_right
antq_trib_assembly_ground,Assembly Ground,ritual,shared,ALL,,0,any,2,P8.7;P11,contested,A speaking stone and timber benches structure public deliberation.,tribal_sheet_09.png,top_left
antq_trib_sacred_grove,Sacred Grove Precinct,ritual,shared,ALL,,0,forest,2,P8.7;P11,contested,A bounded grove protects offerings and customary ritual access.,tribal_sheet_09.png,top_right
antq_trib_ancestor_house,Ancestor House,ritual,shared,ALL,,0,any,2,P8.9;P11,contested,A small custodial house preserves lineage offerings and memory.,tribal_sheet_09.png,bottom_left
antq_trib_feast_hall,Communal Feast Hall,ritual,shared,ALL,,0,any,2,P8.7;P11,contested,Shared feasting turns stored produce into obligation and prestige.,tribal_sheet_09.png,bottom_right
antq_trib_mound_precinct,Mound Precinct,ritual,shared,ALL,,0,flatland,2,P8.10;P11,contested,A raised ceremonial place anchors periodic gatherings and offerings.,tribal_sheet_10.png,top_left
antq_trib_oath_stone,Oath-Stone Place,ritual,shared,ALL,,0,any,2,P8.7;P11,contested,Witnessed oaths at a recognized stone reinforce negotiated settlements.,tribal_sheet_10.png,top_right
antq_trib_initiation_lodge,Initiation Lodge,ritual,shared,ALL,,0,any,2,P8.5;P8.9;P11,contested,A secluded lodge supports age-grade and custodial rites.,tribal_sheet_10.png,bottom_left
antq_trib_council_enclosure,Council Enclosure,ritual,shared,ALL,,0,any,2,P8.7;P11,contested,A wattle enclosure gives elders and household heads a durable council place.,tribal_sheet_10.png,bottom_right
antq_trib_warrior_lodge,Warrior Lodge,warrior,shared,ALL,,0,any,2,P8.7;P13,contested,A modest lodge stores shields and organizes household retainers.,tribal_sheet_11.png,top_left
antq_trib_palisade_ring,Palisade Ring,warrior,shared,ALL,,0,any,2,P8.7;P13,contested,"A timber ring protects people, livestock, and stored produce in raids.",tribal_sheet_11.png,top_right
antq_trib_hill_refuge,Hill Refuge,warrior,shared,ALL,,0,upland,2,P8.1;P8.7;P13,contested,A small earth-and-timber refuge uses difficult ground rather than masonry.,tribal_sheet_11.png,bottom_left
antq_trib_watch_mound,Watch Mound,warrior,shared,ALL,,0,flatland,2,P8.7;P13,contested,A raised lookout and signal fire warn dispersed settlements.,tribal_sheet_11.png,bottom_right
antq_trib_shield_workshop,Shield Workshop,warrior,shared,ALL,weaponry,0.10,any,2,P8.7;P13,contested,"Timber, hide, and fittings become shields for local musters.",tribal_sheet_12.png,top_left
antq_trib_spear_forge,Spear Forge,warrior,shared,ALL,weaponry,0.11,upland,2,P8.7;P13,contested,A small hearth and shaft rack supply spearheads and repairs.,tribal_sheet_12.png,top_right
antq_trib_horse_muster,Horse Muster Ground,warrior,shared,ALL,,0,pasture,2,P8.2;P8.8;P13,contested,"A fenced muster assembles mounts, tack, and lances for short campaigns.",tribal_sheet_12.png,bottom_left
antq_trib_river_barricade,River Barricade,warrior,shared,ALL,,0,river,2,P8.7;P8.9;P13,contested,Chained logs and piles obstruct hostile craft at a defended crossing.,tribal_sheet_12.png,bottom_right
