selector_type,selector,culture,source,confidence,note
province,abkhazia_province,antq_colchian,P10;CAH-XI;PLE,contested,Colchian eastern-Black-Sea campaign frame; not an exact ethnic polygon
province,imereti_province,antq_colchian,P10;CAH-XI;PLE,contested,Colchian Rioni-basin campaign frame; not an exact ethnic polygon
province,samegrelo_province,antq_colchian,P10;CAH-XI;PLE,contested,Colchian coastal campaign frame; not an exact ethnic polygon
province,ar_ruha_province,antq_syriac,P10;CAH-XI;PLE,contested,Edessan Syriac-Aramaic regional frame before later confessional consolidation
province,nusaybin_province,antq_syriac,P10;CAH-XI;PLE,contested,Nisibene Syriac-Aramaic regional frame without a fixed language frontier
area,amdo_area,antq_qiang,P8.3;P10;BHR;CAH-XI,contested,Amdo Qiangic frontier frame without fixing a tribal or language boundary
province,maozhou_province,antq_qiang,P8.3;P10;BHR;CAH-XI,contested,Upper Min valley Qiang campaign frame distinct from the Chengdu basin
province,songpan_province,antq_qiang,P8.3;P10;BHR;CAH-XI,contested,Songpan frontier Qiang campaign frame distinct from the Chengdu basin
area,ngari_area,antq_zhangzhung,P8.3;P10;CAH-XI,contested,Western plateau Zhangzhung regional frame without an exact polity boundary
area,changtang_area,antq_zhangzhung,P8.3;P10;CAH-XI,contested,Northern plateau Zhangzhung regional frame without an exact polity boundary
area,northern_tai_highland_area,antq_tai,P8.9;P10;CAH-XI,contested,Northern mainland Tai highland regional proxy before later state identities
area,shan_highland_area,antq_tai,P8.9;P10;CAH-XI,contested,Shan highland Tai regional proxy before later state identities
area,champa_area,antq_cham,P8.9;P10;CAH-XI;CAM-SAH,contested,Central Vietnamese Proto-Cham regional frame without projecting the later Champa state
province,vijaya_province,antq_sa_huynh,P8.9;P10;CAM-SAH;VASS-SAH,contested,Narrow central-coast Sa Huynh archaeological frame preserved inside the broader Proto-Cham region
area,middle_amur_area,antq_yilou,P8.3;P10;CAH-XI,contested,Middle-Amur Yilou campaign frame without projecting a later Jurchen identity
area,lower_amur_area,antq_yilou,P8.3;P10;CAH-XI,contested,Lower-Amur Yilou campaign frame without projecting a later Jurchen identity
area,ussuri_area,antq_yilou,P8.3;P10;CAH-XI,contested,Ussuri Yilou campaign frame without projecting a later Jurchen identity
area,finland_area,antq_finnic,P8.7;P10;CAH-XI,contested,Finnic regional frame without projecting medieval or modern national boundaries
area,karelia_area,antq_finnic,P8.7;P10;CAH-XI,contested,Karelian-Finnic regional frame without projecting medieval or modern national boundaries
area,chimgi_tura_area,antq_ugric,P8.7;P10;CAH-XI,contested,Western Siberian Ugric regional frame; archaeological subframes retain higher specificity
area,qashliq_area,antq_ugric,P8.7;P10;CAH-XI,contested,Lower-Irtysh Ugric regional frame; archaeological subframes retain higher specificity
area,vorkuta_area,antq_samoyedic,P8.7;P10;CAH-XI,contested,Northeastern European Samoyedic regional frame without a modern-language boundary
province,tlatlauquitepec_province,antq_totonac,P8.10;P10;CAH-XI,contested,Gulf-slope Totonac campaign frame without projecting later political borders
province,tuxpan_province,antq_totonac,P8.10;P10;CAH-XI,contested,Northern Gulf Totonac campaign frame without projecting later political borders
area,tochtepec_area,antq_mixe_zoquean,P8.10;P10;CAH-XI,contested,Isthmian Mixe-Zoquean regional frame distinct from the narrower Epi-Olmec horizon
province,coatzacoalco_province,antq_epi_olmec,P8.10;P10;CAH-XI,contested,Narrow Coatzacoalcos Epi-Olmec archaeological frame retained inside the broader Mixe-Zoquean region
area,michoacan_area,antq_purepecha_precursor,P8.10;P10;CAH-XI,contested,Michoacan Purépecha-precursor frame without projecting the later Tarascan state
area,zacatecas_area,antq_oasisamerica,P8.10;P10;CAH-XI,contested,Northern Mesoamerican Oasisamerica exchange-zone frame rather than a single identity
area,haudenosaunee_area,antq_iroquoian,P8.10;P10;CAH-XI,contested,Eastern Great Lakes Iroquoian regional frame before later confederacy boundaries
area,illinois_area,antq_hopewellian,P8.10;P10;CAH-XI,contested,Illinois Hopewell interaction-sphere archaeological frame rather than a homogeneous people
area,qullaw_area,antq_aymara,P8.10;P10;CAH-XI,contested,Altiplano Aymara regional frame without projecting a later polity boundary
area,puna_area,antq_puquina,P8.10;P10;CAH-XI,contested,South-central Andean Puquina regional frame without a fixed language frontier
area,acamama_area,antq_quechua_zone,P8.10;P10;CAH-XI,contested,Central Andean Quechua-zone frame without projecting the later Inca polity
province,tiwanaku_province,antq_tiwanaku,P8.10;P10;CAH-XI,contested,Narrow Tiwanaku archaeological core preserved inside the broader Aymara altiplano frame
location,singa,antq_nilotic,P8.5;P10;CAH-XI,contested,Upper Blue Nile Nilotic-interface anchor inside the controlled AD 1 footprint; not a claim that the whole Sennar corridor was homogeneous
location,impakwe,antq_khoisan,P8.5;P10;CAH-XI,contested,Shashe-Limpopo hunter-gatherer and pastoralist frontier anchor for the Khoisan macro-frame; not a language or ethnic polygon
location,jahunda,antq_khoisan,P8.5;P10;CAH-XI,contested,Shashe-Limpopo hunter-gatherer and pastoralist frontier anchor for the Khoisan macro-frame; not a language or ethnic polygon
location,amazar,antq_tungusic,P8.3;P10;CAH-XI,contested,Upper-Amur residual Tungusic anchor outside the deliberately narrower Yilou interpretation; installed place name is only a geographic key
area,shiewhibak_area,antq_oasisamerica,P8.10;P10;CAH-XI,contested,Controlled Basketmaker-Puebloan southwest frame for Oasisamerica exchange networks rather than a single ethnic identity
location,olentangy,antq_adena_woodland,P8.10;P10;CAH-XI,contested,Ohio-valley Adena-derived Woodland residual at the AD 1 boundary; the broader interaction sphere is represented separately as Hopewellian
