overlord,subject,relationship,source,confidence,note
ROM,JUD,vassal,P8.1;OCD,secure,Herodian Judea and Samaria Roman client
ROM,BAT,vassal,P8.1;OCD;PLE,secure,Herodian Batanea Roman client
ROM,GAL,vassal,P8.1;OCD,secure,Herodian Galilee-Peraea Roman client
ROM,NAB,vassal,P8.1;OCD,secure,Aretas IV Nabataean Roman client
ROM,CAP,vassal,P8.1;OCD,secure,Archelaus Cappadocian Roman client
ROM,COM,vassal,P8.1;OCD,secure,Commagene Roman client
ROM,EME,vassal,P8.1;OCD,secure,Emesa Roman client
ROM,THR,vassal,P8.1;OCD,secure,Odrysian Thrace Roman client
ROM,MAU,vassal,P8.1;CAH-XI,secure,Juba II Mauretanian Roman client
ROM,BOS,vassal,P8.1;OCD;PLE,contested,Dynamis Bosporan Roman client
ROM,BTV,vassal,P8.7;CAH-XI,secure,Batavian Roman client community
PAR,ELY,vassal,P8.2;OCD,secure,Elymais Arsacid sub-king
PAR,CHA,vassal,P8.2;OCD;PLE,contested,Characene Arsacid sub-king
PAR,PRS,vassal,P8.2;OCD,secure,Persis Arsacid sub-king
PAR,ATR,vassal,P8.2;OCD;PLE,secure,Media Atropatene Arsacid sub-king
PAR,ADI,vassal,P8.2;OCD,secure,Adiabene Arsacid sub-king
PAR,OSR,vassal,P8.2;OCD,secure,Osroene Arsacid sub-king
PAR,GOR,vassal,P8.2;OCD;PLE,secure,Gorduene Arsacid sub-king
PAR,SKT,vassal,P8.2;CAH-XI,secure,Sakastan Arsacid subordinate realm
PAR,MRG,vassal,P8.2;CAH-XI,secure,Margiana Arsacid subordinate realm
PAR,ARI,vassal,IRAN-ARIA;P8.2;CAH-XI,contested,Aria represented as an Arsacid-facing eastern regional court
HAN,KHT,tributary,P8.3;CHG,secure,Khotan Western Regions tributary
HAN,KUC,tributary,P8.3;CHG,secure,Kucha Western Regions tributary
HAN,KAS,tributary,P8.3;CHG,secure,Kashgar Western Regions tributary
HAN,LOU,tributary,P8.3;CHG,secure,Loulan Western Regions tributary
HAN,TUR,tributary,P8.3;CHG,secure,Turfan Western Regions tributary
HAN,GMU,tributary,HAN-WR;IRAN-AKS,contested,Gumo Western Regions tributary with local kingship retained
HAN,QIM,tributary,HAN-WR,contested,Qiemo Western Regions tributary with local kingship retained
HAN,YQI,tributary,HAN-WR;HHS-WR,contested,Yanqi Western Regions tributary with local kingship retained
HAN,SHC,tributary,HAN-WR;IRAN-YAR,contested,Shache Western Regions tributary with local kingship retained
HAN,PUL,tributary,HAN-WR,contested,Puli Western Regions tributary with local highland court retained
HAN,FJS,tributary,HAN-WR;HHS-WR,contested,Further Jushi Western Regions tributary with local kingship retained
HAN,IWL,tributary,HAN-WR;IRAN-CT,contested,Yiwulu Western Regions tributary with local kingship retained
HAN,DNH,tributary,HAN-WR;HHS-WR,contested,Danhuan Western Regions tributary represented as a very small local state
KNG,SOG,tributary,IRAN-SOG-KANGJU;HAN-WR,contested,Sogdian city polities within the wider Kangju confederational sphere
