location,pleiades_id,candidate_name,reason
albarracin,270340,Lobeton,"The ancient site is unlocated, so the modern field identity is not secure."
almeria,266085,Urci,The El Chuche identification with Urci is explicitly only probable.
avila,236361,Obila,The Pleiades identification is explicitly uncertain.
azeffoun,305138,Rusazus,The Pleiades identification is explicitly uncertain.
bafra,857128,Gadilon,The association of Gadilon with modern Bafra is explicitly only probable.
balikesir,550560,Hadrianoutherai,The settlement was founded by Hadrian and is anachronistic for AD 1.
basel,177468,Basilia,"The Basilia toponym is securely attested only in late antiquity, not at AD 1."
bayonne,246461,Lapurdum,Lapurdum is a late-antique fort name and is not secure at AD 1.
bilbeis,727084,Bilbeis,The resource repeats the modern name and provides no independently attested ancient form.
branicevo,207549,Viminacium,"The Roman camp and city are first-century CE, without secure evidence for the exact AD 1 start."
civitavecchia,413076,Centum Cellae,Centum Cellae is associated with Trajanic development in 106/107 CE.
cognac,138304,Condate,The road station is only probably localized at modern Cognac.
dijon,177489,Castrum Divionense,The castrum form is late Roman and inappropriate for AD 1.
drastar,216800,Durostorum,The Roman legionary base and securely attested city identity belong to the second century CE.
kotor,197097,Agruvium,The source marks the ancient identification as reconstructed.
ljubljana,197258,Emona,"The Roman colony at Ljubljana was constructed around 14/15 CE, after the AD 1 start."
matera,442650,Matera,Pleiades supplies only a modern resource title; no distinct AD 1 name record.
melk,118857,Namare,The identification of Namare with Melk is explicitly unproven.
monastir,324827,Thapsus,Thapsus lies at Ras Dimass/Bekalta rather than the modern Monastir city identity.
monopoli,442566,Diria,The Pleiades identification is explicitly uncertain.
nafplio,570501,Nauplia,The ancient Nauplia name record ends in 30 BCE and the classical settlement was deserted by the campaign start.
nantes,138298,Kondeouinkon,The selected form is explicitly uncertain in the source record.
osijek,197389,Mursa,The secure Roman urban identity and colonial phase are later; the broad Pleiades range is not enough for AD 1.
prizren,481837,Gabuleum,The source marks the place-name identification as reconstructed.
st_polten,118629,Cetium,The Roman municipal settlement belongs to the Hadrianic period and is not secure at AD 1.
ubeda,266022,Salaria,The Pleiades identification is explicitly uncertain.
vidin,206975,Bononia,The Roman fort identity is later or insufficiently dated for the exact AD 1 start.
vienna,128537,Vindobona,"The legionary camp at Vienna was founded around 97 CE, after the AD 1 start."
wels,118901,Ovilava,The developed Roman town identity is not secure at the exact AD 1 start.
zagreb,197113,Andautonia,The archaeological town is broadly first-century CE and is not secure specifically at the AD 1 start.
