granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","cuenca_province","toledo_area","land","Olcades–Upper Sucro","Latinized Iberian ethnonym / classical hydronym","attested people-river construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D3","high","Olcadian country and the upper Sucro replace medieval Cuenca.","false"
"province","cuetlaxtlan_province","tochtepec_area","land","Totonac–Papaloapan Coast","indigenous ethnonym and hydronym / English","people-river coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Totonac","medium","Totonac communities and the Papaloapan coast replace the later Cuetlaxtlan political label.","false"
"province","cuiaba_province","mato_grosso_area","land","Upper Paraguay–Pantanal Traditions","indigenous hydronym / regional name / archaeological English","river-wetland cultural construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Pantanal","medium","The upper Paraguay and Pantanal frame diverse AD 1 communities without the colonial Cuiabá name.","false"
"province","cuitzeo_province","michoacan_area","land","Chupícuaro–Cuitzeo Basin","archaeological place names / English","archaeological-horizon lake-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Michoacan-state-Mexico","high","Chupícuaro traditions and the Cuitzeo basin fit western Mexico around AD 1.","false"
"province","culiacan_coast_sea_zones_province","aridoamerica_sea_zones_area","marine","Sinaloa–Mazatlán Waters","indigenous regional and place names / English","paired coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Gulf-of-California","medium","Sinaloa and Mazatlán identify the southeastern gulf waters without the raw Culiacán coast label.","false"
"province","culiacan_province","culiacan_area","land","Sinaloa–Piaxtla Valleys","indigenous hydronyms / English","paired river-valley construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Sinaloa-state-Mexico","medium","The Sinaloa and Piaxtla valleys replace the later Culiacán city-province.","false"
"province","cumaribo_province","boiaca_area","land","Meta–Vichada Llanos","indigenous hydronyms / Spanish landscape term","paired river-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Llanos","medium","The Meta and Vichada plains provide a physical AD 1 frame without the later Cumaribo settlement.","false"
"province","cumberland_province","northumbria_area","land","Carvetii–Luguvalium","Latinized Brittonic ethnonym / Roman place name","attested people-center construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Carvetii and Luguvalium replace the later English Cumberland name.","false"
"province","cuoim_province","east_lunda_area","land","Kwango–Lunda Woodlands","local hydronyms / English","paired river and ecology construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kasai-River","medium","The Kwango and Lunda river woodlands replace the narrow Cuoim name without asserting one polity.","false"
"province","curuai_province","amazon_area","land","Lower Amazon–Tapajós Lakes","indigenous hydronyms / English","paired river-lake construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Amazon-River","high","The lower Amazon lake belt and Tapajós approach replace the single Curuai lake label.","false"
"province","cuttaway_province","kentucky_area","land","Tennessee–Green River Woodlands","indigenous hydronyms / English","paired river archaeological landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures","medium","The Tennessee and Green river valleys frame AD 1 Woodland communities without backdating Cuttaway identity.","false"
"province","cuyahoga_province","ohio_area","land","Cuyahoga–Tuscarawas Hopewell","indigenous hydronyms / archaeological label","paired river archaeological-horizon construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Hopewell-culture","high","The two river corridors belonged to the expanding Hopewell interaction sphere around AD 1.","false"
"province","cuyo_coastal_sea_zones_province","andes_sea_zones_area","marine","Copiapó–Elqui Waters","indigenous hydronyms / English","paired coastal maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Chile/Drainage","medium","Copiapó and Elqui identify the coastal waters more accurately than inland Cuyo.","false"
