granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
region,alaska_region,north_america,land,Unaliq and Na-Dene Lands,archaeological English / Na-Dene,archaeological-horizon composite,https://www.nps.gov/articles/iyatayet.htm,medium,Norton securely anchors the western Arctic at AD 1; Na-Dene broadens the label across the interior and northwest coast without inventing a single polity.,no
region,anatolia_region,middle_east,land,Asia Minor,Greek / Latin,classical geographic exonym,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D12,high,Contemporary classical frame for the Anatolian peninsula and its adjoining Pontic and Aegean shores.,no
region,andes_region,south_america,land,Cordilleran Worlds,archaeological English,archaeological macroregion construction,https://www.cambridge.org/core/books/abs/cambridge-world-prehistory/styles-and-identities-in-the-central-andes-the-early-intermediate-period-and-middle-horizon/89B341674B78A8E774B762CC2638B534,medium,Avoids projecting Inca Antisuyu backward while expressing the strongly regional Early Intermediate and Formative societies along the installed Andean spine.,no
region,antarctic_ocean_region,antarctic_ocean_sub_continent,marine,Oceanus Australis,Latin,classical cosmographic construction,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D1,low,No AD 1 navigator named this unvisited ocean; a Latin southern-ocean construction is preferable to the modern polar name.,no
region,arabia_region,middle_east,land,Arabia,Greek / Latin,attested classical geographic name,https://periplus.arch.uoa.gr/texts/peripl_erythr/intro_en.html,high,The first-century Periplus and Greco-Roman geography use Arabia for the peninsula; retained deliberately rather than by fallback.,yes
region,aridoamerica_region,north_america,land,Northern Desert Traditions,archaeological English,archaeological landscape construction,https://open.uapress.arizona.edu/read/of-marshes-and-maize,medium,Covers contemporaneous Cienega Basketmaker and other diverse desert communities without imposing the modern Aridoamerica coinage or one ethnic identity.,no
region,australia_region,australasia,land,Southern Sahul,archaeological English,palaeogeographic macroregion,https://www.cambridge.org/core/books/cambridge-world-prehistory/sahul-and-near-oceania-in-the-pleistocene/82739080813F8B136245EE512BDEBEC8,medium,Sahul is a modern archaeological term not a claimed pan-continental endonym; Southern distinguishes the installed Australian half from New Guinea.,no
region,balkan_region,eastern_europe,land,Illyricum and Thracia,Latin / Greek,classical provincial-geographic composite,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7,high,Uses the two principal contemporary frames spanning the Adriatic Danube Haemus and Aegean footprint; Achaean lands remain within the southern frame.,no
region,baltic_region,eastern_europe,land,Vistula and Mare Suebicum,Latin,classical hydronym-sea composite,https://sourcebooks.fordham.edu/source/tacitus-germania.asp,high,Tacitus' Suebian Sea and the Vistula give an AD 1-compatible frame for the installed Polish-Baltic lands and sea.,no
region,bengal_region,south_asia,land,Vanga and Kalinga,Sanskrit / Prakrit,attested regional composite,https://en.wikisource.org/wiki/Page:History_of_India_Vol_1.djvu/251,medium,Pairs two ancient eastern names across Bengal and Odisha; Assam Mithila and the hill margins remain distinct subordinate areas.,no
region,brazil_region,south_america,land,Paraná-Uassú Lands and Paraná,archaeological English / Guaraní hydronym,river-basin macroregion construction,https://www.cambridge.org/core/journals/antiquity/article/abs/twenty-years-of-amazonian-archaeology-in-brazil-19771997/7D0DC11E20330C3B0942FA8A4F814CDF,medium,A river-basin frame replaces the colonial state name while preserving the plurality of AD 1 ceramic and foraging societies.,no
region,canada_region,north_america,land,Shield and Northern Woodlands,archaeological English,archaeological landscape construction,https://www.nps.gov/parkhistory/online_books/mwro/archeological_plan.pdf,medium,The installed key spans the Laurentian shield boreal subarctic and northeastern woodland; the label avoids the colonial country name and a false single people.,no
region,caribbean_region,north_america,land,Saladoid Isles,archaeological English,archaeological-horizon composite,https://whc.unesco.org/documents/publi_wh_papers_14_en_1.pdf,high,At AD 1 Saladoid networks covered much of the Lesser Antilles while older Archaic traditions remained important in the Greater Antilles.,no
region,carpathia_region,eastern_europe,land,Dacia and Pannonia,Latin / Greek,classical regional composite,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7,high,Contemporary geographical-political pair for the intra-Carpathian lower-Danube and middle-Danube frame.,no
region,caucasus_region,eastern_europe,land,Caucasus,Greek / Latin,attested classical geographic name,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D11,high,Kaukasos/Caucasus is an ancient classical name for this mountain frame; English spelling retained deliberately.,yes
region,central_africa_region,central_africa,land,Lake Chad and Ogooué,archaeological English / indigenous hydronyms,hydrographic composite,https://www.cambridge.org/core/books/abs/urbanisation-and-state-formation-in-the-ancient-sahara-and-beyond/first-millennia-bcad-fortified-settlements-at-lake-chad/7CE6CFFAB6A726A6ADC2B193AD123E89,medium,The two watershed anchors match the installed Chad-Cameroon-Gabon span without retrojecting a modern Central Africa identity.,no
region,central_america_region,north_america,land,Maya and Isthmian Lands,Maya / archaeological English,cultural-geographic composite,https://cir.nii.ac.jp/crid/1360011145324273408,medium,Late Preclassic Maya writing securely anchors Petén while Isthmian keeps the southern corridor plural rather than Maya-washing Panama.,no
region,central_india_region,south_asia,land,Avanti and Vidarbha,Sanskrit / Prakrit,attested regional composite,https://www.davcollegekanpur.ac.in/assets/ebooks/History/History%20of%20Early%20India%20From%20the%20Origins%20to%20AD%201300%20by%20Thapar.pdf,high,The ancient regions bracket Malwa Vidarbha and the northern Deccan-Gondwana interior more accurately than modern Central India.,no
region,chaco_region,south_america,land,Paraguay and Mamoré Lowlands,Guaraní and indigenous hydronyms / English,hydrographic construction,https://www.nature.com/articles/s41586-020-2162-7,medium,River and lowland geography avoids extending the later colonial Gran Chaco label over the installed Mamoré-Paraguay frame.,no
