granularity,key,ad1_name,note
province,djerid_province,Capsian Salt-Basin Oases,Replaces the modern Arabic salt-lake term with a physical proxy.
province,east_fezzan_province,Garamantian Libyan Interior,Uses the ancient Libyan geographic frame rather than the medieval Arabic desert name.
province,hodna_province,Numidian Hodna Salt Basin,Retains the local anchor while translating the modern landform term.
province,north_darfur_province,Howar–Marra Iron Corridor,Replaces modern Arabic landform vocabulary with a conservative route proxy.
province,ouargla_province,Gaetulian Dry-Valley Oases,Replaces modern French-Arabic watercourse vocabulary with a physical proxy.
province,south_darfur_province,Marra–Southern Nile Lands,Replaces the later Arabic river name with a conservative Nile-facing proxy.
province,tadla_province,Anatis–Atlas Gaetulian,Uses the ancient Anatis hydronym recorded for the Oum er-Rbia.
province,touggourt_province,Gaetulian Salt-Oasis Chain,Replaces modern Arabic watercourse and district vocabulary with a physical proxy.
location,aguz,Mauri Mazagan–Anatis,Uses the ancient Anatis hydronym.
location,ain_farah,Meroitic Melek Valley Heights,Translates modern Arabic landform vocabulary into a physical proxy.
location,amdoukal,Numidian Hodna Cypress,Removes the modern Arabic salt-lake term.
location,awjila,Garamantian Desert Oases,Uses a physical desert proxy rather than the medieval Arabic macro-name.
location,azilal,Anatis Lava Escarpment,Uses the ancient Anatis hydronym.
location,bou_saada,Numidian Hodna Sage,Removes the modern Arabic salt-lake term.
location,burg_bu_mountain1,Numidian Hodna Basin,Replaces the modern Arabic salt-lake term with a physical proxy.
location,burg_bu_mountain2,Numidian Inner Hodna,Removes the modern Arabic salt-lake term.
location,bzou,Anatis Grass Pastures,Uses the ancient Anatis hydronym.
location,calansho_desert,Garamantian Desert-Oasis Sage,Uses a physical desert proxy rather than the medieval Arabic macro-name.
location,coastal_libyan_desert3,Garamantian Desert-Oasis Salt,Uses a physical desert proxy rather than the medieval Arabic macro-name.
location,connector_libya10,Garamantian Libyan Interior,Uses the ancient Libyan geographic frame.
location,connector_libya15,Southeast Libyan Interior,Uses the ancient Libyan geographic frame.
location,connector_libya3,Northwest Libyan Interior,Uses the ancient Libyan geographic frame.
location,connector_libya6,Southwest Libyan Interior,Uses the ancient Libyan geographic frame.
location,debila,Gaetulian Salt-Oasis Bracken,Replaces modern Arabic watercourse vocabulary with a physical proxy.
location,demnate,Anatis Granite Terraces,Uses the ancient Anatis hydronym.
location,douz,Capsian Gafsa Reed Moor,Removes the modern Arabic salt-lake term.
location,el_djouf2,Gaetulian Northern Waste,Removes a modern Arabic definite article and landform.
location,el_djouf4,Gaetulian Southern Waste,Removes a modern Arabic definite article and landform.
location,ghardaia_el_golea_corridor,Gaetulian Dry-Valley Birch,Replaces modern French-Arabic watercourse vocabulary with a physical proxy.
location,hamada_el_hamra,Garamantian Red Plateau,Replaces modern Arabic stony-desert vocabulary with a physical proxy.
location,jama_TUN,Bagradas–Thugga Fields,Removes the anachronistic Arabic definite article and commune label.
location,kabsoru,Northwest Howar Valley,Replaces modern Arabic watercourse vocabulary with a valley proxy.
location,kalaat_sraghna,Mauri Western Fields,Repairs a corrupt derivative of a modern Arabic name.
location,kebili,Capsian Gafsa Salt Basin,Replaces the modern Arabic salt-lake term with a physical proxy.
location,kebkabiya,Southern Howar Valley,Replaces modern Arabic watercourse vocabulary with a valley proxy.
location,khenifra,Northeast Anatis Uplands,Repairs a truncated modern hydronym using ancient Anatis.
location,laayoune,Atlantic Gaetulian Plateau,Replaces modern Arabic stony-desert vocabulary with a physical proxy.
location,lake_el_rayan,Faiyum Western Lake,Removes the modern Arabic definite article and repairs the malformed label.
location,madas,Capsian Gafsa Oases,Removes the modern Arabic salt-lake term.
location,maqqara,Numidian Hodna Lands,Removes the modern Arabic salt-lake term.
location,meshra_er_req,Middle Nile Lands,Repairs a corrupt derivative of a modern Arabic name.
location,mornei,Howar–Marra Lands,Replaces modern Arabic watercourse vocabulary with a regional proxy.
location,nefta,Capsian Gafsa Steppe,Removes the modern Arabic salt-lake term.
location,ouargla_el_golea_corridor,Gaetulian Dry-Valley Oases,Replaces modern French-Arabic watercourse vocabulary with a physical proxy.
location,sahel_corridor32,Southern Stony Plains,Replaces modern Arabic stony-desert vocabulary with a physical proxy.
location,sahel_corridor33,Western Stony Plateau,Replaces modern Arabic stony-desert vocabulary with a physical proxy.
location,shakka,Southern Nile Tributary,Replaces the later Arabic river name with a physical proxy.
location,south_middle_atlas1,Anatis–Atlas Gaetulian,Uses the ancient Anatis hydronym.
location,tadla,Anatis Northeast Fields,Repairs a truncated modern hydronym using ancient Anatis.
location,tamacine,Gaetulian Salt-Oasis Chain,Replaces modern Arabic watercourse and district vocabulary with a physical proxy.
location,tazirbu,Garamantian Dry Oases,Uses a physical desert proxy rather than the medieval Arabic macro-name.
location,tindouf,Southern Stony Plateau,Replaces modern Arabic stony-desert vocabulary with a physical proxy.
location,touggourt,Northern Salt Oases,Replaces modern French-Arabic watercourse vocabulary with a physical proxy.
location,touggourt_ouargla_corridor,Southeast Salt Oases,Replaces modern French-Arabic watercourse vocabulary with a physical proxy.
location,towing,Howar–Marra Iron,Replaces modern Arabic watercourse vocabulary with a regional proxy.
location,tozeur,Northeast Gafsa Basin,Replaces the modern Arabic salt-lake term with a physical proxy.
location,uri,Northeast Howar Valley,Replaces modern Arabic watercourse vocabulary with a valley proxy.
location,wara,Marra–Southern Nile,Replaces the later Arabic river name with a conservative Nile-facing proxy.
location,west_grand_erg_oriental1,Northeast Sand Sea,Replaces modern Arabic dune-sea vocabulary with a physical proxy.
