key,name,good,output,climates,topographies,vegetations,regions,water,max,source,icon_subject
antq_cult_wheat_fields,Wheat Fields,wheat,0.38,continental|oceanic|mediterranean|subtropical|cold_arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods,ALL,none,3,P12.1;P12.3;PER,wheat sheaves sickle field ridges timber granary
antq_cult_millet_plots,Millet Plots,millet,0.36,continental|oceanic|mediterranean|subtropical|tropical|arid|cold_arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods,ALL,none,3,P12.1;P12.3;PER,millet heads basket hoe dry furrows
antq_cult_barley_plots,Barley Plots,antq_barley,0.36,continental|oceanic|mediterranean|subtropical|arid|cold_arid,flatland|hills|plateau|mountains,farmland|grasslands|sparse|woods,ALL,none,3,CAM-TIB-ARCH;ANT-BANGGA;P12.1,barley bundles quern mattock upland terrace
antq_cult_rice_paddies,Rice Paddies,rice,0.34,tropical|subtropical|continental,flatland|wetlands|hills|plateau,farmland|grasslands|woods|jungle,bengal_region|central_india_region|deccan_region|hindustan_region|western_india_region|east_china_region|north_china_region|south_china_region|west_china_region|korea_region|japan_region|indochina_region|indonesia_region|guinea_region,river,3,P12.1;BHR;CAM-IRON-RICE;PER,rice seedlings bunds rake basket irrigation channel
antq_cult_maize_plots,Maize Plots,maize,0.36,tropical|subtropical|continental|arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods|forest|jungle,mesoamerica_region|central_america_region|aridoamerica_region|andes_region|colombia_region|brazil_region|caribbean_region|great_plains_region|east_coast_region|west_coast_region|great_lakes_region,none,3,P12.1;P12.3;PER,maize ears planting stick basket field
antq_cult_pulse_plots,Pulse Plots,legumes,0.37,continental|oceanic|mediterranean|subtropical|tropical|arid|cold_arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods|forest|jungle,ALL,none,3,P12.1;P12.3;PER,pulse pods seed jar hoe garden rows
antq_cult_fruit_orchards,Fruit Orchards,fruit,0.32,continental|oceanic|mediterranean|subtropical|tropical|arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods|forest|jungle,ALL,none,2,P12.1;P12.3;PER,fig apple pomegranate pruning knife orchard wall
antq_cult_olive_groves,Olive Groves,olives,0.28,mediterranean|arid,flatland|hills|plateau,farmland|grasslands|sparse|woods,iberia_region|france_region|italy_region|maghreb_region|balkan_region|anatolia_region|egypt_region|crescent_region,none,2,P12.1;P12.3;MET-ROMAN-HOUSING;PER,olive tree harvest comb amphora terrace
antq_cult_grape_arbors,Grape Arbors,fruit,0.30,continental|oceanic|mediterranean|subtropical|cold_arid,flatland|hills|plateau,farmland|grasslands|sparse|woods,iberia_region|france_region|italy_region|maghreb_region|balkan_region|anatolia_region|carpathia_region|caucasus_region|crescent_region|persia_region|khorasan_region|xinjiang_region|north_china_region,none,2,P12.1;P12.3;PER,grape arbor pruning hook basket amphora
antq_cult_date_groves,Date Groves,antq_dates,0.30,tropical|subtropical|arid,flatland|wetlands|hills,farmland|grasslands|sparse|desert,maghreb_region|egypt_region|nubia_region|arabia_region|crescent_region|persia_region|somalia_region,river_or_arid,2,P12.1;P12.3;P14;PER,date palm climbing rope baskets irrigation basin
antq_cult_nut_orchards,Nut Orchards,antq_tree_nuts,0.30,continental|oceanic|mediterranean|subtropical|arid|cold_arid,flatland|hills|plateau|mountains,farmland|grasslands|sparse|woods|forest,iberia_region|france_region|italy_region|maghreb_region|balkan_region|anatolia_region|carpathia_region|caucasus_region|crescent_region|persia_region|khorasan_region|western_india_region|central_india_region,none,2,P12.1;P12.3;P14;PER,almonds pistachios walnuts cloth stone cracker
antq_cult_sesame_plots,Sesame Plots,antq_sesame,0.32,tropical|subtropical|mediterranean|arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods,egypt_region|nubia_region|ethiopia_region|guinea_region|crescent_region|persia_region|khorasan_region|arabia_region|hindustan_region|bengal_region|central_india_region|deccan_region|western_india_region|indochina_region,none,2,P12.1;P12.3;P14;PER,sesame stalks seed capsules basket drying mat
antq_cult_flax_hemp_fields,Flax and Hemp Fields,fiber_crops,0.34,continental|oceanic|mediterranean|subtropical|cold_arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods,ALL,none,3,P12.1;P12.3;PER,flax flowers hemp stalks retting bundle spindle
antq_cult_cotton_plots,Cotton Plots,cotton,0.30,tropical|subtropical|arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods|forest|jungle,egypt_region|nubia_region|ethiopia_region|guinea_region|arabia_region|crescent_region|persia_region|khorasan_region|hindustan_region|bengal_region|central_india_region|deccan_region|western_india_region|indochina_region|indonesia_region|mesoamerica_region|central_america_region|andes_region|colombia_region,humid,2,P12.1;P12.3;PER,cotton bolls spindle basket hoe field
antq_cult_dye_gardens,Dye Gardens,dyes,0.27,continental|oceanic|mediterranean|subtropical|tropical|arid,flatland|hills|plateau|wetlands,farmland|grasslands|sparse|woods|forest|jungle,ALL,none,2,P12.1;P12.3;PER,madder roots woad indigo clay bowl garden
antq_cult_sugar_cane,Sugar-Cane Plots,sugar,0.25,tropical|subtropical,flatland|hills|plateau|wetlands,farmland|grasslands|woods|forest|jungle,bengal_region|hindustan_region|central_india_region|deccan_region|western_india_region|south_china_region|indochina_region|indonesia_region,humid,2,P12.1;P12.3;PER,sugar cane billhook bundle irrigation ditch
antq_cult_tea_gardens,Tea Gardens,tea,0.22,tropical|subtropical|oceanic,flatland|hills|plateau|mountains,farmland|grasslands|woods|forest|jungle,south_china_region|west_china_region|east_china_region|indochina_region,humid,2,P12.1;BHR;PER,tea shrubs leaf basket pruning knife misted slope
antq_cult_pepper_gardens,Pepper Gardens,medicaments,0.22,tropical|subtropical,flatland|hills|plateau,farmland|woods|forest|jungle,western_india_region|deccan_region|indochina_region|indonesia_region,humid,2,P12.1;P12.3;PER,pepper vines timber supports berry baskets
antq_cult_incense_gardens,Incense Gardens,incense,0.20,tropical|subtropical|arid,flatland|hills|plateau|mountains,grasslands|sparse|woods|forest|desert,arabia_region|somalia_region|ethiopia_region,none,2,P12.1;P12.3;PER,frankincense tree tapping knife resin tray
antq_cult_papyrus_beds,Papyrus Beds,antq_papyrus,0.22,tropical|subtropical|arid|mediterranean,flatland|wetlands,farmland|grasslands|sparse|woods,egypt_region|nubia_region|crescent_region,river,2,P12.1;P12.3;PER,papyrus clump sickle stalk bundle shallow water
antq_cult_coconut_groves,Coconut Groves,antq_coconuts,0.27,tropical|subtropical,flatland|hills|wetlands,farmland|grasslands|woods|forest|jungle,western_india_region|deccan_region|bengal_region|indochina_region|indonesia_region|madagascar_region|swahili_coast_region|melanesia_region|micronesia_region|polynesia_region,coast,2,P12.1;P12.3;P14;PER,coconut palms husking stake coir basket littoral
antq_cult_spice_gardens,Spice Gardens,medicaments,0.20,tropical|subtropical,flatland|hills|plateau|mountains,farmland|woods|forest|jungle,western_india_region|deccan_region|south_china_region|indochina_region|indonesia_region,humid,2,P12.1;P12.3;PER,cloves cardamom woven tray shaded garden
