design_tag,engine_tag,name,kind,technical_rank,government_context,presentation_class,display_rank,ruler_title,source,confidence,note
ROM,XAA,Roman Empire,country,rank_empire,monarchy,roman_imperium,Imperium,Princeps/Princeps,P8.1;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
JUD,JUD,Herodian Judea,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GAL,XAB,Herodian Galilee-Peraea,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BAT,XAC,Herodian Batanea,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NAB,NAB,Nabataea,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAP,CAP,Cappadocia,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
COM,XAE,Commagene,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
EME,EME,Emesa,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
THR,THR,Odrysian Thrace,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BOS,XAF,Bosporan Kingdom,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,P8.1;OCD;PLE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MAU,XAG,Mauretania,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,CAM-JUBA;OCD-CAESAREA;P8.1;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PAR,XAH,Parthian Empire,country,rank_empire,monarchy,arsacid_kingdom,Kingdom of Kings,King of Kings/Queen of Queens,P8.2;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
