design_tag,engine_tag,name,map_capital,location_count,former_rjs_locations,culture,religion,seeded_locations,placements,emblem,source,confidence
ANR,XCN,Anarta-Sarasvati Settlement Networks,patan,10,10,antq_anarta_sarasvati,antq_brahmanism,4,9,ce_circle.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
LBR,LBR,Lata-Barygaza Trade Corridor,broach,6,6,antq_lata_barygaza,antq_brahmanism,2,5,ce_boat_shield.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
RKU,RKU,Rewa-Kantha Upland Communities,champaner,3,3,antq_rewa_kantha,antq_brahmanism,2,5,ce_deer_kneeling.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
SRS,SRS,Saurashtra Coastal Networks,junagarh,16,16,antq_saurashtra_early_historic,antq_brahmanism,4,9,ce_fish_okeane.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
KCH,XGN,Kutch Island-Coast Networks,lakhiyarvira,4,4,antq_kutch_early_historic,antq_brahmanism,2,5,ce_boat_shield.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
MTS,XGO,Matsya-Dhundhar Communities,ajmer,8,8,antq_matsya_dhundhar,antq_brahmanism,3,9,ce_cartwheel.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
CHB,XGP,Chambal-Gird Communities,kota,14,14,antq_chambal_gird,antq_brahmanism,4,9,ce_elephant_asian.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
ABN,ABN,Ahar-Banas Highland Communities,chittor,11,11,antq_ahar_banas,antq_brahmanism,3,7,ce_spiral.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
MRN,XGQ,Marwar-Nagaur Caravan Networks,osian,22,22,antq_marwar_nagaur,antq_brahmanism,5,11,ce_spear_head_random_small.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
JGP,XGR,Jangladesh Pastoral Networks,bhatnir,15,15,antq_jangladesh_pastoral,antq_brahmanism,4,9,ce_deer_kneeling.dds,ASI-WESTERN-INDIA;UOA-PERIPLUS;BM-TRIBAL-COINS;P8.4,contested
