design_tag,engine_tag,name,map_capital,location_count,former_sea_locations,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
ARK,XDQ,Arakan Littoral Networks,weithali,12,12,antq_arakan_littoral,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_river_corridor_network,3,5,ce_fish_okeane.dds,CAM-ARAKAN-BOUNDARY;P8.9,contested
SHY,SHY,Sa Huynh Coastal Networks,amaravati,15,15,antq_sa_huynh,antq_mainland_southeast_asian_traditions,tribe,antq_sa_huynh_exchange_network,4,5,ce_circle.dds,CAM-SAH;VASS-SAH;P8.9,contested
CHG,XGF,Central Vietnamese Highland Networks,cat_tien,10,10,antq_central_vietnam_highland,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_highland_exchange_network,3,4,ce_stag.dds,CAM-SAH;P8.9,contested
KCN,XGG,Patkai-Upper Irrawaddy Highland Networks,putao,12,12,antq_patkai_upper_irrawaddy,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_highland_exchange_network,3,4,ce_deer_kneeling.dds,CAM-MYANMAR-CHRON;P8.9,contested
UIR,UIR,Upper Irrawaddy Corridor Networks,myitkyina,8,8,antq_upper_irrawaddy_corridor,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_river_corridor_network,3,4,ce_cartwheel.dds,CAM-MYANMAR-CHRON;P8.9,contested
PWB,PWB,Ping-Wang Basin Networks,chiang_mai,12,12,antq_ping_wang_iron_age,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_iron_age_basin_network,3,4,ce_spiral_star_06.dds,CAM-SEA-IRON;P8.9,contested
KIB,KIB,Kok-Ing-Nan Basin Networks,chiang_rai,10,10,antq_kok_ing_nan_iron_age,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_iron_age_basin_network,3,4,ce_spiral.dds,CAM-SEA-IRON;P8.9,contested
UMK,UMK,Upper Mekong Upland Networks,muang_sua,16,16,antq_upper_mekong_upland,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_highland_exchange_network,4,5,ce_circle.dds,UNESCO-JARS;ANT-NLAOS;P8.9,contested
USH,USH,Upper Salween-Shweli Networks,hsenwi,17,17,antq_upper_salween_shweli,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_river_corridor_network,4,5,ce_cartwheel.dds,CAM-MYANMAR-CHRON;P8.9,contested
KGT,KGT,Kengtung Basin Networks,kengtung,6,6,antq_kengtung_basin,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_iron_age_basin_network,2,3,ce_bull_head_ringed.dds,CAM-SEA-IRON;P8.9,contested
SSH,XGH,Southern Plateau Corridor Networks,mongnai,12,12,antq_southern_plateau_corridor,antq_mainland_southeast_asian_traditions,tribe,antq_mainland_highland_exchange_network,3,4,ce_spear_head_random_small.dds,CAM-MYANMAR-CHRON;P8.9,contested
