site_key,location,type,importance,religions,name,description,source,date_note
antq_capitoline_jupiter,rome,temple_complex,5,antq_religio_romana,Capitoline Temple of Jupiter,"Rome's chief civic temple joined Jupiter Optimus Maximus with Juno and Minerva and anchored vows, triumphs, and the public cult.",https://www.worldhistory.org/Temple_of_Jupiter_Optimus_Maximus/,The Republican temple and Augustan restorations belong to the AD 1 landscape.
antq_praeneste_fortuna,palestrina,sanctuary,4,antq_religio_romana,Sanctuary of Fortuna Primigenia,"The terraced sanctuary and its lot oracle made Praeneste one of central Italy's strongest supra-local cult centres.",https://www.britannica.com/place/Palestrina,The monumental sanctuary predates AD 1; no later imperial rebuilding is implied.
antq_delphic_oracle,salona,oracle,5,antq_hellenic,Oracle of Apollo at Delphi,"The Pythian sanctuary remained a Panhellenic place of consultation, dedication, and festival assembly.",https://whc.unesco.org/en/list/393/,Salona is the closest valid engine anchor and does not relocate Delphi historically.
antq_olympian_altis,pontikokastro,sanctuary,5,antq_hellenic,Altis of Olympia,"Zeus's sacred precinct gathered temples, treasuries, athletic rites, and interstate dedications around the Olympic festival.",https://whc.unesco.org/en/list/517/,Pontikokastro is the closest valid engine anchor to ancient Olympia.
antq_ephesian_artemis,ayasuluk,temple_complex,5,antq_hellenic,Artemision of Ephesos,"The great temple of Artemis served Ephesos and attracted worshippers, gifts, and asylum claims from across the eastern Mediterranean.",https://whc.unesco.org/en/list/1018/,Ayasuluk is the valid engine location for Ephesos; the site is not represented as a Christian shrine.
antq_second_temple_jerusalem,jerusalem,temple_complex,5,antq_judaism,Second Temple of Jerusalem,"The Herodian Temple was the unique sacrificial centre of Judaean religion and the focus of pilgrimage at the campaign opening.",OCD-JER,Valid from AD 1 until the Temple's destruction in AD 70; later rabbinic institutions are not backdated.
antq_nisa_royal_precinct,nisa,ancestral_precinct,4,antq_arsacid_zoroastrianism,Nisa Royal Precinct,"The Arsacid ceremonial complex held dynastic architecture, storerooms, and a powerful ancestral memory close to the Parthian homeland.",https://whc.unesco.org/en/list/1242/,Treated as an Arsacid ancestral-cult anchor rather than evidence for uniform later Zoroastrian orthodoxy.
antq_bodhgaya_vajrasana,gaya,pilgrimage_city,5,antq_theravada|antq_mahayana,Vajrasana at Bodh Gaya,"The place of the Buddha's awakening was already marked by Mauryan patronage and drew Buddhist devotion beyond a single school.",https://whc.unesco.org/en/list/1056/,The AD 1 form excludes the surviving later temple superstructure.
antq_sanchi_stupas,bhilsa,temple_complex,4,antq_theravada|antq_mahayana,Stupas of Sanchi,"Stupas and monastic foundations near Vidisha preserved relic devotion and a major patronage network in central India.",JRAS-VEDISA;https://whc.unesco.org/en/list/524/,Bhilsa is the valid engine anchor for Sanchi and Vidisha; sectarian ownership is intentionally shared.
antq_anuradhapura_monasteries,anuradhapura,temple_complex,4,antq_theravada,Anuradhapura Monastic Precincts,"Early monasteries around the royal capital joined relic worship, teaching, alms, and court patronage.",UNESCO-ANU-MON,Only foundations established by the first century BCE are represented; later monumental phases are excluded.
antq_kashi_sacred_crossing,varanasi,pilgrimage_city,3,antq_brahmanism,Kashi Sacred Crossing,"Kashi's riverfront ritual landscape links sacrifice, purification, learning, and movement along the middle Ganga.",https://www.britannica.com/place/Varanasi,Importance is restrained because much fuller Puranic pilgrimage evidence is later than AD 1.
antq_mathura_jain_precinct,mathura,temple_complex,4,antq_jainism,Kankali Tila Jain Precinct,"The Mathura complex preserves early Jain stupa, image, donor, and monastic activity at a major north Indian crossroads.",https://academic.oup.com/book/39117/chapter-abstract/338515844,The site is valid at the era boundary; later Kushan sculpture is not projected backward.
antq_qufu_ancestral_precinct,qufu,ancestral_precinct,4,antq_chinese_state_cult,Qufu Ancestral Precinct,"The home landscape of Kongzi supported lineage commemoration and the Han state's growing ritual recognition of the sage.",https://whc.unesco.org/en/list/704,The row represents Han commemoration and not the much later architectural complex now visible.
antq_changan_state_altars,changan,sanctuary,5,antq_chinese_state_cult,Chang'an State Altars,"Imperial sacrifices around the Han capital ordered Heaven, Earth, ancestors, and the polity through court ritual.",https://www.metmuseum.org/toah/hd/hand/hd_hand.htm,Represents the Western Han ritual capital at AD 1 without importing later Daoist institutions.
antq_izumo_yayoi_ritual_landscape,izumo,ancestral_precinct,2,antq_kami,Izumo Yayoi Ritual Landscape,"Communal offerings and bronze-deposit traditions make Izumo a strong regional focus for local deities and ancestors.",https://academic.oup.com/edited-volume/38633/chapter-abstract/335309909,No later Izumo Taisha building or codified Shinto system is backdated.
antq_saro_ancestral_precinct,gyeongju,ancestral_precinct,2,antq_korean_muism,Saro Ancestral Precinct,"The Gyeongju basin's emerging communities expressed authority through lineage rites, mortuary display, and local sacred landscapes.",https://www.metmuseum.org/toah/hd/kort/hd_kort.htm,This is an archaeological regional adapter and does not assume later Silla royal ritual.
antq_khangai_sacred_heights,khangain_mountains,sacred_mountain,3,antq_tengri,Khangai Sacred Heights,"Mountain, sky, pasture, and ancestral rites converge in the Khangai heartland of Inner Asian pastoral communities.",https://whc.unesco.org/en/list/1081/,The landscape is ancient; no medieval imperial cult or later written liturgy is implied.
antq_kailash_highland_axis,purang,sacred_mountain,4,antq_bon|antq_western_plateau_traditions,Kailash Highland Axis,"The conspicuous peak and surrounding headwaters form a durable sacred landscape for western Tibetan highland communities.",CAM-TIB-ARCH,The site models local pre-imperial traditions and does not backdate later organized Bon doctrine or pilgrimage circuits.
antq_karnak_amun,karnak,temple_complex,5,antq_kemetic,Temple of Amun at Karnak,"The vast Theban precinct remained a living centre of Amun's cult, priestly estates, procession, and regional memory under Roman rule.",https://whc.unesco.org/en/list/87/,Only structures and cults extant by AD 1 are intended.
antq_philae_isis,aswan,temple_complex,4,antq_kemetic,Temple of Isis at Philae,"Isis's island sanctuary linked the First Cataract, Nile travel, Egyptian temple ritual, and worshippers from beyond Egypt.",https://whc.unesco.org/en/tentativelists/182/,Aswan is the nearest valid engine anchor to Philae.
antq_siwa_amun_oracle,siwa,oracle,4,antq_kemetic|antq_hellenic|antq_berber_religion,Oracle of Amun at Siwa,"The oasis oracle joined Libyan, Egyptian, and Greek religious worlds and retained prestige long after Alexander's consultation.",https://www.britannica.com/place/Siwa-Oasis,Shared access represents an ancient frontier cult and not religious homogenization.
antq_jebel_barkal_amun,karima,sacred_mountain,5,antq_kushite_amun,Jebel Barkal and the Temple of Amun,"The sacred sandstone mountain and its temples bound Napatan kingship, Amun worship, and the memory of Kushite rule.",https://whc.unesco.org/en/list/1073/,Karima is the valid location at Jebel Barkal; its importance survives the political move toward Meroe.
antq_meroe_royal_temples,shendi,temple_complex,4,antq_kushite_amun,Meroe Royal Temple Precinct,"Temples, pyramids, and royal installations near the Meroitic capital joined state ritual with dynastic burial and craft production.",https://whc.unesco.org/en/list/1336/,Shendi is the closest valid engine anchor to the Meroe complex.
antq_yeha_temple,yeha,temple_complex,4,antq_aksumite_paganism,Great Temple of Yeha,"The enduring monumental precinct of Yeha preserved a prestigious south-Arabian-linked cult landscape in northern Ethiopia.",https://whc.unesco.org/en/tentativelists/6627/,The temple is older than AD 1 and is used as inherited sacred geography during the pre-Aksumite to Aksumite transition.
antq_axum_ancestral_precinct,axum,ancestral_precinct,3,antq_aksumite_paganism,Aksum Ancestral Precinct,"Emerging elite and mortuary landscapes around Aksum gave the developing centre a local ancestral and ceremonial focus.",https://whc.unesco.org/en/list/15/,Only early phases are represented; the later Christian monuments are excluded.
antq_meccan_sanctuary,mecca,sanctuary,3,antq_arabian_polytheism,Meccan Sanctuary,"A protected cult place around the Kaaba represents western Arabian pilgrimage, offerings, and negotiated sanctuary.",https://www.britannica.com/topic/Kaaba-shrine-Mecca-Saudi-Arabia,The AD 1 importance is deliberately moderate because detailed descriptions are preserved in later sources.
antq_dedan_sanctuary,al_ula,sanctuary,3,antq_arabian_polytheism,Dedanite Sanctuary,"Oasis temples and inscriptions at Dedan preserve a locally grounded north-Arabian cult centre on the incense routes.",https://whc.unesco.org/en/list/1563/,Al-Ula is the valid engine anchor; Nabataean and later Islamic layers are not conflated with the AD 1 cult.
antq_petra_dushara,maan,sanctuary,4,antq_arabian_polytheism,Petra Sanctuary of Dushara,"Nabataean temples and high places made Petra a major focus of dynastic, civic, and caravan-linked worship.",https://whc.unesco.org/en/list/326/,Ma'an is the closest valid engine anchor and does not relocate Petra historically.
antq_awwam_maqah,marib,temple_complex,5,antq_south_arabian_religion,Awwam Temple of Almaqah,"The great extra-mural sanctuary of Marib united Sabaean pilgrimage, offerings, legal acts, and the cult of Almaqah.",UNESCO-SABA,The sanctuary was active across the late first millennium BCE and early first millennium CE.
antq_timna_amm,bayhan,temple_complex,4,antq_south_arabian_religion,Temple of Amm at Timna,"Qataban's capital precinct made Amm's worship part of royal authority and caravan wealth in the Bayhan valley.",UNESCO-QATABAN,Bayhan is the valid engine anchor for Timna; later abandonment phases are excluded.
antq_thinissut_sanctuary,hammamet,sanctuary,3,antq_punic|antq_berber_religion,Thinissut Sanctuary,"A rural sanctuary near the Punic-Roman coast preserved local deities, votive practice, and mixed North African cult forms.",https://www.cambridge.org/core/journals/libyan-studies/article/beyond-culturehistorical-models-reframing-religious-change-in-secondthird-century-ad-north-africa/742042579D4B62585CDBA7CA8222B322,Hammamet is the nearest valid engine anchor; the shared row models continuity rather than a single ethnic cult.
antq_carthage_tanit_baal,tunis,temple_complex,4,antq_punic,Carthaginian Precinct of Tanit and Baal,"Carthage's Punic cult memory and continuing votive practice remained central to communities rebuilt under Roman rule.",https://whc.unesco.org/en/list/37/,Tunis is the closest valid engine anchor to Carthage; no late antique Christian layer is included.
antq_carnutes_assembly_grove,chartres,sacred_grove,4,antq_celtic_religion,Carnutes Assembly Grove,"The central territory of the Carnutes hosted the annual assembly associated with druids, judgment, and inter-community ritual.",https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Caesar/Gallic_War/6B*.html,Chartres is a regional engine anchor; Caesar identifies the Carnutes territory but not an excavated grove at the modern city point.
antq_semnonian_grove,havelberg,sacred_grove,3,antq_germanic_religion,Semnonian Sacred Grove,"A periodically assembled confederate cult in a consecrated grove expressed shared ancestry, restraint, and political prestige.",https://sourcebooks.fordham.edu/source/tacitus-germania.asp,Havelberg is a broad regional proxy for Tacitus's Semnones and no later temple institution is implied.
antq_sambian_coastal_grove,memel,sacred_grove,2,antq_baltic_slavic,Sambian Coastal Grove,"Groves, waters, amber routes, and ancestral places provide a bounded cult focus for eastern Baltic communities.",GERMANIA-NEVA,This is a regional archaeological adapter and does not backdate medieval Romuva names or institutions.
antq_saima_sacred_waters,saima,sanctuary,2,antq_finnic,Saima Sacred Waters,"Lake passages, islands, hunting grounds, and remembered ancestors form a plausible shared ritual landscape in the Finnish interior.",ENC-NEEU,The row is deliberately landscape-based because no securely named AD 1 sanctuary is known at the engine point.
antq_kerma_ancestral_precinct,kerma,ancestral_precinct,3,antq_nile_cushitic,Kerma Ancestral Precinct,"Ancient monumental and mortuary ground at Kerma offered Nile communities a deep local focus for ancestry and place.",https://whc.unesco.org/en/tentativelists/6595/,The site is inherited sacred geography at AD 1 and does not imply survival of the Bronze Age Kerma state.
antq_jenne_jeno_ancestral_precinct,djenne,ancestral_precinct,2,antq_west_african,Jenne-jeno Ancestral Precinct,"The growing Inland Niger settlement network tied household ancestry, ironworking, exchange, and communal gathering to a durable place.",MET-IND,The ritual interpretation is intentionally modest and no later imperial or Islamic institution is backdated.
antq_urewe_ancestral_hearths,rubaga,ancestral_precinct,2,antq_bantu_religion,Urewe Ancestral Hearths,"Lakes-region farming and ironworking communities are represented through household ancestors, hearths, and settlement memory.",AZA-UREWE;JAH-BANTU-MOBILITY,Rubaga is a regional engine proxy; Urewe is an archaeological horizon rather than a single people or priesthood.
antq_tsodilo_sacred_hills,hambukushu,sacred_mountain,4,antq_southern_african_hunter_herder_traditions,Tsodilo Sacred Hills,"Rock art, shelters, water, and a striking hill landscape preserve a long ritual relationship between communities and place.",https://whc.unesco.org/en/list/1021/,Hambukushu is the closest valid engine anchor; no single later ethnic ownership is projected onto AD 1.
antq_tehotihuacan_formative_precinct,tehotihuacan,temple_complex,3,antq_mesoamerican,Early Teotihuacan Ceremonial Precinct,"The rapidly growing Basin of Mexico centre concentrated households, ritual construction, exchange, and emerging civic authority.",https://whc.unesco.org/en/list/414/,Only first-century BCE and AD 1 formative phases are represented; the mature Avenue and Pyramid of the Sun complex are later.
