granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","caux_province","normandy_area","land","Caleti Coast","Latinized Gallic ethnonym / English","attested people and coastal construction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Caleti occupied the Pays de Caux and lower Seine coast around AD 1.","false"
"province","cayas_province","arkansas_area","land","Arkansas–Ozark Woodlands","indigenous hydronym / English","river-upland archaeological construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Woodland-cultures","medium","The Arkansas corridor and Ozark margins frame AD 1 Woodland communities without backdating the later Cayas name.","false"
"province","cayor_province","jolof_area","land","Thiès–Senegal Savannas","local place name / hydronym / English","river-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Senegal","medium","The Thiès plateau and Senegal-facing savannas replace the later Cayor kingdom.","false"
"province","ceibal_province","peten_area","land","Pasión–Mopan Late Preclassic","Maya hydronyms / archaeological English","paired basin archaeological-period construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Peten","high","The Pasión and Mopan basins held Late Preclassic Maya communities around AD 1, beyond Seibal alone.","false"
"province","celtic_sea_province","celtic_sea_area","marine","Southern Oceanus Hibernicus","Latin / English","classical sea construction plus direction","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D2","medium","A southern division of the Hibernian ocean replaces the modern twentieth-century Celtic Sea name.","false"
"province","cempohuallan_province","tochtepec_area","land","Totonac–Cempoala Coast","indigenous ethnonym and place name / English","people-center coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Totonac","medium","Totonac Gulf communities and Cempoala anchor the footprint without leaving the vanilla name unchanged.","false"
"province","cendrawasih_province","wanin_area","land","Yaur–Roon Shores","local place and island names / English","paired coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/New-Guinea","medium","Yaur and Roon identify the bay shores without the modern Indonesian Cenderawasih label.","false"
"province","central_adamawa_province","adamawa_area","land","Benue–Adamawa Iron Lands","local hydronym / regional name / archaeological English","river iron-age landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Benue-River","medium","The upper Benue and Adamawa uplands frame early iron-working communities without a modern directional province.","false"
"province","central_alyutor_province","anadyr_area","land","Penzhina–Parapol Tundra","local geographic names / English","paired lowland-tundra construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kamchatka-Peninsula","medium","The Penzhina and Parapol lowlands provide a physical frame without backdating Alyutor territorial uniformity.","false"
"province","central_doab_province","doab_area","land","Kanyakubja–Yamuna Plain","Sanskrit city and river names / English","attested center-river landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kannauj","high","Kanyakubja and the middle Yamuna plain replace the generic Central Doab name.","false"
"province","central_kongo_province","west_kongo_area","land","Lower Kongo–Niari Lands","local hydronyms / English","paired river-basin construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Congo-River","medium","The lower Kongo and Niari corridor replace modern directional Kongo geography.","false"
"province","central_macedonia_province","macedonia_area","land","Emathia–Mygdonia","Greek classical regions","attested paired regions","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0198%3Abook%3D7","high","Emathia and Mygdonia cover the Axios–Thermaic Macedonian heartland at AD 1.","false"
"province","central_nuchiu_province","rockies_area","land","Uinta–Tavaputs Archaic Lands","local geographic names / archaeological English","upland archaeological-horizon construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Archaic-culture","medium","The Uinta and Tavaputs plateaus receive an AD 1 Archaic frame without backdating later Ute divisions.","false"
"province","central_omok_province","kolyma_area","land","Kolyma–Anyuy Tundra","local hydronyms / English","paired river and ecology construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Kolyma-River","medium","The Kolyma and Anyuy tundra replaces a broad later Omok ethnonym.","false"
"province","central_sahara","desert_area","land","Garamantian Tassili Routes","Latinized polity name / local landform / English","attested polity and caravan-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Garamantes","high","Garamantian routes across the Tassili and Ghadames corridor replace a generic Central Sahara label.","false"
"province","central_tlingit_province","northwest_coast_area","land","Tlingit Archipelago Heartland","Tlingit ethnonym / English","indigenous people and archipelago construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Tlingit","medium","The Alexander Archipelago heartland retains the local people-name but removes raw directional naming.","false"
"province","central_visayas_province","visayas_area","land","Cebu–Bohol Island Networks","local island names / English","paired island exchange construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Visayan-Islands","medium","Cebu and Bohol anchor central Philippine Austronesian exchange networks around AD 1.","false"
"province","chach_province","transoxiana_area","land","Chach–Fanakat","Iranian historical place names","attested oasis-center composite","installed:in_game/map_data/definitions.txt;https://www.iranicaonline.org/articles/cac/","high","Chach and Fanakat anchor the middle Syr Darya oasis world within Kangju.","false"
