key,name,group,language,source,confidence,note
antq_latin,Latin,antq_italic_group,latin_language,P10;CAH-XI,secure,Latin-speaking Roman core
antq_etruscan,Etruscan,antq_italic_group,latin_language,P10;CAH-XI,contested,Residual Etruscan communities
antq_oscan_umbrian,Oscan-Umbrian,antq_italic_group,latin_language,P10;CAH-XI,contested,Residual Italic communities
antq_venetic,Venetic,antq_italic_group,latin_language,P10;CAH-XI,contested,Adriatic Venetic continuity
antq_greek_koine,Greek Koine,antq_hellenic_group,greek_language,P10;CAH-XI,secure,Greek eastern Mediterranean continuum
antq_macedonian,Ancient Macedonian,antq_hellenic_group,greek_language,P10;CAH-XI,contested,Hellenized Macedonian regional identity
antq_gallic,Gallic,antq_celtic_group,gaelic_language,P10;CAH-XI,secure,Transalpine Celtic continuum
antq_belgic,Belgic,antq_celtic_group,gaelic_language,P10;CAH-XI,contested,Northern Gallic-Belgic continuum
antq_brittonic,Brittonic,antq_celtic_group,gaelic_language,P10;CAH-XI,secure,British Celtic continuum
antq_caledonian,Caledonian,antq_celtic_group,gaelic_language,P10;CAH-XI,contested,Northern British societies
antq_gaelic,Gaelic,antq_celtic_group,gaelic_language,P10;CAH-XI,secure,Hibernian societies
antq_celtiberian,Celtiberian,antq_celtic_group,gaelic_language,P10;CAH-XI,contested,Iberian Celtic communities
antq_galatian,Galatian,antq_celtic_group,gaelic_language,P10;CAH-XI,contested,Anatolian Celtic communities
antq_germanic,Germanic,antq_germanic_group,german_language,P10;CAH-XI,secure,Germanic regional base
antq_gothic,Gothic,antq_germanic_group,german_language,P10;CAH-XI,contested,Proto-Gothic communities
antq_vandalic,Vandalic,antq_germanic_group,german_language,P10;CAH-XI,contested,Vandilic communities
antq_suebian,Suebian,antq_germanic_group,german_language,P10;CAH-XI,contested,Suebian communities
antq_cisalpine_gallic,Cisalpine Gallic,antq_celtic_group,gaelic_language,P10;CAH-XI;PLE,contested,Po Valley Celtic communities before Roman cultural consolidation
antq_armorican,Armorican,antq_celtic_group,gaelic_language,P10;CAH-XI;PLE,contested,Northwestern Gallic communities
antq_parthian,Parthian,antq_iranian_group,persian_language,P10;CAH-XI,secure,Arsacid Iranian court culture
antq_persian,Persian,antq_iranian_group,persian_language,P10;CAH-XI,secure,Persian regional culture
antq_median,Median,antq_iranian_group,persian_language,P10;CAH-XI,contested,Median regional identity
antq_chorasmian,Chorasmian,antq_iranian_group,persian_language,P8.8;P10;CAH-XI,contested,Khwarazm oasis regional culture
antq_carmanian,Carmanian,antq_iranian_group,persian_language,P8.2;P10;CAH-XI,contested,Carmania regional Iranian proxy
antq_hyrcanian,Hyrcanian,antq_iranian_group,persian_language,P8.2;P10;CAH-XI,contested,Hyrcanian Caspian regional proxy
antq_sogdian,Sogdian,antq_iranian_group,persian_language,P10;CAH-XI,secure,Transoxianan urban culture
antq_bactrian,Bactrian,antq_iranian_group,persian_language,P10;CAH-XI,secure,Bactrian-Yuezhi frontier culture
antq_saka,Saka,antq_iranian_group,persian_language,P10;CAH-XI,contested,Eastern Iranian steppe communities
antq_khotan_oasis,Khotan Oasis,antq_iranian_group,persian_language,IRAN-KHO;IRAN-CT,contested,AD 1 Khotan oasis regional proxy; technical Iranian naming adapter does not determine first-century language
antq_kucha_oasis,Kucha Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-KUC,contested,AD 1 Kucha oasis regional proxy; technical Iranian naming adapter does not determine first-century language
antq_loulan_oasis,Loulan Oasis,antq_iranian_group,persian_language,P8.3;P10;CAM-LOU,contested,AD 1 Loulan city-oasis proxy; technical Iranian naming adapter does not determine first-century language
antq_yarkand_oasis,Yarkand Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-YAR,contested,AD 1 Yarkand oasis proxy; technical Iranian naming adapter does not determine first-century language
antq_aksu_oasis,Aksu Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-AKS,contested,AD 1 Aksu oasis regional proxy; technical Iranian naming adapter does not determine first-century language
antq_kashgar_oasis,Kashgar Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-KAS,contested,AD 1 Kashgar oasis proxy; technical Iranian naming adapter does not determine first-century language
antq_hami_oasis,Hami Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-CT,contested,AD 1 Hami oasis regional proxy; technical Iranian naming adapter does not determine first-century language
antq_turpan_oasis,Turpan Oasis,antq_iranian_group,persian_language,P8.3;P10;IRAN-CT,contested,AD 1 Turpan oasis regional proxy; technical Iranian naming adapter does not determine first-century language
antq_sarmatian,Sarmatian,antq_iranian_group,persian_language,P10;CAH-XI,contested,Pontic Iranian steppe communities
antq_scythian,Scythian,antq_iranian_group,persian_language,P8.7;P10;CAH-XI,contested,Crimean Scythian-remnant regional proxy
antq_alan,Alan,antq_iranian_group,persian_language,P10;CAH-XI,contested,Alan steppe communities
antq_armenian,Armenian,antq_caucasian_group,armenian_language,P10;CAH-XI,secure,Armenian highland culture
antq_kartvelian,Kartvelian,antq_caucasian_group,armenian_language,P10;CAH-XI,secure,Iberian-Colchian continuum
antq_caucasian_albanian,Caucasian Albanian,antq_caucasian_group,armenian_language,P10;CAH-XI,contested,Albanian Caucasus communities
antq_aramaic,Aramaic,antq_semitic_group,aramaic_language,P10;CAH-XI,secure,Near Eastern lingua franca communities
antq_judean,Judean,antq_semitic_group,aramaic_language,P10;OCD,secure,Judean and diaspora communities
antq_nabataean_arab,Nabataean Arab,antq_semitic_group,arabic_language,P10;CAH-XI,secure,Nabataean urban communities
antq_arab,Arab,antq_semitic_group,arabic_language,P10;CAH-XI,secure,Arabian communities
antq_samad,Samad,antq_semitic_group,arabic_language,P8.6;P10;IRAQ-SAM;OUP-GUL,contested,Late pre-Islamic central-Oman archaeological proxy; technical Arabic fallback is not a language claim
antq_south_arabian,South Arabian,antq_semitic_group,south_arabic_language,P10;CAH-XI,secure,Sabaean-Himyarite communities
antq_egyptian,Egyptian,antq_nile_group,coptic_language,P10;CAH-XI,secure,Egyptian Nile communities
antq_nubian,Nubian,antq_nile_group,nubian_language,P10;CAH-XI,secure,Kushite-Nubian communities
antq_berber,Berber,antq_berber_group,arabic_language,P10;CAH-XI,secure,Maghrebi Berber communities
antq_gaetulian,Gaetulian,antq_berber_group,arabic_language,P8.5;P10;CAH-XI,contested,Southwestern Maghrebi Gaetulian regional proxy
antq_garamantian,Garamantian,antq_berber_group,arabic_language,P8.5;P10;CAH-XI,contested,Garamantian Fezzan regional proxy
antq_bantu,Bantu,antq_subsaharan_group,mande_language,P10;CAH-XI,contested,Bantu expansion population frame
antq_mande,Mande,antq_subsaharan_group,mande_language,P10;CAH-XI,contested,West African Mande-area communities
antq_chadic,Chadic Basin,antq_subsaharan_group,mande_language,P8.5;P10;OUP-CHAD;CAM-DAI,contested,Lake Chad Basin Chadic regional proxy; technical Mande fallback is not a language claim
antq_nok,Late Nok Horizon,antq_subsaharan_group,mande_language,P8.5;P10;JAA-NOK;OUP-NOK,contested,Central Nigerian late Nok archaeological horizon at the campaign boundary; technical Mande fallback is not a language claim
antq_cushitic,Cushitic,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Horn regional proxy; technical naming layer does not decide local ethnolinguistic detail
antq_equatorial_bantu,Equatorial Bantu,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Central African Bantu-frontier regional proxy
antq_kongo_bantu,Kongo Bantu,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Kongo-basin Bantu-frontier regional proxy
antq_great_lakes_bantu,Great Lakes Bantu,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Great Lakes Bantu-frontier regional proxy
antq_eastern_bantu,Eastern Bantu,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Eastern African Bantu-frontier regional proxy before later Swahili identities
antq_southern_bantu,Southern Bantu,antq_subsaharan_group,mande_language,P8.5;P10;CAH-XI,contested,Southern African Bantu-frontier regional proxy
