tag,culture,religion,source,confidence,note
ROM,antq_latin,antq_religio_romana,P8.1;P10;P11,secure,Latin civic profile for the Roman state
JUD,antq_judean,antq_judaism,P8.1;OCD;P10;P11,secure,Second Temple Judean profile
GAL,antq_judean,antq_judaism,P8.1;OCD;P10;P11,secure,Herodian Galilean Jewish profile
BAT,antq_judean,antq_judaism,P8.1;OCD;P10;P11,secure,Herodian Batanean Jewish profile
NAB,antq_nabataean_arab,antq_arabian_polytheism,P8.1;OCD;P10;P11,secure,Nabataean urban Arab profile
CAP,antq_greek_koine,antq_hellenic,P8.1;OCD;P10;P11,secure,Greek civic profile for Roman Cappadocia
COM,antq_aramaic,antq_hellenic,P8.1;OCD;P10;P11,contested,Commagene is represented as Aramaic-speaking with Hellenic civic cults
EME,antq_aramaic,antq_hellenic,P8.1;OCD;P10;P11,contested,Emesan Aramaic city profile under Roman client rule
MAU,antq_berber,antq_berber_religion,P8.1;CAH-XI;P10;P11,secure,Mauretanian Berber profile
BER,antq_gaetulian,antq_berber_religion,TRE-GAE;SOR-AFRICA-FRONTIER;P8.5;P10;P11,contested,Gaetulian high-plateau and pre-desert profile without a centralized ethnic-state claim
MUS,antq_musulamian,antq_berber_religion,TAC-ANN-TACF;SOR-AFRICA-FRONTIER;P8.5;P10;P11,contested,Musulamian eastern Numidian and Aures-frontier profile without a fixed border claim
PAR,antq_parthian,antq_arsacid_zoroastrianism,P8.2;CAH-XI;P10;P11,secure,Arsacid court profile
CHA,antq_parthian,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Characenian Arsacid-facing profile
ELY,antq_persian,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Elymaean regional profile
PRS,antq_persian,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,secure,Persis Iranian profile
ATR,antq_median,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Atropatenian Median profile
SKT,antq_saka,antq_arsacid_zoroastrianism,P8.2;CAH-XI;P10;P11,contested,Sakastan eastern Iranian profile
MRG,antq_sogdian,antq_arsacid_zoroastrianism,P8.2;CAH-XI;P10;P11,secure,Margian Sogdian profile
ARM,antq_armenian,antq_arsacid_zoroastrianism,P8.2;CAH-XI;P10;P11,secure,Armenian Arsacid profile before Christian state conversion
IBR,antq_kartvelian,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Kartvelian Iberian profile
CLZ,antq_colchian,antq_hellenic,P8.2;OCD;P10;P11,contested,Colchian Black Sea profile separated from inland Kartvelian communities
ALC,antq_caucasian_albanian,antq_arsacid_zoroastrianism,P8.2;OCD;P10;P11,contested,Caucasian Albanian profile
GOG,antq_korean,antq_korean_muism,P8.3;SAM;P10;P11,secure,Goguryeo Korean profile
BUY,antq_korean,antq_korean_muism,P8.3;SAM;P10;P11,contested,Buyeo Korean profile
WAA,antq_wa,antq_kami,P8.3;CAH-XI;P10;P11,contested,Yayoi Wa profile
ISK,antq_saka,antq_brahmanism,P8.4;CAH-XI;P10;P11,contested,Indo-Scythian cultural and religious profile
IGR,antq_greek_koine,antq_hellenic,P8.4;CAH-XI;P10;P11,contested,Indo-Greek Hellenic court profile
YUE,antq_bactrian,antq_arsacid_zoroastrianism,P8.4;CAH-XI;P10;P11,contested,Yuezhi Bactrian frontier profile
CHE,antq_tamil,antq_brahmanism,P8.4;PER;P10;P11,secure,Chera Tamilakam profile
CHL,antq_tamil,antq_brahmanism,P8.4;PER;PLE;P10;P11,secure,Chola Tamilakam profile
PND,antq_tamil,antq_brahmanism,P8.4;PER;PLE;P10;P11,secure,Pandya Tamilakam profile
GAR,antq_berber,antq_berber_religion,P8.5;CAH-XI;P10;P11,contested,Garamantian Saharan profile
BLM,antq_blemmyan,antq_nile_cushitic,P8.5;CAH-XI;P10;P11,contested,Blemmyan eastern-desert polity aligned to its Blemmyan population
BEJ,antq_nubian,antq_nile_cushitic,P8.5;CAH-XI;P10;P11,contested,Beja regional profile
SAB,antq_south_arabian,antq_south_arabian_religion,P8.6;CAH-XI;P10;P11,secure,Sabaean profile
HIM,antq_south_arabian,antq_south_arabian_religion,P8.6;CAH-XI;PLE;P10;P11,secure,Himyarite profile before later monotheizing change
QAT,antq_south_arabian,antq_south_arabian_religion,P8.6;CAH-XI;P10;P11,secure,Qatabani profile
HAD,antq_south_arabian,antq_south_arabian_religion,P8.6;CAH-XI;PLE;P10;P11,secure,Hadrami profile
KIN,antq_arab,antq_arabian_polytheism,P8.6;CAH-XI;PLE;P10;P11,contested,Kindah regional Arab profile
THM,antq_arab,antq_arabian_polytheism,PLN-ARAB;STR-ARAB;THAMUD-EPIG;P10;P11,contested,Northwestern Arabian Thamud campaign profile; the polity name is not equated with every Thamudic-script inscription
AGR,antq_arab,antq_arabian_polytheism,STR-ARAB;PLN-ARAB;P10;P11,contested,Northern oasis-route Agraean campaign profile
GRH,antq_arab,antq_arabian_polytheism,OCD-GERRHA;THAJ-ARCH;P10;P11,contested,Eastern Arabian Gerrha trade-polity profile at the reviewed al-Ahsa proxy
QTR,antq_arab,antq_arabian_polytheism,PLN-ARAB;PTO-ARAB;P10;P11,contested,Cataraean Gulf-coast campaign profile at the reviewed Qatar proxy
OMN,antq_arab,antq_arabian_polytheism,PLN-ARAB;PLE;P10;P11,contested,Omanitae campaign profile; the installed Suhar capital is a disputed Omana-region proxy
BED,antq_arab,antq_arabian_polytheism,STR-ARAB;P8.6;P10;P11,contested,Chaulotaean north-central caravan-country campaign profile
VAN,antq_vandalic,antq_germanic_religion,P8.7;CAH-XI;P10;P11,contested,Vandilic profile
GUT,antq_gothic,antq_germanic_religion,P8.7;CAH-XI;P10;P11,contested,Gutonic profile
VIR,antq_gallinazo,antq_andean,P8.10;PNAS-VIR;WIL-GAL,contested,AD 1 Gallinazo Moche-Valley proxy
NAZ,antq_nazca,antq_andean,P8.10;CAH-XI;P10;P11,secure,Nazca profile
LIM,antq_andean_regional,antq_andean,P8.10;P10;P11,contested,Generic AD 1 central-coast profile; later Lima culture is not backdated
