overlord_design_tag,overlord_engine_tag,overlord_name,subject_design_tag,subject_engine_tag,subject_name,start_capital,installed_start_ownable,subject_type,base_loyalty_to_overlord,strength_vs_overlord,maritime_path_tolerance,expected_start_loyalty_min,expected_start_loyalty_max,autonomy,tribute,war_duty,relations,integration,source,confidence,note
ROM,XAA,Roman Empire,JUD,JUD,Herodian Judea,jerusalem,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Herodian Judea and Samaria Roman client
ROM,XAA,Roman Empire,BAT,XAC,Herodian Batanea,nawa,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD;PLE,secure,Herodian Batanea Roman client
ROM,XAA,Roman Empire,GAL,XAB,Herodian Galilee-Peraea,safed,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Herodian Galilee-Peraea Roman client
ROM,XAA,Roman Empire,NAB,NAB,Nabataea,shoubak,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Aretas IV Nabataean Roman client
ROM,XAA,Roman Empire,CAP,CAP,Cappadocia,bor_tur,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Archelaus Cappadocian Roman client
ROM,XAA,Roman Empire,COM,XAE,Commagene,samsat,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Commagene Roman client
ROM,XAA,Roman Empire,EME,EME,Emesa,homs,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Emesa Roman client
ROM,XAA,Roman Empire,THR,THR,Odrysian Thrace,boruy,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD,secure,Odrysian Thrace Roman client
ROM,XAA,Roman Empire,MAU,XAG,Mauretania,cherchell,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;CAH-XI,secure,Juba II Mauretanian Roman client
ROM,XAA,Roman Empire,BOS,XAF,Bosporan Kingdom,taman,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.1;OCD;PLE,contested,Dynamis Bosporan Roman client
ROM,XAA,Roman Empire,BTV,BTV,Batavi,nijmegen,yes,antq_client_kingdom,50,-0.05,-0.15,50,85,"Level 1; local ruler, own rank and diplomacy; patron protection",Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.7;CAH-XI,secure,Batavian Roman client community
PAR,XAH,Parthian Empire,ELY,XAJ,Elymais,shush,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD,secure,Elymais Arsacid sub-king
PAR,XAH,Parthian Empire,CHA,XAI,Characene,muhammerah,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD;PLE,contested,Characene Arsacid sub-king
PAR,XAH,Parthian Empire,PRS,PRS,Persis,istakhr,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD,secure,Persis Arsacid sub-king
PAR,XAH,Parthian Empire,ATR,XAK,Media Atropatene,malekan,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD;PLE,secure,Media Atropatene Arsacid sub-king
PAR,XAH,Parthian Empire,ADI,ADI,Adiabene,erbil,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD,secure,Adiabene Arsacid sub-king
PAR,XAH,Parthian Empire,OSR,OSR,Osroene,urfa,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD,secure,Osroene Arsacid sub-king
PAR,XAH,Parthian Empire,GOR,XAM,Gordyene,eruh,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;OCD;PLE,secure,Gorduene Arsacid sub-king
PAR,XAH,Parthian Empire,SKT,XAN,Sakastan,zaranj,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;CAH-XI,secure,Sakastan Arsacid subordinate realm
PAR,XAH,Parthian Empire,MRG,MRG,Margiana,merv,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.2;CAH-XI,secure,Margiana Arsacid subordinate realm
PAR,XAH,Parthian Empire,ARI,XFZ,Aria,herat,yes,antq_satrapy,45,-0.05,-0.10,45,85,Level 1; autonomous royal house and internal government,Vassal-scale negotiated tribute,Always defensive; callable for offensive war,Dynamic opinion; no forced cultural or court homogenization,Not annexable,IRAN-ARIA;P8.2;CAH-XI,contested,Aria represented as an Arsacid-facing eastern regional court
HAN,XAR,Western Han,KHT,XAS,Khotan,khotan,yes,antq_tributary,35,-0.05,0.25,30,75,Level 0; independent diplomacy and wars; either party may cancel,Tributary-scale payment,Always defensive; no automatic offensive call,Dynamic opinion; no forced cultural or court homogenization,Not annexable,P8.3;CHG,secure,Khotan Western Regions tributary
