reform,profile,government,name,description,modifiers,source,confidence,note
antq_augustan_dyarchy,roman,monarchy,Augustan Dyarchy,Balance the princeps' household administration with senatorial commissions and equestrian execution.,global_crown_estate_power=0.10|global_nobles_estate_power=0.10|nobles_estate_power_from_cabinet=0.20|replace_cabinet_member_cost_modifier=0.10,P8.1;P11;P13;OCD,secure,"A gameplay path for the republic-facade settlement, not two legally equal sovereign powers."
antq_provincial_principate,roman,monarchy,Provincial Principate,"Broaden provincial petitions, civic mediation, and equestrian administration within imperial rule.",global_burghers_estate_power=0.10|global_peasants_estate_power=0.05|burghers_estate_power_from_cabinet=0.20|set_cabinet_member_cost_modifier=-0.05,P8.1;P11;P13;OCD,contested,Abstracts greater provincial consultation without inventing representative government.
antq_memorialist_han_court,han,monarchy,Memorialist Han Court,"Give formal memorials, remonstrance, and reviewed appointments greater weight at the imperial court.",global_nobles_estate_power=0.10|global_burghers_estate_power=0.10|estate_power_from_cabinet=0.20|replace_cabinet_member_cost_modifier=0.05,P8.3;P13;BHR;CTP-WM,secure,Models documented memorial practice without projecting later examination institutions.
antq_commandery_supervision,han,monarchy,Commandery Supervision,"Strengthen audited commandery returns, rotating inspectors, and direct imperial appointment.",global_crown_estate_power=0.20|global_peasants_estate_power=0.05|crown_estate_power_from_cabinet=0.30|set_cabinet_member_cost_modifier=-0.10,P8.3;P13;BHR,secure,Represents stronger oversight while preserving local variation and court politics.
antq_iranian_great_house_reform,iranian,monarchy,Great-House Compact,Entrust mounted service and regional judgment to leading houses under negotiated royal precedence.,global_nobles_estate_power=0.20|global_tribes_estate_power=0.10|nobles_estate_power_from_cabinet=0.35|replace_cabinet_member_cost_modifier=0.20,P8.2;P13;CAH-XI;OCD,secure,A high-autonomy Arsacid path; exact constitutional procedure remains unrecoverable.
antq_iranian_royal_domain,iranian,monarchy,Iranian Royal Domain,"Expand royal estates, sealed accounts, and court-appointed officers without erasing great houses.",global_crown_estate_power=0.20|global_clergy_estate_power=0.05|crown_estate_power_from_cabinet=0.25|set_cabinet_member_cost_modifier=-0.05,P8.2;P13;CAH-XI,contested,Combines attested royal-domain tendencies across a broad Iranian profile.
antq_boule_magistracy,civic,republic,Boule and Magistracies,"Center civic administration on audited magistracies, council rotations, and public benefaction.",global_burghers_estate_power=0.15|global_nobles_estate_power=0.05|burghers_estate_power_from_cabinet=0.25|set_cabinet_member_cost_modifier=-0.10,P8.4;P13;OCD,secure,A civic constitutional path whose franchise remains locally variable.
antq_federal_synedrion,civic,republic,Federal Synedrion,"Coordinate member communities through shared delegates, sanctuary diplomacy, and bounded contributions.",global_peasants_estate_power=0.10|global_burghers_estate_power=0.10|estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.05,P8.4;P13;CAH-XI;OCD,contested,Uses a conservative federal-council adapter rather than one universal league constitution.
antq_lineage_rotation,gana,republic,Lineage Rotation,Rotate recognized lineage delegates and offices to preserve collective legitimacy.,global_nobles_estate_power=0.10|global_peasants_estate_power=0.10|estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=-0.15,P8.4;P13;CAH-XI,contested,"A gameplay abstraction for oligarchic collective office, not a fixed franchise."
antq_gana_muster_confederacy,gana,republic,Muster Confederacy,"Bind assembly rights to witnessed military, road, and granary contributions.",global_nobles_estate_power=0.15|global_burghers_estate_power=0.05|nobles_estate_power_from_cabinet=0.20|replace_cabinet_member_cost_modifier=0.05,P8.4;P13;CAH-XI,contested,Connects collective defense to assembly bargaining without inventing a standing federation.
antq_steppe_wing_confederacy,steppe,steppe_horde,Wing Confederacy,"Formalize left-right command, lineage musters, and negotiated pasture circuits.",global_tribes_estate_power=0.20|global_nobles_estate_power=0.15|tribes_estate_power_from_cabinet=0.35|replace_cabinet_member_cost_modifier=0.15,P8.3;P13;CAH-XI,secure,Avoids projecting later decimal ranks onto first-century confederations.
antq_steppe_gift_court,steppe,steppe_horde,Prestige-Gift Court,"Concentrate envoys, tribute gifts, and brokered appointments around the ruling lineage.",global_crown_estate_power=0.10|global_burghers_estate_power=0.05|estate_power_from_cabinet=0.20|set_cabinet_member_cost_modifier=-0.05,P8.3;P13;CAH-XI,contested,"Models gift circulation as political infrastructure, not a salaried bureaucracy."
antq_elder_moot_kingship,tribal,tribe,Elder-Moot Kingship,"Require leading-kindred and ritual assent for musters, settlements, and succession bargains.",global_tribes_estate_power=0.20|global_clergy_estate_power=0.10|tribes_estate_power_from_cabinet=0.25|replace_cabinet_member_cost_modifier=0.10,P8.7;P13;CAH-XI,contested,"A regional floor for varied assemblies, not a single Germanic or Celtic constitution."
