granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","eifel_province","rhineland_area","land","Eburones–Treveri Uplands","Latinized ethnonyms / English","attested peoples and landscape composite","installed:in_game/map_data/definitions.txt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0239%3Abook%3D4","high","The Eifel uplands lay between Eburonian and Treveran country around AD 1.","false"
"province","eiland_province","thaba_bosiu_area","land","Vaal–Harts Hunter-Herder Lands","local hydronyms / archaeological English","paired river subsistence-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Vaal-River","medium","The Vaal and Harts corridors frame hunter-herder communities without the later Eiland name.","false"
"province","eimasstukwek_province","newfoundland_area","land","Dorset–Maritime Archaic Interior","archaeological English","archaeological-horizon composite","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Dorset-culture","medium","Dorset and descendant Maritime Archaic traditions provide a broad Newfoundland frame without one later ethnonym.","false"
"province","eiriksfjord_p","greenland_area","land","Dorset Southern Fjord","archaeological English","archaeological-horizon directional landform construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/topic/Dorset-culture","high","A Dorset cultural frame replaces the Norse Eiriksfjord name in southern Greenland.","false"
"province","ekab_province","chactemal_area","land","Cobá–Ekab Late Preclassic","Maya place names / archaeological English","paired center archaeological-period construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Coba-ancient-city-Mexico","high","Cobá and the Ekab coast held Late Preclassic Maya communities around AD 1.","false"
"province","elbmarch_province","lower_saxony_area","land","Chauci–Lower Albis Marshes","Latinized Germanic ethnonym / classical hydronym / English","attested people-river landscape construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Chauci communities along the lower Albis replace the medieval Elbe Marshes label.","false"
"province","elbtal_province","upper_saxony_area","land","Hermunduri–Albis Valley","Latinized Germanic ethnonym / classical hydronym / English","attested people-river construction","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","The upper Albis valley lay in the Hermunduri-Semnonian world before later Saxon geography.","false"
"province","elki_province","cuyo_area","land","Elqui–Limarí Formative Valleys","indigenous hydronyms / archaeological English","paired valley archaeological-period construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Chile/Drainage","medium","Elqui and Limarí valleys frame local Formative communities around AD 1 without exact pass-through.","false"
"province","em_dinaneni_province","tzaneen_area","land","Marico–Highveld Pastoral Lands","local hydronym / English","river-upland pastoral construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Highveld","medium","The Marico-facing Highveld pastoral landscape replaces the later Em Dinaneni name.","false"
"province","emae_coastal_sea_zones_province","vanuatu_sea_zones_area","marine","Emae–Paama Waters","local island names / English","paired archipelago maritime construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Vanuatu","high","Emae and Paama identify post-Lapita island waters without the raw coast-zone label.","false"
"province","emin_province","zhetysu_area","land","Wusun Alakol–Tarbagatai","Han ethnonym / local lake and mountain names","attested polity-landscape construction","installed:in_game/map_data/definitions.txt;https://depts.washington.edu/silkroad/texts/hantxt1.html","high","The Alakol–Tarbagatai corridor belonged to the Wusun sphere around AD 1.","false"
"province","emsland_province","westphalia_area","land","Bructeri–Ampsivarii","Latinized Germanic ethnonyms","attested peoples composite","installed:in_game/map_data/definitions.txt;https://sourcebooks.fordham.edu/source/tacitus-germania.asp","high","Bructeri and Ampsivarii occupied the Ems basin before medieval Emsland.","false"
"province","enderta_province","northern_ethiopia_area","land","Eastern Aksumite Tigray","polity adjective / local regional name / English","imperial-upland direction construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Aksum-ancient-kingdom-Africa","high","Eastern Tigray formed part of the developing Aksumite highland core around AD 1.","false"
"province","enlhet_province","ayoreo_area","land","Central Chaco Forest Traditions","English","directional archaeological-landscape construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Gran-Chaco","medium","A broad forest-cultural frame avoids projecting later Enlhet identities as a surveyed province.","false"
"province","ennarea_province","southern_ethiopia_area","land","Gibe–Didessa Highlands","local hydronyms / English","paired river-upland construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Ethiopian-Plateau","medium","The Gibe and Didessa highlands replace the later Ennarea kingdom.","false"
"province","enugu_province","lower_niger_area","land","Nsukka–Lejja Iron Lands","archaeological place names / English","iron-working archaeological-horizon construction","installed:in_game/map_data/definitions.txt;https://www.nature.com/articles/s40494-024-01383-2","high","Nsukka and Lejja iron-working landscapes replace the colonial Enugu city name.","false"
"province","epexiwitk_province","prince_edward_island_area","land","Epekwitk–Malpeque Shores","Mi'kmaq island and bay names / English","paired indigenous coastal construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Prince-Edward-Island","medium","The indigenous island name and Malpeque shores prevent exact vanilla pass-through.","false"
"province","equatoria_province","equatoria_area","land","White Nile–Lado Corridor","English hydronym / local place name","river-route construction","installed:in_game/map_data/definitions.txt;https://www.britannica.com/place/Nile-River","medium","The White Nile and Lado corridor replace the nineteenth-century Equatoria administrative name.","false"
"province","erenkhot_province","eastern_gobi_area","land","Xiongnu Eastern Gobi March","Han ethnonym / English","attested imperial-frontier construction","installed:in_game/map_data/definitions.txt;https://academic.oup.com/edited-volume/61799/chapter-abstract/546289184","high","The eastern Gobi march lay within the multiethnic Xiongnu sphere around AD 1.","false"
