granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
province,jaguaribe_province,jaguaribe_area,land,Jaguaribe–Quixadá Drylands,local hydronyms / English,paired-river landscape construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SA-EXPANSIONS,medium,Enduring river names frame the seasonally dry northeastern interior without a colonial province label.,false
province,jahrom_province,fars_area,land,Fasa–Jahrom Southern Persis,Old Persian region / local toponyms,attested-region geographic construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE,high,The Fasa and Jahrom basins form the southern interior of classical Persis.,false
province,jaisalmer_province,rajputana_area,land,Western Thar Desert Lands,Sanskrit-derived regional name / English,physical-region construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Thar-Desert,medium,The arid western Thar footprint avoids projecting the medieval Jaisalmer state into AD 1.,false
province,jalpaiguri_province,bengal_area,land,Karatoya–Duars Pundra Frontier,Sanskrit hydronym / regional name,river-frontier construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://en.wikisource.org/wiki/Page:History_of_India_Vol_1.djvu/251,medium,The Karatoya and Himalayan duars locate the northern edge of the Pundra cultural zone.,false
province,jamesie_area_sea_zones_province,hudson_bay_sea_zones_area,marine,Akimiski–Moose Estuary Waters,Cree island name / translated hydronym / English,paired-coastal-feature construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Hudson-Bay,medium,The island and great southern estuary replace the colonial James Bay and cape labels.,false
province,jaminjung_province,australian_northern_territory_area,land,Jaminjung–Larrakia Northlands,current traditional names / English,paired-country continuity proxy,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://aiatsis.gov.au/explore/map-indigenous-australia,low,Traditional country names provide the least anachronistic playable frame while exact AD 1 boundaries remain unrecoverable.,false
province,jamtland_province,nord_norge_area,land,Storsjön–Northern Suiones Hinterland,local hydronym / Latin ethnonym,waterbody-people construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;TAC-GER,medium,The Storsjön basin is framed as an inland northern Germanic frontier rather than a medieval county.,false
province,jangladesh,rajputana_area,land,Ghaggar–Hakra Desert March,Sanskrit hydronyms / English,paired-river palaeolandscape construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Thar-Desert,medium,The dry Ghaggar-Hakra corridor supplies a geographic label without retaining the later Jangladesh polity.,false
province,japan_east_sea,japan_coastline,marine,Eastern Wa Pacific Waters,Chinese ethnonym / English,classical-ethnonym maritime construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;ISIJ-YAY,high,The eastern seaboard of the Wa islands faced the open Pacific beyond the settled Yayoi core.,false
province,jaragua_province,hispaniola_area,land,Baoruco–Yaguana Saladoid Lands,local toponyms / archaeological term,paired-landscape archaeological construction,installed:in_game/map_data/definitions.txt;GEO-PROXY;SCIADV-CARIB,medium,Saladoid ceramic societies occupied southwestern Hispaniola long before the later Xaragua polity.,false
