id,arc,tags,gold,cooldown,effect,title,desc,source,confidence,note
endow_public_games,Rome,ROM,20,5,prestige,Endow Public Games,Fund civic games and distributions that make public generosity visible in the capital.,P8.1;CAH-XI,secure,Player-facing abstraction of Roman civic benefaction rather than a claim about one festival or calendar.
fund_the_annona,Rome,ROM,30,5,stability,Fund the Annona,Commit public funds to the grain supply reaching Roma.,P8.1;CAH-XI,secure,Bounded representation of the plan's annona system and not an annual grain-shipment ledger.
consult_the_senate,Rome,ROM,10,4,legitimacy,Consult the Senate,Seek a deliberative settlement with the senatorial order before acting.,P8.1;CAH-XI,secure,Does not assert that the Senate could veto every imperial decision.
audit_provincial_governors,Rome,ROM,15,6,legitimacy,Audit Provincial Governors,Review provincial administration and make official accountability conspicuous.,P8.1;CAH-XI,contested,Administrative abstraction without an invented audit date or office-holder record.
repair_consular_roads,Rome,ROM,25,6,stability,Repair Consular Roads,Direct resources to the maintenance of the imperial road network.,P8.1;ORB,secure,Uses the plan's ORBIS road context without asserting a particular repair campaign.
renew_auxiliary_compacts,Rome,ROM,20,5,prestige,Renew Auxiliary Compacts,Renew terms with allied communities supplying frontier service.,P8.1;CAH-XI,contested,Gameplay handle for auxiliary relationships rather than a treaty text.
receive_foreign_embassy,Rome,ROM,10,4,prestige,Receive a Foreign Embassy,Stage a formal reception for envoys at the Roman court.,P8.1;CAH-XI,secure,Does not identify an embassy or prescribe an outcome.
dedicate_a_votive_offering,Rome,ROM,10,3,stability,Dedicate a Votive Offering,Make a public offering in response to civic hopes and anxieties.,P8.1;CAH-XI,secure,Religious-cultural abstraction that does not represent a named cult as state doctrine.
review_the_classics,China,HAN,15,5,legitimacy,Review the Classics,Commission a courtly review of canonical learning and its public use.,P8.3;CAH-XI,secure,Does not project a later examination system into the Western Han.
inspect_the_commanderies,China,HAN,20,6,legitimacy,Inspect the Commanderies,Send an inspection through the commandery administration.,P8.3;CAH-XI,secure,Administrative abstraction without an invented itinerary or official.
