profile,law,theme,category,law_name,law_description,option,stance,option_name,option_description,modifiers,estate_preferences,starting,source,confidence,boundary
roman,antq_s2_roman_status_law,status,socioeconomic,Roman Imperial Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Roman Imperial political sphere.,antq_s2_roman_status_central,central,Censorial Status Register,A central register defines protected status efficiently but concentrates political authority.,global_integration_speed_modifier=0.06|global_pop_assimilation_speed_modifier=0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_status_law,status,socioeconomic,Roman Imperial Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Roman Imperial political sphere.,antq_s2_roman_status_mediated,mediated,Municipal Graduated Standing,"Recognized communities mediate several grades of status, trading speed for accommodation.",global_integration_speed_modifier=0.03|pop_join_rebel_threshold=-0.01|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,nobles_estate|burghers_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_status_law,status,socioeconomic,Roman Imperial Status and Incorporation,Defines who receives protected public standing and how outsiders enter it within the Roman Imperial political sphere.,antq_s2_roman_status_local,local,Provincial Local Admission,"Local bodies admit households flexibly, easing friction while weakening uniform administration.",global_pop_assimilation_speed_modifier=0.025|global_monthly_control=-0.01|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_dependent_labor_law,dependent_labor,socioeconomic,Roman Imperial Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Roman Imperial political sphere.",antq_s2_roman_dependent_labor_central,central,Censorial Recorded Obligations,"Officials record dependent obligations and taxable releases, improving oversight at social cost.",peasants_estate_max_tax=0.03|pop_join_rebel_threshold=0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate|nobles_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_dependent_labor_law,dependent_labor,socioeconomic,Roman Imperial Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Roman Imperial political sphere.",antq_s2_roman_dependent_labor_mediated,mediated,Municipal Protected Manumission,Protected routes to release improve incorporation while reducing elite extraction.,global_pop_assimilation_speed_modifier=0.02|nobles_estate_max_tax=-0.02|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,peasants_estate|burghers_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_dependent_labor_law,dependent_labor,socioeconomic,Roman Imperial Dependent Labor and Manumission,"Defines the obligations, sale, protection, and release of dependent laborers within the Roman Imperial political sphere.",antq_s2_roman_dependent_labor_local,local,Provincial Household Dependence,"Households regulate dependency locally, lowering provisioning burdens but entrenching private power.",global_pop_food_consumption=-0.01|peasants_estate_max_tax=0.02|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,nobles_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_revenue_law,revenue,administrative,Roman Imperial Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Roman Imperial political sphere.,antq_s2_roman_revenue_central,central,Censorial Assessed Registers,Regular assessment improves extraction and control but enlarges the central administrative burden.,peasants_estate_max_tax=0.04|global_monthly_control=0.015|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_revenue_law,revenue,administrative,Roman Imperial Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Roman Imperial political sphere.,antq_s2_roman_revenue_mediated,mediated,Municipal Negotiated Quotas,"Councils bargain fixed contributions, supporting legitimacy at the expense of maximum revenue.",burghers_estate_max_tax=0.025|stability_cost_efficiency=0.025|global_nobles_estate_power=0.03|global_nobles_estate_power=0.02,burghers_estate|nobles_estate,yes,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_revenue_law,revenue,administrative,Roman Imperial Revenue and Assessment,Defines how communities are assessed and how public obligations are collected within the Roman Imperial political sphere.,antq_s2_roman_revenue_local,local,Provincial In-Kind Contributions,"Communities meet obligations in kind, sustaining production while leaving more local discretion.",global_production_efficiency=0.025|monthly_towards_decentralization=societal_value_minor_monthly_move|global_pop_assimilation_speed_modifier=0.01|global_burghers_estate_power=0.02,peasants_estate|tribes_estate|burghers_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
roman,antq_s2_roman_land_law,land,socioeconomic,Roman Imperial Land Tenure and Agrarian Duty,"Defines access to land, agrarian dues, and collective maintenance within the Roman Imperial political sphere.",antq_s2_roman_land_central,central,Censorial Surveyed Allotments,Surveyed allotments support control and predictable dues but privilege central claims.,global_max_rural_control=0.03|global_monthly_control=0.01|monthly_towards_centralization=societal_value_minor_monthly_move|global_crown_estate_power=0.02,crown_estate,no,P8.1;P11;P13;OCD,secure,Models Roman public law and imperial administration without assuming uniform provincial practice.
