key,family,location,macro,source,confidence,note
reg_food_date_taghit,antq_reg_date_drying_yard,taghit,North Africa,P12.1;P12.3;P14;PER,secure,Oasis-market capacity proxy tied to a reviewed date RGO; no named drying installation or quantified output.
reg_food_date_siwa,antq_reg_date_drying_yard,siwa,North Africa,P12.1;P12.3;P14;PER,secure,Oasis-market capacity proxy tied to a reviewed date RGO; no named drying installation or quantified output.
reg_food_date_timimoun,antq_reg_date_drying_yard,timimoun,North Africa,P12.1;P12.3;P14;PER,contested,Oasis-market capacity proxy tied to a reviewed date RGO; no named drying installation or quantified output.
reg_food_date_anah,antq_reg_date_drying_yard,anah,Middle East,P12.1;P12.3;P14;PER,secure,Euphrates-market capacity proxy tied to a reviewed date RGO; no named drying installation or quantified output.
reg_food_date_al_ahsa,antq_reg_date_drying_yard,al_ahsa,Middle East,P12.1;P12.3;P14;PER,secure,Eastern-Arabian oasis-market proxy; no named drying installation or quantified output.
reg_food_date_al_ula,antq_reg_date_drying_yard,al_ula,Middle East,P12.1;P12.3;P14;PER,contested,North-Arabian oasis-market proxy; no named drying installation or quantified output.
reg_food_date_sayun,antq_reg_date_drying_yard,sayun,Middle East,P12.1;P12.3;P14;PER,contested,Hadramawt oasis-market proxy; no named drying installation or quantified output.
reg_food_date_basra,antq_reg_date_drying_yard,basra,Middle East,P12.1;P12.3;P14;PER,secure,Lower-Mesopotamian market proxy tied to a reviewed date RGO; no named drying installation or quantified output.
reg_food_sesame_baghdad,antq_reg_sesame_oil_press,baghdad,Middle East,P12.1;P12.3;P14;PER,contested,Mesopotamian market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_basra,antq_reg_sesame_oil_press,basra,Middle East,P12.1;P12.3;P14;PER,secure,Lower-Mesopotamian market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_damascus,antq_reg_sesame_oil_press,damascus,Middle East,P12.1;P12.3;P14;PER,contested,Levantine market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_aleppo,antq_reg_sesame_oil_press,aleppo,Middle East,P12.1;P12.3;P14;PER,contested,North-Syrian market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_madurai,antq_reg_sesame_oil_press,madurai,South Asia,P12.1;P12.3;P14;PER,secure,Tamilakam market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_thanjavur,antq_reg_sesame_oil_press,thanjavur,South Asia,P12.1;P12.3;P14;PER,contested,Kaveri market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_srirangam,antq_reg_sesame_oil_press,srirangam,South Asia,P12.1;P12.3;P14;PER,contested,Kaveri market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_sesame_ashmunayn,antq_reg_sesame_oil_press,ashmunayn,North Africa,P12.1;P12.3;P14;PER,contested,Nile market-hinterland proxy tied to a reviewed sesame RGO; no named press or reconstructed monopoly.
reg_food_nuts_shiraz,antq_reg_nut_grinding_house,shiraz,Middle East,P12.1;P12.3;P14;PER,secure,Iranian orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_baalbek,antq_reg_nut_grinding_house,baalbek,Middle East,P12.1;P12.3;P14;PER,contested,Levantine orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_ayasuluk,antq_reg_nut_grinding_house,ayasuluk,Middle East,P12.1;P12.3;P14;PER,contested,Western-Anatolian orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_tarsus,antq_reg_nut_grinding_house,tarsus,Middle East,P12.1;P12.3;P14;PER,contested,Cilician orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_baramulla,antq_reg_nut_grinding_house,baramulla,South Asia,P12.1;P12.3;P14;PER,contested,Northwestern South-Asian orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_astarabad,antq_reg_nut_grinding_house,astarabad,Middle East,P12.1;P12.3;P14;PER,contested,Caspian orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_savur,antq_reg_nut_grinding_house,savur,Middle East,P12.1;P12.3;P14;PER,contested,Upper-Mesopotamian orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_nuts_trapessac,antq_reg_nut_grinding_house,trapessac,Middle East,P12.1;P12.3;P14;PER,contested,Levantine orchard-market proxy tied to a reviewed tree-nut RGO; no named workshop or recipe.
reg_food_coconut_angadippuram,antq_reg_coconut_workshop,angadippuram,South Asia,P12.1;P12.3;P14;PER,contested,Malabar littoral processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_sitavaka,antq_reg_coconut_workshop,sitavaka,South Asia,P12.1;P12.3;P14;PER,contested,Lankan processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_bawean,antq_reg_coconut_workshop,bawean,Southeast Asia,P12.1;P12.3;P14;PER,contested,Island processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_tutuala,antq_reg_coconut_workshop,tutuala,Southeast Asia,P12.1;P12.3;P14;PER,contested,Island processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_savaii,antq_reg_coconut_workshop,savaii,Oceania,P12.1;P12.3;P14;PER,contested,Oceanian island processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_vauvau,antq_reg_coconut_workshop,vauvau,Oceania,P12.1;P12.3;P14;PER,contested,Oceanian island processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_zanzibar,antq_reg_coconut_workshop,zanzibar,North Africa,P12.1;P12.3;P14;PER,contested,Western-Indian-Ocean littoral processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_coconut_tungkal,antq_reg_coconut_workshop,tungkal,Southeast Asia,P12.1;P12.3;P14;PER,contested,Sumatran littoral processing proxy tied to a reviewed coconut RGO; no later plantation system.
reg_food_cheese_rome,antq_reg_cheese_dairy,rome,Europe,P12.1;P12.3;P14,secure,Urban dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_alexandria,antq_reg_cheese_dairy,alexandria,North Africa,P12.1;P12.3;P14,contested,Urban dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_tunis,antq_reg_cheese_dairy,tunis,North Africa,P12.1;P12.3;P14,contested,Urban dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_shendi,antq_reg_cheese_dairy,shendi,North Africa,P12.1;P12.3;P14,contested,Nile pastoral-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_antioch,antq_reg_cheese_dairy,antioch,Middle East,P12.1;P12.3;P14,secure,Urban dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_patna,antq_reg_cheese_dairy,patna,South Asia,P12.1;P12.3;P14,contested,Gangetic dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_chengdu,antq_reg_cheese_dairy,chengdu,East Asia,P12.1;P12.3;P14,contested,Regional dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_cheese_anuradhapura,antq_reg_cheese_dairy,anuradhapura,South Asia,P12.1;P12.3;P14,contested,Lankan dairy-market capacity proxy; no named shop milk species or recipe.
reg_food_meat_rome,antq_reg_meat_curing_yard,rome,Europe,P12.1;P12.3;P14,secure,Urban preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_aquileia,antq_reg_meat_curing_yard,aquileia,Europe,P12.1;P12.3;P14,contested,Urban preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_cherchell,antq_reg_meat_curing_yard,cherchell,North Africa,P12.1;P12.3;P14,contested,Urban preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_shendi,antq_reg_meat_curing_yard,shendi,North Africa,P12.1;P12.3;P14,contested,Nile pastoral-market proxy; no named salter animal species or state contract.
reg_food_meat_anah,antq_reg_meat_curing_yard,anah,Middle East,P12.1;P12.3;P14,contested,Euphrates preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_attock,antq_reg_meat_curing_yard,attock,South Asia,P12.1;P12.3;P14,contested,Northwestern South-Asian preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_chengdu,antq_reg_meat_curing_yard,chengdu,East Asia,P12.1;P12.3;P14,contested,Regional preservation-market proxy; no named salter animal species or state contract.
reg_food_meat_maynila,antq_reg_meat_curing_yard,maynila,Southeast Asia,P12.1;P12.3;P14,contested,Island preservation-market proxy; no named salter animal species or state contract.
reg_food_rice_wine_chengdu,antq_reg_rice_wine_house,chengdu,East Asia,P12.1;P12.3;P14;BHR,secure,East-Asian fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_nanchang,antq_reg_rice_wine_house,nanchang,East Asia,P12.1;P12.3;P14;BHR,contested,Middle-Yangtze fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_luoyang,antq_reg_rice_wine_house,luoyang,East Asia,P12.1;P12.3;P14;BHR,secure,East-Asian fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_panyu,antq_reg_rice_wine_house,panyu,East Asia,P12.1;P12.3;P14;BHR,contested,South-Chinese fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_thang_long,antq_reg_rice_wine_house,thang_long,East Asia,P12.1;P12.3;P14;BHR,contested,Jiaozhi fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_angkor,antq_reg_rice_wine_house,angkor,Southeast Asia,P12.1;P12.3;P14;BHR,contested,Mekong-basin fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_martaban,antq_reg_rice_wine_house,martaban,Southeast Asia,P12.1;P12.3;P14;BHR,contested,Mainland Southeast-Asian fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_rice_wine_surabaya,antq_reg_rice_wine_house,surabaya,Southeast Asia,P12.1;P12.3;P14;BHR,contested,Island Southeast-Asian fermentation-market proxy; no named brewery recipe or monopoly.
reg_food_soy_chengdu,antq_reg_soy_fermentary,chengdu,East Asia,P12.1;P12.3;P14;BHR,secure,East-Asian bean-fermentation proxy; no named recipe workshop or later condiment identity.
reg_food_soy_danyang,antq_reg_soy_fermentary,danyang,East Asia,P12.1;P12.3;P14;BHR,contested,Lower-Yangtze bean-fermentation proxy; no named recipe workshop or later condiment identity.
