"granularity","key","parent","kind","ad1_name","language","method","source","confidence","note","unchanged_verified"
"province","nagato_coast_sea_province","sea_of_japan_area","marine","Nagato–Tsushima Wa Waters","Japanese regional names / Chinese ethnonym","paired-region maritime construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;ISIJ-YAY","medium","The western Honshu and Tsushima approaches are framed within the dispersed Wa island world.","false"
"province","nagato_province","sanyoudou_area","land","Toyoura–Aki Western Wa","Japanese ancient regional names / Chinese ethnonym","paired-region polity construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;ISIJ-YAY;JAA-YAY","medium","Toyoura and Aki locate the western Honshu communities of the Wa sphere before formal Nagato province.","false"
"province","nagaur_province","rajputana_area","land","Marukāntara–Merta Drylands","Sanskrit desert-region and local place names","region-center landscape construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Rajasthan","medium","The Marukāntara desert and Merta basin replace later Nagaur administration.","false"
"province","nagornaya_province","east_novgorod_area","land","Syas–Tikhvin Dyakovo Woodlands","local hydronyms / archaeological culture","paired-river archaeological construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;RA-DYAKOVO-UPPER","medium","The Syas and Tikhvin drainage marks an eastern forest margin of the Dyakovo world.","false"
"province","nahavand_province","kordestan_area","land","Laodikeia–Bagistana Median Gates","Greek and Old Persian place names","paired-center regional construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;PLE;https://www.iranicaonline.org/articles/media","high","Laodikeia in Media and Bagistana anchor the Zagros passages through western Media.","false"
"province","nahoi_coastal_sea_zones_province","vanuatu_sea_zones_area","marine","Banks–Espiritu Santo Lapita Waters","local island-group names / archaeological culture","paired-island maritime construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;CAM-LAP","medium","The northern Vanuatu passages are framed by islands occupied in the post-Lapita era.","false"
"province","naju_province","honam_area","land","Naju–Yeongsan Mahan Heartland","Korean place and river names / confederacy name","center-river polity construction","installed:in_game/map_data/definitions.txt;NAJU-MAHAN;NMK-SAMHAN","high","Naju and the Yeongsan basin formed a dense southern Mahan heartland.","false"
"province","nakchukha_province","kham_area","land","Nagqu–Upper Salween Qiangic Pastures","Tibetan place and river names / linguistic adjective","river-landscape construction","installed:in_game/map_data/definitions.txt;CAM-TIB-ARCH;CAM-EAST-TIB","medium","The Nagqu headwaters and upper Salween define eastern plateau pastoral lands.","false"
"province","naklo_province","greater_poland_area","land","Noteć–Upper Warta Lugian Lands","local hydronyms / Latin ethnonym","paired-river people construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;UW-PRZ;STR-GER","medium","The Noteć-Warta corridor lay within the broad Przeworsk and Lugian cultural sphere.","false"
"province","naktsang_province","changtang_area","land","Namtso–Tangra Plateau Pastures","Tibetan lake names / English","paired-lake landscape construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;CAM-TIB-ARCH","medium","The Namtso and Tangra Yumco basins anchor the central plateau pasture zone.","false"
"province","nam_sach_province","red_river_delta_area","land","Lục Đầu–Jiaozhi Delta","Vietnamese confluence name / Han commandery","waterway-commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The Lục Đầu confluence occupied the eastern delta of Han Jiaozhi Commandery.","false"
"province","nama_coast_province","karoo_coast_area","marine","Gariep–Namaqua Atlantic Waters","local hydronym and regional name / English","paired-landmark maritime construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-SOUTH-AFRICA","medium","The Gariep mouth and Namaqua shore replace colonial bay and cape names.","false"
"province","nama_province","karoo_area","land","Gariep–Namaqua Hunter-Herder Lands","local hydronym and regional name / English","river-region subsistence construction","installed:in_game/map_data/definitions.txt;OUP-SOUTH-AFRICA;CAM-SA-2024","medium","The lower Gariep and Namaqua interior supported varied hunter-herder lifeways around AD 1.","false"
"province","namaro_province","gao_area","land","Niger–Dargol Bend Lands","local hydronyms / English","paired-river landscape construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Niger-River","medium","The Dargol tributary locates this western reach of the Middle Niger bend.","false"
"province","namew_province","athabasca_area","land","Amisk–Reindeer Taiga Lakes","Algonquian lake name / translated lake name","paired-lake biome construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.thecanadianencyclopedia.ca/en/article/athabasca-river","medium","The great lake chain supplies an indigenous-geographic frame for the Shield taiga.","false"
"province","namibe_coast_province","kongo_sea_zones_area","marine","Kunene–Namib Atlantic Waters","local hydronym and desert name / English","paired-landscape maritime construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;OUP-SOUTH-AFRICA","medium","The Kunene mouth and Namib shore replace Portuguese capes and colonial coastal names.","false"
"province","namibe_province","south_kongo_area","land","Kunene–Namib Frontier","local hydronym and desert name / archaeological period","river-landscape archaeological construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;JAH-BANTU-MOBILITY","medium","The coastal desert margin formed a frontier between pastoral and early iron-using societies.","false"
"province","namru_province","changtang_area","land","Namtso–Siling Plateau Pastures","Tibetan lake names / English","paired-lake landscape construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;CAM-TIB-ARCH","medium","The Namtso and Siling lake basins distinguish the eastern central plateau pastures.","false"
"province","namur_province","wallonia_area","land","Sabis–Mosa Nervian March","Latin hydronyms / ethnonym","paired-river people construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GAL","medium","The Sabis and Mosa corridors formed the southeastern reach of the Nervian sphere.","false"
"province","namwon_province","honam_area","land","Seomjin–Jirisan Mahan Lands","Korean river and mountain names / confederacy name","paired-landmark polity construction","installed:in_game/map_data/definitions.txt;NAJU-MAHAN;NMK-SAMHAN","high","The Seomjin valley beneath Jirisan marked Mahan's southeastern interior.","false"
"province","nanan_province","jiangxi_area","land","Dayu–Gan Southern Yuzhang","Chinese mountain and river names / Han commandery","landmark-commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The Dayu passes and upper Gan basin form the southern end of Han Yuzhang Commandery.","false"
"province","nanchang_province","jiangxi_area","land","Nanchang–Gan Yuzhang Heartland","Chinese Han county river and commandery names","center-river commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","Nanchang was the Han administrative center on the Gan within Yuzhang Commandery.","false"
"province","nandan_province","liangjiang_area","land","Long River–Xi'ou Yulin Uplands","Chinese hydronym / ancient people / Han commandery","river-people commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The upper Long River crossed Xi'ou highlands within Han Yulin Commandery.","false"
"province","nandeva_province","pampa_area","land","Upper Jacuí–Uruguay Grasslands","local hydronyms / English","paired-river biome construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Uruguay-River","medium","The upper Jacuí and Uruguay watersheds define the plateau grassland footprint.","false"
"province","nanen_province","guangdong_area","land","Moyang–Nanhai Lingnan Coast","Chinese hydronym and Han commandery / ancient region","river-commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The Moyang basin lay on the southwestern maritime edge of Han Nanhai in Lingnan.","false"
"province","nangchen_province","amdo_area","land","Upper Dri Chu–Sumpa Plateau","Tibetan hydronym and ancient people name","river-people construction","installed:in_game/map_data/definitions.txt;CAM-TIB-ARCH;OXF-EAST-RIM","medium","The upper Yangtze or Dri Chu valleys crossed the southeastern Sumpa plateau.","false"
"province","nankang_province","jiangxi_area","land","Poyang–Gan Northern Yuzhang","Chinese lake river and Han commandery names","paired-water commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The Poyang outlet and lower Gan basin define northern Han Yuzhang Commandery.","false"
"province","nanning_province","liangjiang_area","land","Yong River–Xi'ou Yulin Plain","Chinese hydronym / ancient people / Han commandery","river-people commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The Yong River plain occupied a southern tract of Han Yulin among Xi'ou peoples.","false"
"province","nanningjun_province","haibei_hainan_area","land","Dan'er–Zhuya Western Isle","Chinese Han commandery names","paired-commandery island construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","The western Hainan footprint lay between the Han island commanderies of Dan'er and Zhuya.","false"
"province","nanpo_sea_zones_province","nanpo_sea_zones_area","marine","Nanpō Remote Waters","Japanese directional island term / English","settlement-status maritime construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.britannica.com/place/Bonin-Islands","high","The remote Bonin and Volcano island waters had no settled population in AD 1.","false"
"province","nantais_province","brittany_area","land","Condevicnum–Namnetes Armorica","Latin civic and ethnonym forms","center-people regional construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;STR-GAL;PLN-GAL","high","Condevicnum anchored the Namnetes on the southern Armorican coast.","false"
"province","nanticoke_province","maryland_area","land","Wicomico–Matapeake Mockley Lands","Algonquian place names / archaeological phase","paired-water archaeological construction","installed:in_game/map_data/definitions.txt;GEO-PROXY;https://www.nps.gov/gewa/learn/historyculture/upload/GEWA-HRS-2023-508-2.pdf","medium","The tributaries and bay shore are framed by the Mockley archaeological horizon rather than a later tribal polity.","false"
"province","nanxiong_province","guangdong_area","land","Zhenyang–Lingnan Passes","Chinese Han county and ancient regional names","county-landscape construction","installed:in_game/map_data/definitions.txt;BHR;CHG","medium","Zhenyang and the northern passes locate the overland approach into Han Lingnan.","false"
"province","nanyang_province","henan_area","land","Wan–Nanyang Han Basin","Chinese Han city and commandery names","center-commandery construction","installed:in_game/map_data/definitions.txt;BHR;CHG","high","Wan was the metropolitan center of Han Nanyang Commandery.","false"
