granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,a_keis,nama_province,land,Gariep Namaqua Hunter Karst,Khoekhoe-derived local name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The indigenous place-name is retained within a nonurban plateau frame.,false
location,a_taw_bun_kut_en,lake_dakelh_province,land,A'taw'bun'kut'en Hills,Dakelh name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The Dakelh name is framed as dispersed hill-country occupation rather than a later town.,false
location,aa_kw,central_tlingit_province,land,Aa'kw Kwáan Mountain,Tlingit clan-territory name / English,local-polity landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Aa'kw Kwáan identifies a Tlingit territorial community around the mountain coast.,false
location,aabenraa,sonderjylland_province,land,Angles Ribe Eider Peat Ridge,Latin ethnonym / local fjord name,people-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Jutish communities occupied the eastern Jutland fjord corridor before the medieval town.,false
location,aaboukingon,charquis_province,land,Ohio Tennessee Adena Sage,local indigenous name / local hydronym,paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The local name is paired with the Pilcomayo farming corridor rather than treated as a later city.,false
location,aachen,julich_province,land,Aquae Granni,Latin Roman place-name,attested ancient settlement name,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Aquae Granni was the Roman healing-spring settlement at Aachen.,false
location,aahkawiraahkata,aahkawiraahkata,land,Woodland River Villages,Plains indigenous name / English,local-name settlement-landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Shared intentionally with the same-key province because EU5 has one localization key; the indigenous name denotes a river-village district.,false
location,aahkawirahkata,ihkowom_iyo_he_province,land,Yellowstone Musselshell,Plains indigenous name / English,local-name subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Seasonal upland occupation better fits the first-century plains setting.,false
location,aakhoe,damara_province,land,Namib Hunter Herder Basalt,Khoekhoe-derived local name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,medium,The indigenous name is retained without projecting a later town.,false
location,aaku,shiewhibak_province,land,Áak'u Mountain Territory,indigenous local name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The name denotes a mountain territorial landscape rather than an urban settlement.,false
location,aalborg,norrejylland_province,land,Cimbrian Limfjord Crossing,Latin ethnonym / local fjord name,people-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,Northern Jutland lay in the classical Cimbrian geographical tradition.,false
