key,tags,privileges,laws,source,confidence,note
antq_przeworsk_material_layer,PRZ|LPR,antq_przeworsk_smithing_households,antq_przeworsk_production_law=antq_przeworsk_distributed_workshops,UW-PRZEWORSK;PAN-LPR;P13,contested,Distributed metalworking and exchange differentiate the two Przeworsk frames without treating an archaeological distribution as one ethnic state.
antq_dyakovo_hillfort_layer,ILM|PLH|BLF|MOK|UVD|KLY,antq_dyakovo_hillfort_households,antq_dyakovo_settlement_law=antq_dyakovo_shared_rampart_labor,RAS-DYAKOVO;RA-DYAKOVO-UPPER;GERMANIA-NEVA;P13,contested,Defended settlement obligations provide a common gameplay layer while the Ilmen striated-pottery distinction and local chronology remain explicit.
antq_gorodets_rampart_layer,UVF|MRV|TGD|RZM,antq_gorodets_rampart_custodians,antq_gorodets_fortification_law=antq_gorodets_seasonal_watch,BSE-GORODETS;P13,contested,Timber-and-earth defended settlements provide a regional layer without creating one Gorodets state constitution or standing army.
antq_northern_round_layer,WHT|MZN|VYG|KRL|SMY,antq_northern_seasonal_rounds,antq_northern_round_law=antq_northern_reciprocal_access,ENC-NEEU;GERMANIA-NEVA;P13,contested,The shared seasonal-round mechanic respects distinct material horizons and avoids projecting later ethnic boundaries across northern mobile communities.
antq_dnieper_exchange_layer,SMD|BLR|NEM|PDL|RLG|DNP|RBD|LBD,antq_dnieper_river_brokers,antq_dnieper_exchange_law=antq_dnieper_household_brokerage,AWE-DNIEPER-DVINA;LIT-NEMAN-STRIATED;RAS-ZAR;AAC-LIPITA;P13,contested,A river-exchange layer links distinct archaeological frames without merging them into one people constitution or economy.
antq_middle_kama_ritual_layer,PRM,antq_kama_sanctuary_custodians,antq_kama_ritual_law=antq_kama_local_sanctuary_custody,BSE-GLYADENOVO;P13,contested,Glyadenovo offering complexes receive a narrow ritual layer rather than a generalized Uralic priesthood.
antq_pyanobor_household_layer,VYP|VLF|SUG,antq_pyanobor_mortuary_households,antq_pyanobor_mortuary_law=antq_pyanobor_kin_cemetery_custody,ENC-NEEU;AES-SOUTH-URAL;P13,contested,Mortuary obligations enrich the Kama and south-Ural frames while preserving the distinct Kara-Abyz political frame.
antq_sargat_retinue_layer,SRG,antq_sargat_kurgan_retinues,antq_sargat_retinue_law=antq_sargat_gift_bound_retinues,RAS-SAR;RAS-SARGAT-CHRON;P13,contested,The Sargat frame receives a bounded forest-steppe retinue mechanic without an invented centralized aristocracy.
antq_altai_contact_layer,AKL|ALT,antq_altai_contact_caravans,antq_altai_contact_law=antq_altai_negotiated_passage,ASU-ALTAI-KULAY;ACSS-ALTAI-XIONGNU;P13,contested,Altai exchange and Xiongnu-contact evidence supplies differentiated contact mechanics without a conquest or occupation claim.
antq_kulay_casting_layer,KUL|UGR|SIB,antq_kulay_casting_households,antq_kulay_casting_law=antq_kulay_household_casting,TOM-KUL;BSE-UST-POLUY;FU-TASHTYK;P13,contested,Specialist casting enriches western-Siberian forest and transition frames while preserving their separate chronologies and material identities.
