source_good,replacement_good,allowed_regions,allowed_locations,source,confidence,note
coffee,medicaments,,,P12.1,secure,Coffee is excluded from the AD 1 world economy
tea,medicaments,China,mabian|mahu|mianzhou|mingshan|pixian|qianwei|shuangliu|weiyuan|yandao|yibin|yunlian,P12.1;PER,contested,Tea is confined to eleven Sichuan map proxies as a minor herb rather than a China-wide plantation crop
sugar,fiber_crops,India|Southeast Asia,,P12.1,contested,Sugar remains rare in India and Southeast Asia only
tobacco,fiber_crops,Andes|Caribbean-Amazon|Mesoamerica|North America|Northern Andes,,P12.1,secure,Tobacco remains American and untraded
cocoa,fruit,Andes|Caribbean-Amazon|Mesoamerica|North America|Northern Andes,,P12.1,secure,Cocoa remains American and untraded
maize,millet,Andes|Caribbean-Amazon|Mesoamerica|North America|Northern Andes,,P12.1,secure,Maize remains American and untraded
potato,legumes,Andes|Caribbean-Amazon|Mesoamerica|North America|Northern Andes,,P12.1,secure,Potato remains American and untraded
saltpeter,salt,,,P12.1,contested,Saltpeter is removed from the pre-gunpowder raw-material layer
silk,fiber_crops,China,,P12.1,secure,Silk sericulture remains a Chinese near-monopoly in the covered era
incense,medicaments,Africa|Arabia,,P12.1,secure,Frankincense and myrrh are localized to Arabia Felix and the Horn
pepper,medicaments,India,kannur|kasaragod|kodungallur|kollam|kozhikode|manikandapuram|palghat|ponnani|thiruvananthapuram|wayanad,P12.1;PER,contested,Pepper is confined to ten Malabar and Western Ghats proxies rather than the whole Indian region
elephants,livestock,India|Southeast Asia,,P12.1,contested,War elephants are limited to Indian and successor-power proxy regions
chili,medicaments,Andes|Caribbean-Amazon|Mesoamerica|North America|Northern Andes,,P12.1,secure,Capsicum remains confined to its pre-contact American range
cloves,medicaments,Southeast Asia,ternate|tidore,P12.1;PER,secure,Clove production is confined to the Ternate and Tidore source-island proxies
coal,lumber,Britain|China,,P12.1;PER,contested,Surface coal use is retained only for bounded British and Han-era Chinese proxies rather than a global fuel industry
saffron,medicaments,Rome|Anatolia|Levant|Balkans|Pontic|Iran|Mesopotamia|Caucasus|Central Asia|India,,P12.1;PER,contested,Saffron and closely represented high-value crocus production remain in Mediterranean and Asian cultivation zones
olives,fruit,Rome|Anatolia|Levant|Balkans|Pontic|Africa|Arabia,,P12.1;PER,secure,Olive cultivation is restricted to Mediterranean and adjacent dryland zones
wine,fruit,Rome|Anatolia|Levant|Balkans|Pontic|Africa|Iran|Mesopotamia|Caucasus|Central Asia,,P12.1;PER,contested,Grape-wine production is restricted to documented Mediterranean West Asian and Central Asian cultivation zones
rice,millet,China|India|Lanka|Korea|Japan|Southeast Asia|West Africa|Iran,,P12.1;PER,contested,Rice remains in established Asian and West African cultivation zones with an Iranian irrigated proxy
cotton,fiber_crops,India|Southeast Asia|Arabia|Africa|West Africa|Iran|Mesopotamia|Central Asia|Mesoamerica|Andes|Northern Andes,,P12.1;PER,contested,Cotton is restricted to Old World tropical and irrigated zones plus independently cultivated American regions
