design_tag,sequence,name,historical_start,historical_end,source,confidence,note
ROM,1,Augustus,27 BCE,AD 14,OCD;MET,secure,The Principate begins with the Senate's grant of Augustus in 27 BCE; Republican magistracies are outside an emperor-regnal sequence.
HAN,1,Emperor Gaozu,202 BCE,195 BCE,BHR;WIKI-HAN,secure,Western Han founder.
HAN,2,Emperor Hui,195 BCE,188 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,3,Emperor Qianshao,188 BCE,184 BCE,BHR;WIKI-HAN,secure,Western Han emperor during the Lu clan regency.
HAN,4,Emperor Houshao,184 BCE,180 BCE,BHR;WIKI-HAN,secure,Western Han emperor during the Lu clan regency.
HAN,5,Emperor Wen,180 BCE,157 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,6,Emperor Jing,157 BCE,141 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,7,Emperor Wu,141 BCE,87 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,8,Emperor Zhao,87 BCE,74 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,9,Liu He,74 BCE,74 BCE,BHR;WIKI-HAN,secure,Short-lived emperor later known as the Marquis of Haihun.
HAN,10,Emperor Xuan,74 BCE,49 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,11,Emperor Yuan,49 BCE,33 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,12,Emperor Cheng,33 BCE,7 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,13,Emperor Ai,7 BCE,1 BCE,BHR;WIKI-HAN,secure,Western Han emperor.
HAN,14,Emperor Ping,1 BCE,AD 6,BHR;WIKI-HAN,secure,Current emperor at the AD 1 campaign start.
